vxwajidfsr,wpelhlvkpp,augyrajyut,neourzkxfo
kamexzkoyl,ltkqhtbdpp,0.2195,-253
-332,0.163,cAt,0.4245
cat,qxwissoybg,gwevchnuoi,0.2975
ohvirdaeuo,vicxwgaqkb,dog,plauwzgzvd
lbksxpeqon,-0.293,-38,-842
DoG,-0.272,0.467,-376
-735,fxnmujrtso,0.006,-678
-0.0005,-662,vsnsqserwi,-0.471
dgggcsjyga,-952,0.35,dog
lwwvfeokhw,yzktlurdbn,-0.1475,720
tavyazjztj,kxcklovczu,-708,0.3405
-0.4185,forsououde,-0.0645,edixwvejri
28,dOG,zuxrkttwbo,284
qhwvprszrf,wnsreizuuk,-0.011,239
ueitypwxgx,-873,odkbmdylgv,-0.292
-443,wjfunkoonv,wenzmrfdpt,-445
-257,evqkfxwzwu,gkxqhrwolk,-0.1805
-0.424,fjtlhdwrgr,-541,-0.223
ledbodsmyb,0.2005,olfxzybnle,-455
0.3355,noyeboqgby,irwahdywjx,cat
0.03,bidupdkddh,crzzzbinmp,-120
-504,DoG,-696,0.1015
-0.4925,moqtlfphjv,908,cudgitacgt
0.0505,fbbxhgmzpz,CAT,0.2045
-605,caT,qbwopaecvm,CAT
cudsfpkcqo,-0.433,149,CAT
jnvukqepxp,0.332,jsjmxrexee,-850
DOg,xgzipcreil,-0.2865,yghjrqbpyc
