cnpuweuhjr,hdokdkxiss,yqfdtzhgyb,sjdrqatzru,bgmidxrfrt,aukyebaeev,pEt
-0.3745,cat,-0.036,cAT,eubomtvlns,pnmlfofiyx,qmyypfygwb
-0.1265,vyhlpyqitp,-186,-0.179,0.143,184,734
790,vobywzvrjk,CaT,-0.03,-937,351,DOG
ifzrrydzgz,-0.2565,-686,qxzqlclfeu,512,422,DOG
139,-0.2405,-0.33,-0.261,dOg,351,caT
-756,svetmxeqgv,injacexvkb,dOg,-0.3145,216,CAT
rsuvrbhxrc,0.2625,-286,954,bnjjkgzmrx,-0.3455,-603
0.2465,hymyunundm,CaT,-244,0.029,-902,314
0.3455,233,194,-12,0.3785,-0.0165,Dog
zioxwgqdne,agjnhhodtz,622,-251,-0.3655,-841,xsqftyfqmt
713,0.4785,131,DoG,xgaleabyvq,339,xgodjvcaos
dOG,835,-0.014,jiwittkxhs,worazwovdw,ddftaixrid,559
-0.0265,vqsxfakwwp,327,cmenenedoo,wwlkacoqzk,gvkhbfkmvm,793
-0.039,cAt,432,cAt,rnzkafytkx,fuukfmcvxc,CAt
687,77,ltvxhulyvc,689,Dog,doG,cat
-111,0.435,166,0.191,zqmgzdgvmp,xhlokkqlvv,Cat
-0.4035,soirpziwdd,189,lseumkvctt,230,-0.469,-709
0.036,-609,srgcnicdqc,908,ehhbbfrjgy,joeyyhysyy,dOG
sbrdkcbxxp,sunklkxyyl,0.144,556,0.186,-0.2155,dOG
mpemmbffll,485,-0.0605,0.4615,doG,-0.3225,937
-765,mfwhgnzrds,0.1575,-0.3935,zuzznoacfa,-760,CaT
cwlkddgtku,693,atiimrczdf,-0.2205,lfcuthkneo,jxjkzocfqg,CAT
-920,DOG,-542,qfqmstcbwu,736,-943,dOg
-0.23,0.0305,avrjnheudt,bpqaqtapnv,-0.159,-213,caT
0.198,427,766,-0.3925,hsmlyovyne,964,caT
0.391,owapzklbcd,0.3815,-0.3775,wkvuwyjele,zbdgyyvcdq,dOg
ilahpqfqlf,865,-983,CAT,zcbvgdjqgi,856,cAT
-0.1925,zxulatxurp,808,-371,obrznxorfh,dog,DoG
ecsxhordwi,CAt,-0.2255,629,0.4,-962,DOG
-539,dOG,0.059,nhsfozhukn,-0.001,991,dOg
0.1465,0.052,-0.2525,-478,-0.054,-0.335,cAT
CAT,642,bptlaygzjs,gkcgrwqppj,401,tristyqcia,dog
mduowacmvv,-0.302,dog,jxwlxnyjkc,wadfdgdsqm,Dog,0.1495
dOg,245,0.2585,bsjsxjmqgq,Dog,225,tkfflqgvhu
-0.4425,sbzmrwuuwi,512,puziysapay,0.2035,-0.489,caT
-0.2035,-0.479,-502,-0.032,DOg,bielgyiapz,DoG
489,0.19,-211,wsboqmoiyw,DOg,oiizvckecb,-750
-275,tjatoxydbi,-849,jddxirlnxo,wevodxgnrz,folainojiv,CAt
748,cdcdxpjadd,vmobvlmdbb,-130,-0.118,-0.186,dog
qxnqxettqc,894,Dog,uunihnfrqc,dlkivnmaur,366,Dog
418,DOG,CAT,xsnutizkgh,0.3185,-0.1865,Dog
-0.3365,CAt,112,-644,850,621,CAT
0.216,-467,dOg,ibsbmwpklo,184,-0.116,CAT
Cat,fftkzukflk,kuawflswsg,-0.15,0.4775,vdzgxqqkuz,caT
0.426,-556,438,CAT,hbfngiaisz,0.272,vpvxbgqtsz
493,rgvxlijhzg,-0.386,vrqfmpzocj,DOg,Cat,CAt
0.1,kposjrnvod,0.0675,-0.3025,fysarqpjsq,-781,CAt
241,opvsjxqqtz,-0.4685,952,cat,-0.159,CAt
-0.2925,602,94,ofqicgudoa,-30,aaaybxmgkh,0.3035
0.3635,pxdtdflupr,-0.475,-0.0315,dog,DoG,dog
