pEt,rdqsxsirzf,aykvvdvmzt,zamnxpprgh,lbdxfdimfw
lfrjgtyqyk,602,-356,173,DoG
cAT,Dog,-0.2825,DOg,-795
dog,-0.23,htwjisodpi,-0.3665,895
dOg,zxfbnyokij,0.456,mwxlccbzlt,ogvrmtrdia
DOg,qmakqzoovk,0.1275,sijjjgcnxc,-168
CAt,-0.2225,yhiohsbzyr,-460,0.4435
CAt,436,751,604,-604
CAT,kevejoyckm,-202,CAT,0.282
caT,rshlbonhes,555,-0.3945,-0.216
DOG,-41,liibovgimy,cAT,0.104
caT,-470,-0.2885,mejksrbdvz,tpjbhjgaah
-0.069,906,dOG,-644,-0.4615
-0.0415,-187,scmzwhtslh,-87,lgcgclnkal
Dog,pkpnrngpmv,hbxmewzwyp,cAt,757
tuwjuyejso,535,-0.443,cAt,cat
dog,obaunokiba,-991,-948,-0.0695
cAt,-866,ayuaxgafei,221,CaT
mplkramrjr,nhomxolbgt,DOG,-151,cAT
doG,vmqccbnwql,-0.1205,-800,DOG
CaT,-0.108,rspqlzijmw,-0.199,trfpuvrcbb
551,DOG,flaiahyhpu,0.0935,sulsmjzytt
Cat,-0.055,nlmnceuzda,-920,-825
nbngacleii,336,qqogqvextk,-0.484,679
ztvohutjym,urpapctwjp,tblcxdpasj,CAT,vcytccyqxg
cAt,mkodznsnsj,-0.26,cAT,muhczuigod
CAt,0.124,-0.132,dog,DoG
cAt,-655,-699,0.422,0.013
272,DoG,ejsdzqrwik,DoG,Dog
CAt,0.1545,-0.2735,-317,0.189
udolzikviy,caT,703,bdjzwiaqeu,0.189
816,Dog,-0.2935,-0.1105,CAT
cAT,526,0.451,-768,cAT
