rswetvjrlr,dcqrncndjt,zebnkyelpx,ufxraywewh
-519,-0.094,0.3005,CAT
-0.0135,-0.2155,dOG,-0.407
54,zaeheabzcl,-648,695
0.1585,fbtvdzswbv,emoislznii,0.3325
rfqwrvargx,786,0.3045,0.1385
-10,-809,343,-0.447
vponfvsiug,jcrfwhtyii,58,0.069
isibppvcti,DoG,-0.371,0.1105
iflaggpjtx,0.4175,988,0.31
bsahwfeuga,dog,983,noqxfyjwmw
-11,0.038,icdmauqimd,-0.1015
-237,921,bjbcjchgrp,-0.1255
0.4675,-0.0815,DOg,44
wvhqytsrfv,kegyhbleds,yatbgzvveb,yqxhsxdgox
-0.273,-343,213,0.17
0.3045,-0.1705,xsmrvejkfb,cat
xyszropoqz,934,xlnlcxoskb,0.039
euthtpgxha,caT,-0.369,CAt
cAT,-246,bjgdfinrql,dmekjotnox
vaesfzonoi,doG,0.169,-281
-0.467,-737,-0.132,uualmhfgeg
-364,cat,-480,suufxgppdj
zovrdatneu,jxfhaxnoit,0.2985,-861
CaT,DOg,-0.3595,664
jzlgxwlflg,aepjruaizn,oatysytpsa,829
dOG,umnjjrmncx,218,-634
566,0.246,574,-128
DoG,tqkgxxtnzl,448,-0.136
-0.316,0.1785,-0.076,slikrtbhed
njmfzlmgnh,kcqbexlcay,vwaydtzsyj,cAT
-919,tcegpchstd,uxubucjeoc,DoG
wdbwvrlgvd,-0.393,0.426,Dog
-256,577,DoG,Cat
cxkdplnsvo,831,clkogrnwvc,DOG
uwmolejvzy,0.031,306,258
0.1135,qvwdruftta,621,-849
Dog,100,ocevqgmkvf,0.311
CaT,-83,0.48,0.04
-0.1495,zdygkcaedr,-0.369,311
coljxymfpx,610,-266,-0.457
axprmvshoj,-882,ckrrkmgpty,doG
0.298,nbcfhvkaeu,caT,0.102
-0.0295,-0.441,mtogejdtsq,DOG
caT,subtvkbyss,692,Cat
0.1265,-424,-0.0645,xbdgcvypcn
cAT,timjnsdfra,-0.177,0.248
hyqhygavou,-0.172,-430,0.4215
383,0.151,klzfypxujd,417
dog,mrmmpmlxfj,cat,-0.015
dOG,741,cat,-519
npsnewaokj,-506,-0.145,0.34
-0.119,716,aocbroyxew,-0.141
143,dOg,-0.0655,-876
doG,wqbbrtlkbf,0.297,-0.144
hfexyejmwy,0.164,qputkvibbv,nqpznphbdj
xmcramxgwm,-562,381,caT
-782,cat,Dog,186
rahthjaktt,shpmjhhviy,ouxvyzwmrn,534
-0.4305,bmwfduqkfe,-0.4355,-0.196
461,-0.4725,ymhiytemjd,0.1515
DOg,bbdcbktvnd,182,omwywciozj
DOg,-809,-0.1595,aransduhpw
dOg,oilttcwyqa,vadrwqiyov,168
-0.28,0.1355,cat,700
353,-0.2585,-41,-0.393
vyjuehxpnd,441,gxyakigksa,-0.034
heeieuywam,dOG,dducjgpwgi,0.2935
