yfxgrxdbkl,opjvrdiepf,ulctkndwxe,sprtwxpuyn,bfdipizpdl
0.194,djafdrhvss,DOG,ohlmqzvrwz,DoG
0.186,0.399,quqsaippaf,-0.4135,0.4595
20,-0.0205,0.071,CaT,zhpifvover
-850,lcfpxztbxb,cigoxgtycy,216,telrynmkls
-0.2825,-0.108,80,-361,0.4155
254,lmtftpdouk,Dog,CaT,eplxrlafve
-133,0.0535,741,cat,-359
0.2195,dOG,vqlepgbiih,677,mgyalaioov
550,phcrgvttwd,854,0.132,DOg
-62,-366,cAT,0.369,cAt
DoG,wsjhhuwhqy,797,770,DOG
0.4355,dlfnxhjxhb,DOg,DOG,zavwufaxdq
949,0.406,-463,xccugsktqe,56
791,-122,CAT,-0.2805,qrqcrwpxps
lbxpjviqqk,-42,xwbyhllabl,CaT,809
schifxcded,-0.129,-799,dOg,-536
0.089,DOG,-835,0.3095,0.2435
barjyzgxtp,-0.1715,0.4215,iowitjheay,ilboipyxur
0.1695,0.089,qhxfokrkki,-558,tnqhkicekb
-687,0.3535,cAt,-546,tcgshfdeqo
0.2155,82,-546,0.3065,511
0.476,-67,-0.0855,ybgrnaqcfg,hyklimqueb
-504,irkfsyfgco,cssziemeld,-833,-0.1555
gytlkwvuje,Cat,-688,-831,766
642,wicjrrrava,0.485,891,uvihfpakfc
geqswwssfw,ickkaqdysn,153,vfipkqrdyf,0.445
wqobqypnpt,-0.222,cat,0.0775,CAT
-182,doG,139,dszgzinapy,kwnknzgtab
uccmqblztn,0.186,bqecpiwdqi,0.111,-0.3425
469,-924,-0.483,-755,vvqjyqfnuk
cchcveuzqk,DoG,DoG,-0.393,-0.2755
0.1235,-0.067,491,-352,-0.041
-0.3055,DOg,0.381,-0.1105,DOG
932,caT,-552,wpotjfmwbb,mvqwibiwsv
qzaoyturah,DoG,-0.1485,cat,fgjwavhsdf
qtcpnefvnu,-53,cat,dOg,DoG
0.0195,-159,bldzeksdpo,-0.0075,74
CAT,392,-0.4195,Cat,CAT
-327,dtfdedkysu,-842,freujvchfu,107
600,DOG,736,-0.404,hnuqajgelz
yhfkklcryk,-413,DOg,-0.0075,0.4375
dog,524,0.4925,913,0.404
uzruenyhtl,gpbtdbpcxg,-112,CAT,773
DOG,0.089,231,-300,396
-711,0.284,CaT,553,yuomoffpmd
321,379,28,0.378,hungnogoor
rnuxligswi,DoG,-954,trakkrysac,CAT
caT,302,0.3415,-0.381,cAT
-598,-0.1675,463,dgdotrlqii,eiidbhurff
-168,0.4995,-0.425,dog,-553
cAT,CAT,Dog,vberlukyax,ladqlllelw
-0.1715,0.337,zczzdspouk,qnwpjhneay,dOG
uzrebeldly,dvjaswswkt,Dog,0.009,caT
0.0585,kgntvwtpor,CAT,-393,CaT
-0.4935,0.094,0.083,125,xmaqpupsdy
0.4185,vvtazjfnsv,ffiqrsnuyi,iepexgyimf,CAT
0.4425,ihhrgrbrab,74,kqossslwxd,0.0355
lamnwrtysu,-37,DOg,DOg,0.433
hexgebqubd,-0.35,-768,rrnzwwqzfb,-0.3415
848,-408,-376,qtanljghfd,-863
cAT,606,-237,118,olzdmtigfn
Dog,DoG,-0.206,viakvytwkq,-463
-0.302,0.4805,17,ssfsnlxtoc,-0.366
-0.0705,677,CAT,DOG,nhoxhuiyoz
0.0995,qqfaxnvnqs,0.2205,647,DoG
Dog,0.2045,0.171,DOG,DOg
919,kcrxrcgwcs,smtnbuprye,259,0.0495
caT,uyhtgbhwjl,pywfsmkptn,-824,-838
hwdqpksukh,363,-923,0.067,yftfrgdsgl
njugzwjqid,-867,CaT,750,564
523,-0.1495,bdjfuxprhu,mvammqshfz,998
kevxxkqblf,0.3785,qurhtdnwle,0.099,0.4245
818,0.1085,mgrcvycaek,129,CAt
-913,dOg,-0.3495,fxlcctyway,-0.2215
