jhxnmragbf,ojcpqxuagb,nejckxsita,wwvdmbsbzq,fcgdxgimto,kbwmwnkvgz
0.1355,DOG,143,-0.131,CaT,slrpjccgev
-249,-0.404,tjwevzgida,-0.258,-0.291,713
CAt,800,739,gwuhsfbivf,-0.1735,-0.055
511,0.41,-995,xohwixvudl,-0.225,exlqjsnifw
-878,aztrkddnww,908,321,-790,-343
fwxqtjhlhf,0.343,-226,466,Dog,216
-855,bkckryutst,-0.058,ydyhqwvxhj,301,cajkqcvtnv
CaT,doG,0.2365,pyhtecvsmx,caT,-219
0.457,997,-961,-0.0565,Cat,eqggltcjji
-114,cpnlmyqlkt,876,-0.368,qooyradkya,bmyfcbsodq
wcdmswypne,0.161,-0.068,0.323,-0.3515,801
ebzbiqjxdn,cAT,rzfhruzssk,jwsgnorvsx,884,848
