maiipheqpd,xqtmpvirwa,guqzbsxpcs,pET,ipdhkvryzu,enornhtogi
-138,0.1215,DOg,Dog,ouahaiwiuq,0.205
0.492,xddscdiyif,pxvsftyfkz,Dog,0.478,-0.4195
mwytxwlypd,caT,-943,dOG,hzpieowduk,438
edlthirbpk,khgwwdcmbb,dog,CAT,iroshtrxxy,0.359
-872,jnyyylwide,116,CAT,898,866
taocuaaqxs,835,-0.2615,CaT,0.371,-0.3235
0.459,qusvxohdnj,0.017,Dog,-0.347,844
0.0445,-186,DOG,dOG,-0.4325,cat
-0.2015,-597,ziwlxibagd,Dog,0.138,-0.4305
cat,yawixnbmeg,dOG,Cat,evzyubtmbi,-0.2255
0.296,DOg,932,caT,Dog,983
-0.282,0.1705,xtbawqrytt,0.155,-659,-67
0.2815,dnkytmanus,693,dOg,aakligtxyb,aezyjtlkpd
yuxocsdgyh,cvuokiblja,-0.105,0.097,vjanxvfmmq,-534
nbffftrwdv,-0.287,909,dOg,DOg,-132
0.369,caT,0.252,caT,-303,jikwnjctur
kskafvzfnp,-984,957,cat,-262,-0.0015
-624,509,qhafamxlna,dOG,caT,-0.1365
dOG,vtynytlcra,htamfwealk,CAt,xhehxvnost,auoplxnqev
0.155,-0.0955,-802,ohzeowfwuc,mmyjouglyq,-0.326
-909,527,dOg,doG,bqtxrezhcc,894
0.4345,0.2295,-0.43,dOG,fsrufyzyrd,CAt
-942,dOg,0.388,dOG,0.4425,dwixmbkalj
pqbdnuhqgb,enjunghwsm,-944,wtudwwndrc,0.257,887
0.0905,-0.1825,drrmxttlvz,cAt,doG,-285
202,0.1775,sxzamcctgf,CAT,kmwxdhchjm,0.3925
0.127,0.4375,123,DoG,0.2715,0.4645
234,0.1065,dsaeqrmjrx,cAt,642,0.321
swmyvzftqt,466,-0.2895,22,sftbswvbxo,-378
-244,-52,aifvntulsq,CAt,CaT,764
cAT,-0.48,300,Cat,uhpejklvhw,0.3715
uvtzhnfimg,-107,0.1665,0.355,-0.252,-0.418
-0.102,-0.383,436,cAt,-0.4385,doG
563,-746,-0.145,njjzckjqlr,-0.2235,0.327
-0.168,lbqqajnkuk,-203,doG,0.397,-436
0.3255,0.1385,-0.033,dOG,-622,0.0565
sqvhpjmtht,-379,-0.4435,doG,0.415,dOg
-398,857,865,CAT,-673,-0.104
sffldlhpkh,yrevdluhgu,-664,CaT,CAt,dog
0.2275,cAT,vbzkhwwfsq,DOg,xfsnorfqdd,989
0.2715,ncvygmtkxo,-0.339,doG,-918,890
-0.0855,-253,0.3495,cAt,-0.4235,zwvgzzpugn
dOG,eogqswxcov,-701,caT,0.4465,qggpnltvpr
-0.353,0.4945,-565,37,-0.3855,-0.388
kbjixdhbti,0.419,ruedhyykhy,caT,mbtalzqjpo,caT
pfcmleetfb,745,CaT,-0.3225,-0.1215,sjbteifevl
-0.1235,roxtujondu,-410,CAT,gpchzeaojn,-95
qwowlfdkbr,avruuhlahg,977,cAt,181,boscmqaxph
CAt,rpeoolbijy,-979,cAt,-125,cAT
cublgtigsi,rjqymfwade,fikxzkqnzd,CaT,dog,0.424
0.0935,daarloshvl,-253,Dog,-604,-0.3895
823,zapzcgrjhq,0.3135,avpusyoscj,418,dog
0.1445,ygoyiohomo,-0.3025,caT,0.077,DoG
CaT,-629,0.2035,-744,970,135
cmouyeobde,dOg,0.365,dOG,dOg,tqlhblfnma
CAT,-98,-283,117,-0.133,DOG
690,mqysdrlaaf,882,CaT,-0.084,115
bmfphpkfmp,txgsdryibp,lkkvzgaggh,DOG,neyykalclq,cAT
-482,iwjukpowuz,133,cat,804,-89
294,-0.017,imkopxpjep,caT,iffxyutjfo,yducdjomew
-316,-848,dOg,Cat,63,-0.354
nuimfvcnez,-286,dtxomfljkb,cAT,DOg,605
vndssutzbd,-309,-0.251,CaT,tbubvkgcmm,54
-173,xmvkdzuohi,DOg,-741,drelgwkcse,wxmzhbhxuu
570,vwremvnnsx,Dog,cAt,871,206
nskfazylhb,-330,bsubkvsteq,0.0825,-501,yeifhdihur
sjigbzfmnx,ukcqyvovkr,172,CAt,0.197,upmgrwwbue
-401,-0.0875,CaT,doG,-296,oqeevetbeu
998,-0.436,-47,cat,liliovfiei,-199
77,-0.2525,-209,4,-889,-0.397
xhlxkqwlzl,vmkgrabitn,0.2565,cAT,orzmklxeoe,-0.038
caT,doG,0.272,dOG,177,-0.403
Dog,vhcjzsduob,dzpzenojdo,dOG,0.0175,CAT
0.296,0.36,plifphwjpx,dOG,310,-0.4925
zuroczujpw,-0.0045,-340,caT,-692,0.1965
odwpgzfynz,snrzorgvvc,ltkruplbml,dOG,cAt,-823
pfxtyijbbl,hfemapsyzr,sgsdiucfiw,0.07,CAT,zuesqdlwap
-593,dog,gaubqxevwj,924,0.203,-0.442
-0.02,nbpszehocx,tnvwkuuury,doG,krouucgykp,-362
335,lacrzjcddn,urridhtdjk,CAT,0.2125,0.3285
gvtqwqczow,619,dog,dOG,-0.128,0.2445
DoG,dog,lrxjnwvvxr,cAt,dOG,qnlvjijuwf
ahxxxcxext,-432,-0.305,DOg,wnncfncvbj,405
-946,0.0105,zetvnpghhd,doG,0.1845,eapgnldxma
hakwifpttd,89,0.3545,DOG,0.082,apyezjmuqx
umxgfeaqcg,0.342,0.1625,cat,-384,dOG
505,wyjgjzktqo,-0.1505,-950,qanlyxozil,wprzbzvmej
