cdrudidngy,yzuqbqmfwf,bfeuvtgyui,zxrebjqdmf,pjpekjymnf,ocskqglxbd,sgujxbwotp
0.3675,-0.052,283,caT,265,0.116,wxhcdewfcc
iifpkdvxfr,-0.243,-0.482,0.4725,-0.04,zjoyedmvxv,dOg
0.1455,-0.2355,dvhmyrndkf,wrmqczmbjq,zjyxcrgxsz,rwmrveqswf,spnssubsij
cAt,-0.0055,sxddjrqjuu,-491,0.422,ilncsgquyu,fhfmstdtha
DOg,kjjpzeoivs,hcalxerhen,24,429,arxkhwnqbn,aatxjivjnn
-0.2545,-153,-0.2545,-951,0.015,-191,476
mitigpsftf,vfffloypma,499,unmpxksuyq,0.442,-0.286,0.2665
-116,-179,rsiajphikm,htfplmdabc,0.41,kyxruxagxl,-793
suprceyykz,-568,0.1665,bbuollwydf,tgakuvvskg,caT,DoG
-453,-512,doG,0.174,axzimdheuf,-0.4135,tuidahtwfj
-0.476,Cat,-0.0745,0.092,irnljockka,rjkkedepqu,793
0.349,-137,DOg,957,gxfgwimduc,0.326,-0.458
ombwagafhd,paiadfypqn,geicopphqe,267,0.009,-199,nwhvjcmxtu
0.074,0.4795,0.1945,0.1455,0.13,ikgnohxfvt,2
0.47,hturzhgcgx,-173,DoG,966,-290,lxxtwbmfjk
hsptvvdcjt,0.013,adfysbxqbo,0.2775,-0.3205,Dog,-524
qvhpxijkce,98,Cat,CaT,DOg,koodceiqwm,yswavysvna
-0.2895,-332,349,zpsphgkwxf,-242,-523,-0.4695
615,537,-850,lrgftlcbml,jairkkqnfw,981,0.412
DOG,-357,dOg,-0.4475,-0.344,0.303,dOG
nwnmabifuy,878,802,dOG,caT,-0.28,-310
Cat,-0.3185,isrcgefyps,-290,dOg,0.4325,-290
heiduzfebh,-0.2255,wkawyjeauv,903,bqrigsqvel,-0.415,0.1195
0.2935,0.188,-27,-1000,mugtnihiny,cAT,-889
0.0625,-0.454,ppgopothpg,0.458,cAt,-18,472
-802,hxzweflala,0.431,-597,dOG,xogchdxmry,uujldgmogi
yygveiyiof,-0.187,vuxwuxalpv,0.4765,CaT,-0.0365,qamkifhsnz
Dog,-0.4755,ncxptpjzwx,jxyqwfcazg,cat,datiqlxoum,866
CAt,-859,qfvfargseo,vjikdckhtq,-19,0.2095,-757
siobawgudg,-0.1325,-555,ombasjxbbl,-0.125,0.4155,-0.441
-0.2115,-50,szpkxvianf,vwthukvouk,jzkazxicrc,-0.2185,dOg
zbolsgzohu,919,DoG,dOG,rucavpdiij,-0.004,CAt
0.0975,fdrnijulbt,355,qdleptslty,CaT,-657,737
xzgetnauvz,-342,-633,xqqlxzucus,rrowdrivti,ypxihfphif,cat
0.4,hcldldpbxl,-0.074,ueylujfeze,dOg,-396,-519
-534,-0.293,cxctmxdzqp,0.0505,531,-0.1535,njjjzdqxky
-0.138,-352,864,307,0.207,fhmxxeoxun,-688
gyfoyzmbsc,0.386,ceqosgztsz,-0.195,CaT,-0.3355,0.253
-0.394,-0.38,-417,iqcmkdkbhz,zyudpckdjy,504,DOG
-208,0.2705,0.4755,-0.485,696,296,-163
dog,0.0145,CAT,-0.389,-0.3985,891,761
dkckjfdxzm,zuhsebloxy,yzwarlnlpm,egbeowbrql,kepuwsgnsv,-1000,-0.454
0.1525,0.2725,0.4475,CaT,ztdyrmngso,-194,vplipincqe
obttnxvoon,-0.3555,-0.058,-0.128,-0.2885,608,817
-309,hvokgrvjnm,vowolutgpm,975,251,0.0185,kumffegcqu
687,394,-0.106,CaT,182,ngjqcqqeoi,149
doqekabjwc,-25,cAT,16,-518,uvqctnfnnx,bgszyztmps
ebwwrrqtgc,aaizfdqimx,-0.413,-0.413,0.16,davwagfpiz,rornqbvaxt
-0.139,dog,gfzzqmfsim,Dog,nptioontkq,-0.3365,0.0315
0.4075,0.205,CAT,959,huojwhadef,0.252,dOg
-0.3445,ogwomeyexg,-205,uipnsrlnqg,bwskcvgkqw,cybfvcvwyt,-0.4145
amumvxcldj,796,-0.0915,-0.3925,0.0645,0.481,jbnqzmuqxt
-955,-0.338,323,rjxnkjaoyh,0.0965,99,-0.04
-0.1255,626,caT,-181,183,449,304
szyldvesiu,ueypjcrzox,-0.002,jujhupoyoc,dodisqbikp,dog,-0.132
ttgufgxeue,cAT,-835,-0.3725,-0.2295,848,doG
94,wdrkoajnar,dzymfiafsm,273,DoG,owrqdphhej,CAT
caT,-629,-3,110,dog,-977,0.1485
-0.057,dOg,0.3665,-425,-593,xwqlmwolxg,-464
-0.1885,igeiweachv,gaufhrbpvn,wclvqfamat,dOg,0.365,495
hsttjxunea,uaajptltpw,jftbguajqh,urukdupwpj,raawyowsun,qntnbpqxbf,0.175
DoG,dOG,Cat,caT,118,wacmphnaka,0.4435
igqyllanjd,-0.117,Cat,-0.292,DoG,171,auylkfsiss
fjzpfvmfqo,-0.4025,-0.0885,551,-0.1595,0.048,dOG
-0.0385,0.1035,-351,295,0.0685,dOg,0.0345
