wvetnlavoa,hfgrciqgpi,eituygtple,txlmnmvbpp
nkpfaxskrf,441,cat,-718
xmyraezflu,-0.49,DoG,hwwjrvproo
-0.24,-708,0.2635,-0.2035
-0.2675,0.3515,-0.4545,cat
-0.2645,-0.1985,0.277,dOg
doG,-405,651,0.0955
0.266,-614,0.25,-908
ojshsokzgw,qljinsxzmc,0.341,-378
rzqziyicpf,722,504,hwfbzvpsxh
ogysvsydec,0.1315,-482,-106
310,cqvyfvkqpc,152,-846
-595,0.0835,camyvpqigx,267
-0.161,-0.435,dfhlzjysnn,dhvqqwqhbi
-0.3745,593,-799,822
tglobfixjh,acznlizevd,cat,foekikmate
-272,0.0375,cluroaemhz,cwnbqtrglg
sqbdtoqrbh,CAt,zuzrqackms,bsnzqksame
497,cAt,wvgdktuchj,648
