dbhpoblawi,pET,klehmoyqfc,ecmdghmloh,hodkfcaqbk,ubsyqbgnzq
305,dOg,fwxoqmxhdp,-0.136,bbnmhpxiia,nupmspocig
-891,DoG,CAT,66,DOg,-13
0.006,Dog,0.0135,bxgebxwmgw,zokwlrlulg,fzgnlrtyze
0.46,DOG,-352,zplgraynbt,0.2545,mbppljujld
-0.171,DoG,0.2645,435,0.1825,DOg
0.499,-0.2555,0.442,0.3605,936,abdihftepq
ahumnhcjfr,CAt,816,145,914,uejuqphxrc
790,doG,0.2215,0.4065,CAt,825
0.065,399,697,Dog,-0.2435,447
0.3575,cAt,-198,0.4065,rjbfchiksi,cAt
yeqfzniffo,-0.295,qwuhewxcdg,wfdzaxfwsk,-13,-0.2235
nhqonsixkf,CAt,0.287,-0.3725,DOG,Dog
yafvmwhwbd,Cat,kfsbhffcjc,-303,CAT,crwjfvuxyw
-0.2,dOG,Dog,aaafjdvthn,143,vxzdvxiteo
-0.2215,cAT,jnauktjsrq,290,-0.4545,doG
-628,-932,-875,-0.4705,rfapyerouq,0.254
rhioczvcdg,CAT,-0.0335,0.1225,cAt,-78
ysxowpidgf,17,-85,oqiohllceg,cat,0.4515
-374,caT,zjyjgbiifi,102,467,ftldquraqf
736,caT,DoG,-621,vxjvbrwcgd,-0.358
DoG,Dog,-271,dOG,dziygpfxjv,caT
fybtctssnq,Dog,hwtsamoxgs,0.0235,-441,iddqgqwpwg
-0.37,CAT,cat,458,pgllajrhpy,-789
-168,doG,-0.098,jejfguibnq,32,0.333
0.1995,cAt,cnbttfiksa,-589,jydpdvtegs,-689
0.284,Dog,pzqoxdazmc,555,370,-0.1325
-195,CaT,lgjogtouuk,ukrqbkcrxw,73,boqcjunyts
torhqxvxqj,cAT,0.4205,bqfiigdkhf,-774,iuvpuwuzsq
DOg,cAt,grqgvxiwie,iupodpvoca,-0.4775,0.3905
515,cat,0.0105,-0.3845,jadiptxybv,iopqzaswvj
0.343,DoG,0.438,598,741,-0.4575
gzawqfftwf,274,dOg,zqdeauztas,jluyftrkml,cynpxgjxgl
369,-733,-0.294,-266,-0.1255,kvtonbhyna
doG,cAT,0.4235,665,wputnhlpzw,0.388
-0.0295,DOG,0.0495,dOG,534,cAt
-0.392,Cat,egdpxsdylh,0.1035,244,ufxuqcfuaa
DoG,cAT,-0.336,djhxepvdjg,cAt,0.1645
0.0125,0.3445,usyopmxoph,DOG,jxbmeofazn,iajzaekyxl
423,CAT,-672,swqigxbybn,cmyqdhgdkv,bqowchocvv
-577,CAt,CaT,dOg,0.3015,-568
