gfenilvnma,wcnieerogs,dwqcsaktwd
ghuayhfara,-0.0625,0.01
0.311,-0.2555,587
-838,-194,-0.1995
cat,460,dOG
npfemrktvg,ikreticdjh,jqocfthkdx
mrnszhdheg,cgjkvhltug,-0.046
dOG,142,523
0.0035,-472,ksyxximhoi
CAT,DOg,-0.1315
0.18,0.23,etjlxxwzll
mdwudgfowf,220,539
devvqcbhkh,0.0435,bkjiwxbqhv
128,ypumaqapxm,0.054
281,cAt,-896
DOg,-0.093,caT
gdpbeyrysn,cyxleygdfh,jucoxpwfrz
ufsuqexkkp,0.434,-0.023
ugkvkskbjf,464,qcopxbnmeo
ctwcpfrwrj,oeozdsepoj,-29
0.2245,-0.3475,-809
0.194,gklvdvpooh,0.4
290,-788,ztiawtjhvc
aecwmsgnto,cat,lgnfobydmi
orczrbtypz,-748,rrnlzqqksa
0.3945,0.113,oxqqplquyi
670,CAt,txoceymkeq
-0.0695,doG,xnwayxsbrf
ghbshjtphc,-0.284,0.4565
-288,0.3585,okcmvlbmmk
0.1205,tkqlrnyhhm,gmpkfjadxl
DOG,-145,lnqjegsizp
0.4445,xprdjqlghh,tnvawnytmq
Cat,cAT,0.349
-0.2915,281,0.333
axvbgdanie,-697,kmvkhzyelu
cat,CAT,-241
0.4615,rltyhlqphw,kgfvtgxtix
0.3175,CAT,-0.2325
qdzcqurarx,DOg,713
sqziiutomf,471,0.1975
dOg,doG,0.2335
DOG,jhvulygdri,khkxutuhce
-552,pgrdvpuwmb,-0.3405
Cat,645,0.4525
-0.485,-319,cAt
0.405,CaT,121
qiiuulhrtv,cyxsinyjdj,0.1815
Dog,dOG,161
-0.124,0.2975,CaT
-842,usdmrzypkq,202
-0.277,0.1105,lienuimgwp
-0.094,oahkomstut,0.376
-0.012,-214,klgwxjteie
ksuxftmhcw,CAt,-800
0.005,CAT,844
iftchgnohq,-0.3075,piunkotqtl
228,doG,kyawhugyek
dOG,psdcexncus,caT
ntrobuossq,-0.1165,yziwwflizx
19,doG,0.149
zptonzujuu,-443,0.0
iixbspgfje,-767,lwbfxwwnuw
-833,-0.1855,0.286
-0.05,vzfnqtfkem,714
0.2325,hnsmxmxbej,-164
-0.0555,-0.2755,0.13
DOG,lxlqaoevxi,-0.464
0.002,dOg,DOG
lkxzjkbafj,guuorhmyki,eoqygmpwoz
164,truccfnwax,zuaadlpwpq
207,-0.482,gkxzdvcexe
314,0.4035,-0.126
cat,-29,dOG
0.4055,-469,-650
-0.2985,0.4365,0.3425
0.0455,0.4295,-0.2695
