qedjyguemu,jtcvhsmchv,oocamvtckk,zrkretujmr,iwgckwfgpq,oqqojduaqe,Pet
zqnymcxdpw,CAt,vubneebmzs,cxaoocrwvn,dOG,tepbbdeeha,cat
0.295,nxwslpcxfh,DOG,-0.0865,vkmcsroseg,0.0495,doG
jddfmnhxqx,oqslpwhife,-755,ppzomtuklj,-651,-0.2675,0.4935
doG,alvwyxiinf,haaduxzavi,DOg,cat,caT,CAT
CAT,621,CaT,haxzykxygt,0.275,0.051,cat
eextyldrbb,390,-90,0.3675,-398,-613,jjjvzdermh
0.229,xxnbkcxxct,caT,mpdgpgdtor,-189,230,wfqrpdhict
858,doG,dOG,-0.1315,261,rlfdaywkgk,DOG
qtkyiirzdi,0.1635,dOg,134,CaT,fwnvlblanr,-0.3885
0.0665,-286,popdrycruh,Dog,0.4235,-0.269,CAT
yzpmuywjhl,ccijebxswe,CAt,-661,929,kyuqglefqa,cAt
xrzhalumfq,cat,-873,-453,-0.2535,trsjlhqqps,CaT
-0.3805,bkddisqcrm,618,-0.4795,-128,58,CAT
DoG,-749,-176,-0.1845,nnpiuoldbz,CAT,-0.419
hovdgydjtr,368,0.494,-0.4435,mylmbkzecm,Dog,63
0.309,yyirjjldze,wswkhlyxbk,-316,ltaagkkdmi,0.2745,dOg
epdolnyuba,Cat,320,ljanmzhxwy,0.2635,eukdpmgprr,Dog
pqgzqtexhk,caT,997,ygtsqisrob,0.003,981,CAT
-0.2275,-798,0.388,224,-0.202,-0.4025,Cat
-664,-0.0065,caT,-0.253,0.397,164,cAT
-0.1535,adlmzbvtaj,489,233,yxogvidisi,cAT,dOg
89,vvixvrlwgg,Cat,zreqazyyjn,dOG,oylusjuzoz,DoG
0.0215,caT,625,CAt,0.2485,CAT,unqqryzvyx
19,nyatgogzow,0.342,-0.296,-876,CAt,DOG
176,swyyorqpkm,0.251,cmeqplliea,0.039,-0.068,CAT
-481,0.165,-0.1805,721,0.1925,hhjyjklade,doG
cAt,-77,-464,-0.3895,-0.4695,-0.1725,DOg
qtrgiukcom,zogwjbuerk,DoG,-594,0.2265,asfgtglewy,-0.237
nibgvmjilo,0.1945,-0.101,-544,oqfkuwjjyf,754,dog
-0.2055,0.4595,-0.4035,-0.1685,fwsnvyogzh,Cat,doG
421,-90,cat,849,nydphscmth,0.468,DoG
kqgbowkcdd,caT,-0.151,nhxbksjowb,-0.2645,0.1795,luxktkjsnj
0.3245,zjeuoylppg,DOg,-519,cat,-0.0825,CAt
gimjjpdqgz,0.2075,-0.3815,cAT,CAT,0.0175,DOg
