mqzpqljbme,fmpbgecnvh,fybpyoijrz,ailoywvsvv,gzmivntkrz
mgqddvoayk,629,ciklupdiur,-0.0105,-0.222
0.2735,-0.3405,CaT,Cat,0.0485
dOg,-0.224,-0.4765,801,dOg
-0.454,0.2885,DOg,-0.051,0.0905
hrgmyvyppi,-0.179,cytbugsibf,54,0.1745
869,kottubdloo,ztsiomvdhr,cat,-0.4095
-0.1365,cAt,310,-0.077,-895
DOG,piewlpjtqs,0.331,hugwuxzayr,-700
-149,421,277,-605,878
0.024,vrycozsifj,-0.128,-221,421
-0.441,dog,vdzdvhmmkc,pexqsvxwyq,gqwprubrgk
399,cat,dwbduywfwl,CaT,xljfqifnlc
mmlrsfdaru,pxatvzusjz,DoG,vrisshzhhm,745
ozknqzolje,-939,-65,xhemsjwyfe,47
ggvfkdhcby,ubebrezxma,gbsjfbezfn,-555,0.1495
