johratcpek,fgtswqutps,edxxmcaetb,pmoymwpulf
prqjeikznv,tpsefloigb,0.208,dOG
DoG,ubnndgcrbd,0.4325,acnznnirum
intpxyugxd,-0.043,exfxvqznyy,ssfdyupymg
Dog,0.262,0.3595,dcbesazoyi
cgedqvmzjm,mobkneceyt,0.4525,-0.488
0.3215,0.1365,273,lcwqipbrue
0.0215,Cat,0.3955,ebrmkamhco
ezrixtgjbk,0.033,cat,0.028
dog,0.453,-292,761
-645,ncbvzgkusg,-0.461,nquqemcgyu
DOg,0.032,-0.391,732
jvthlwrret,-346,-0.3305,-0.1965
mymqxosafs,-392,-841,576
-0.177,qadzcghlhd,dOG,wjymjcvqdg
0.03,conggwxlqf,bqbztvfwuu,DOG
jxglizdjxu,-571,DOg,0.1655
yphckrurcv,879,0.495,cat
zzhpxdfyyc,ikkhenbciz,0.12,etmlcppkki
annsqksyzk,-839,-509,dOg
tqpsthgviq,doG,-916,-0.2285
cat,ymohcxpkik,tzlszoinmg,Cat
-0.285,619,0.3035,caT
vkjmrotauf,0.006,-0.182,cat
cAt,-0.417,CAt,941
738,657,-376,0.02
-984,82,-0.29,seqdxjivvl
Dog,yrbbdforba,467,830
llwafmnora,elxpjarvyu,bplnyvtnds,-374
tdowtypjmg,-0.1015,ctlwdwqdgp,cat
psbmbblaom,-931,-0.0295,knlxjdbgwo
cat,dOG,0.2005,768
-626,677,cat,ssvkhciotr
uvmdvzwlxr,669,scphqjcstf,-576
0.187,581,0.0405,upmsaxknyv
0.4135,-783,-0.3695,-0.146
48,fhtsyvvbwu,nlenhedlal,dog
843,417,942,DOg
eccdxobyoi,-132,zrnubjzfuq,zussmredve
-42,dOG,0.372,yxhkqsufts
DOG,-116,-0.085,-137
qybzgxxfou,ajgqtcabed,kauehfsqlt,nysrfviwig
