ywrdinqmaj,hesqkbnkjw,pet,gbwqrxlhux,wqwgnzppnr
rzjxvnmjre,213,dOG,CAt,snlalvxnjk
doG,149,cAT,546,707
gzbjouyixr,cAT,cAt,uklgjbfbop,929
tsbrmjqiad,860,cAT,CaT,dOg
0.449,689,CAt,cat,hkguywitmz
0.4405,Cat,cAt,-0.4965,672
DOg,-0.0955,cat,Dog,0.3625
627,-0.3665,CAT,odfxvbazhl,immcqwsqgv
cAT,163,doG,-0.399,747
308,xuhivnvtre,724,-770,-0.396
iutvwyzrac,406,cat,cyrqtsarfh,uzcolfhhhm
0.4865,873,DOg,dOG,snwjpndhja
-918,doG,CaT,-331,mrvuhchoro
-0.07,0.3215,0.296,-0.012,dtbnvfdqcm
DoG,ksczemzudm,cAT,0.348,ncborlvlch
yivcanknbj,-0.06,-621,ukrhwaopdc,-0.196
-773,uslqfqgntk,-621,0.0635,-503
-0.3375,anwifxixga,doG,sljooushci,-0.0755
-993,773,cAt,ozwqhbeung,816
-703,CAt,CAT,szkoqzgurf,53
-774,514,cAT,DOg,-0.402
140,urmgbuebtx,ymbnejpgzt,ychltyakdt,xaukytcmpr
sfiajbttvn,-846,gddmdioblg,qbsjfbkkhf,cat
DOG,0.225,DOg,-0.2505,0.218
-0.116,0.138,iczottrqkk,wsslyncgap,-83
-408,0.2945,DOG,DOg,0.1575
656,caT,CAT,hynosjtgur,srxjubqstg
pzgqynnfmx,-71,39,-0.292,-0.3785
93,CaT,cat,0.0645,0.3085
330,0.444,dog,0.28,tearasoecg
dog,0.1885,cAT,spbbbaxlcj,10
0.2045,Cat,DoG,380,-796
bwyxlyjmxg,-603,doG,qhrnrufukw,-88
22,0.11,cat,0.024,0.1435
emkjnokoyl,-0.4735,dOg,blpzhzzwza,xafhnnecef
aormxljlrh,0.2505,dOg,qmbophwoic,-0.0165
0.0685,bpurcurmql,dOG,-0.3525,dOg
-476,caT,cat,jpjnnutenh,-614
cAt,0.1595,cAt,-988,doG
-508,-212,jqezodemfc,-626,-179
DOG,0.234,Dog,mwkujjvdqx,-0.111
qvtljkyxbd,DoG,cAt,-0.283,dOG
DoG,-753,cat,0.287,-0.4445
-865,wjbvafkcpm,533,0.0475,CaT
nxmxjhhalp,bratsbtoqm,-0.226,-0.372,36
Cat,duyzngpzfq,-0.2775,-426,-239
-478,cat,cat,440,-0.2105
xojbqucqip,CAT,0.2105,0.317,-768
pgrosyrfkq,DOg,Dog,DoG,pwjtakpcop
fjcmlzchlu,DOg,CAT,-0.143,450
692,tamektzcgv,feohqtsekw,0.0185,pgyjngaysb
0.2545,0.3025,Dog,0.258,0.4245
kbqhjcpwhi,-0.3555,xvmuijpyog,-897,oatqppuukh
472,pltqiorabp,CAt,tvzmrgbtit,wrtatswvlh
mnovebbahz,0.127,wgynekrgpo,0.388,-764
dog,doG,CaT,tcadorsgsg,535
-0.204,DoG,-0.4635,bmqbaipkwg,0.2685
-937,-0.4295,dOg,-0.446,caT
utxjpuwtlf,-0.0345,Cat,cat,-596
nhumexayay,oqfekqcwir,CAT,cat,0.3305
-861,-86,qpxkfagwqa,-0.343,-312
ndfmpilike,192,CAt,CaT,-0.022
-0.3115,CAt,cat,mcudscrwwd,doG
-0.0655,-23,dOg,DOg,nvisldtgpq
bcylzoilhq,wejkcrgdis,cat,adfpyvcrce,aifrmsjebo
doG,0.2315,dog,0.4105,-0.2835
-655,cat,cAT,-0.137,0.323
508,405,cAt,-0.4375,DoG
150,-0.378,-0.137,0.2455,-0.002
-0.488,cat,dOg,rljstyqdjw,dlsokgpjzu
kvapwcapoy,yprnqjnvln,CAT,-560,dOg
hqgmlrgwxu,-0.092,CAt,bcdlvfcpwh,-187
827,875,cAT,-880,CAT
0.478,0.0265,-931,659,0.497
doG,910,0.474,DOG,608
-642,257,CAT,CaT,0.3945
khmjhlpdii,935,yvfkvgbrdr,-941,175
-0.1195,-0.492,caT,-0.1925,871
0.1085,0.3975,0.189,xxckcrizbo,0.319
-0.0235,0.2265,DoG,-960,-333
-0.275,-425,doG,748,608
cAT,-0.428,cAT,DoG,tfbotwjurw
782,0.226,cAt,zzvsfnrlcm,-559
0.465,ipktddcatj,yjllygznnh,kiodiiacek,CAt
mmjbptlbro,-279,DoG,Dog,inikmykwye
624,amzphgrxrz,DOG,0.4695,0.1735
