xnfiqirdrg,wjbawuldxi,ayfblyziat,rruumtwmhr,osugklkern,jmykhvdjwf
txztuuykpf,-247,CAT,-0.0165,-128,919
qhrjxveppm,madfvyunkv,-378,CaT,caT,838
CAt,DOg,ebbjohxuwz,-421,fjynpnrjeu,CAt
-912,CaT,ufenoqxrqe,-0.454,0.137,tfqhsdghmx
buiqnpiyfr,Cat,sukpdacfaj,CAt,-0.2005,-0.4965
ftxffkljbs,-0.453,Cat,-0.367,-0.383,caT
0.0905,DOG,0.3375,468,dryjejmlmu,swdxdbbujy
-960,0.037,-0.1435,60,jttxmpuaxt,qtpnfpocuk
663,-0.185,CAT,-0.129,DOG,nejudzuopt
0.0,-0.353,caT,riapjuynud,453,446
-0.0385,-606,0.091,ouhxdozsgl,0.0495,ptkqndipqm
doG,0.2275,-909,-0.2515,elxeqgvsbm,0.1915
-0.467,907,fisxsvyzqf,Dog,spbrslkefu,0.1035
-0.073,-868,225,gjbltztxtv,-346,doG
lijqkmosdj,DoG,193,-0.3705,40,kxljtsvzjn
-0.134,-420,ilxtgctidb,-447,-155,eddwawgmjg
0.3595,gkckzbehrc,cAT,dog,-265,0.2095
doG,427,DOG,rryfnfyqqc,emkzyalikx,vktianavdk
bmburumhdg,0.4115,ignhjplqyq,-556,qavhajaqyz,cat
-354,0.436,dog,gnfsinotyz,cAT,cAt
zyiclirchg,-12,-0.1395,cAt,trejywcvrf,508
-495,caT,0.205,qqajbmxllr,-14,191
0.4005,202,-0.2815,-0.014,DOG,981
-874,0.4475,110,704,420,wbcuhptufu
-0.449,caT,-225,225,vmfenhqwir,DOG
0.166,DOG,776,-214,693,iyjxxkkgef
Cat,xhuxrsczzi,-816,DOG,fhqrxsqzdv,-0.3285
-24,-681,650,rytutvptbj,0.2745,0.0295
-0.437,0.4665,-0.085,466,0.149,tbefytmjij
0.0965,CaT,bbskbtgxnv,0.4955,jqavkggikw,yjcljcsbuu
svaujnbsus,gtatozwxqr,956,dOg,0.436,-751
afkfnqxnjv,-0.0575,kiywrszwpg,kpyvfetmuc,-974,877
-699,dOG,DOg,CAt,-844,-0.0545
9,212,16,cAT,113,DoG
-0.0875,936,-0.3405,-896,dOg,-240
DOg,-0.29,pvtyohadyd,DOg,452,0.376
DOg,fnwrezucim,654,73,dOg,Dog
-939,435,-0.3275,ywybmtgztx,-885,gxilnuussk
754,caT,-740,0.4965,0.2035,asmpmdgjbe
0.375,-839,-0.042,jlkvfaedzd,CAt,-0.3405
csllpupnsm,321,ovlaozjtyk,-0.2225,Cat,-129
-0.283,dOG,0.227,tafqeopjac,dog,lvgtmihafi
-937,893,-395,134,clohzkgepf,360
-731,lgrmlprrif,hjkvubxrwq,cAt,0.261,-0.401
0.462,DoG,-0.0015,dog,-84,zgehhuxjqr
idktctyxvh,xaaoxeclla,dog,Cat,cAT,0.283
-0.4625,0.077,DOG,llptwuzlip,doG,dOG
dog,fijdvgyftp,666,Dog,-392,haxvkelgmz
-0.078,-274,wutfwbezao,0.345,kpayskbogq,uwffqtqnid
bpvedgsuak,-239,798,jjorhsbafe,gbkiekqlzu,wlmbcyfsuf
0.3205,-862,386,-0.0345,-0.388,-0.0955
bhmprwhswy,dOg,0.442,-0.0585,-926,-6
0.212,zyfpvgmtav,120,0.295,-830,430
724,nudbnhhabw,900,0.3745,0.031,-552
-0.4885,qhlhiefufq,417,-663,dog,765
-0.4585,-969,80,dOG,rdnaqdmlsw,cilpjgvias
cclbcwcemc,-0.0005,-0.1615,ayzcnhktsw,251,cprbdnlklw
hniwswjfrd,-0.4685,rbrgdygzlk,vcorzmfhfs,sviodzjukn,400
-0.4475,gzirdhngts,-254,cAt,DOG,cAT
647,391,jgoixlkqtc,0.4665,352,-0.4185
cat,elhcqjdana,-91,0.199,cat,-0.2935
Cat,pgpiddlccz,-706,0.3775,wrkfmydvsj,0.373
0.4415,caT,407,-381,gwxfpelttq,11
DOG,dOg,0.256,0.077,anwootqful,-175
kfoauaiedj,-0.1895,vnajakdtsg,cAT,xayylflbua,0.018
xyhwmzsies,882,DOG,hcrhsnkbvl,DOG,-0.216
evyslfknfx,-0.021,926,357,-928,485
0.042,656,ejtlmdmtcg,317,-936,dpyvhxtxwn
-0.0185,0.0185,Cat,0.495,0.2875,882
cAt,0.1715,idggbjgmuj,411,0.0885,-0.1715
dfcsolimht,DOg,0.0185,obcdwjitjs,djyawffpdj,vzqbyeysta
-0.0015,-88,-77,asgaoguipz,Cat,lpgmxcuoni
njrilbsnav,78,0.036,738,qsbgldtvvk,caT
qhfhsbmyox,76,dqmopnthfx,-0.252,-0.347,-0.3465
0.0185,-0.489,rwhjupeyyz,gjjsaskqkn,-0.014,cAT
uakrpwzmdg,243,cat,dOG,-0.2455,-728
-311,eucqalqtpi,DOG,cAT,dynnjblrwa,0.281
-173,CaT,cAt,-231,DOG,-177
mzwvfafpzm,atligvvaqr,-970,578,CAt,-0.2895
jeufcuvaff,CaT,mceqtxwixv,tregtktmnb,dOg,-0.0215
DOg,CAt,cAt,80,-185,wphwujhyck
852,jzyejtlcwf,0.318,0.244,0.0095,-649
766,-0.225,riibrcdmyu,akxwhjdyku,677,-943
0.2285,jnluwpeqyx,-353,-0.441,-0.4395,wcqicapoth
0.354,-0.4265,0.474,DOg,457,-126
0.0715,zummitilel,-0.2815,dOG,hfdomskcjo,vuhhjtcvvp
