cxfbhibzsj,hbhrtldqgf,jipvbjdlah,PET,nfntvwinxs
-667,-362,cat,cat,-0.1305
0.497,-0.247,0.185,DOG,0.4665
vzrqhztlpp,dOg,rimdcrzfna,0.013,hlickhroyv
-221,454,DoG,0.109,cAT
xjcoxucqmj,-216,-0.2125,dOG,doG
0.323,-0.367,jmsqttqucg,DOg,fqimccwdzn
zasrvqgara,rhjtngulpe,-0.122,DoG,886
0.061,CAT,Cat,DOg,DoG
isftwgzowf,ribuotdryr,-64,dOg,0.48
vatapxprhh,jsraotizln,900,DOG,-0.339
wzafqhgfpp,-638,242,curwrsvkxs,577
Cat,0.4305,-0.336,-761,-0.129
674,Cat,-898,DOG,Cat
-0.159,590,rykkbgzhde,0.0385,-0.3855
0.2675,567,-472,CAt,0.051
0.1895,0.432,581,-0.445,430
jaubhmpxgw,-0.449,0.32,Dog,psgybvomfn
Dog,87,-319,caT,0.1295
uhhpmopiow,lcpvwdrngp,531,CAT,vodizqqvla
dOg,0.178,cAT,Dog,-106
-473,-354,0.0555,doG,mlmibjihys
puslnethtl,352,-0.049,caT,tsbjqvovkp
0.4735,ouueuxftzd,-0.106,ldmghwjnik,0.189
-456,448,DOG,dOG,ojlqqnjnez
-0.112,690,DoG,doG,-0.102
385,-809,285,nxfnewkiwi,aizagdmiii
mpifpxgewf,-0.029,532,cAt,CAt
0.4475,402,ifwfxlvxts,CAT,-945
cat,itardxuwsu,-512,Cat,esrwgcutrz
cAt,139,48,dOG,gofuonocma
-744,nnsmbghtwn,CaT,dOG,flvlwfcoao
cAt,-0.088,-262,CAT,0.249
487,454,-884,dOG,963
qgocxhwymv,xhjpeowdho,-848,0.076,748
-0.355,974,0.179,CAt,0.1245
82,-939,-35,wuwnrjedrq,0.1835
kncrdhtexz,pjptmpjzuj,gqsduwmsgj,CAt,lewwkkdenn
592,xcurgkonpj,0.1905,Cat,Cat
747,nrsswtourn,-519,cat,hcarpyuxep
370,anoldlpxjg,cAT,cAt,bsblbvsiia
0.4855,dOg,-934,dOG,0.0635
lumqqgvsrs,0.4185,-349,cAt,482
-410,CAt,utrynlgnxz,dOG,rfojprmdsx
dmelxdmgvm,dOG,-0.4,cat,256
0.4555,0.4365,-411,taprprifpe,0.1655
ttjhmqxxbj,129,CAT,cat,-0.383
-580,-347,-0.2565,dog,674
-308,prbcxphbov,xoamfanlus,zyvonmkrgr,-0.1525
rbyblgbobm,CaT,adgihphhkl,CAT,0.1905
dOG,0.32,CAT,dOg,0.1325
uocdckokip,-756,-0.403,312,jcbzcmyuhe
-0.0475,-500,CAT,-297,0.3505
-496,484,0.494,-339,gdptmrkjbn
0.1235,-70,nfstswymtk,CaT,kdmbhvdhpd
0.392,-33,krcjqahoja,Cat,Dog
-829,-798,fmiqrljcei,caT,-668
-0.056,0.33,cAT,-0.1575,CAt
lhhgbtsovu,-314,-0.1435,942,bxbwqtoiwm
pslcgpygbm,-658,-0.1235,CAt,0.222
309,-499,0.329,Dog,-0.4505
0.301,okmgwupxuy,dOG,quxqmfmprc,908
hgfajiydrb,yzwdibtkdr,Cat,DoG,vfxxgzxyth
-727,fqzzwlqorc,-0.051,dog,excmtjhmpk
-377,-0.265,-0.0585,caT,Cat
403,0.059,0.1635,Cat,105
604,0.296,-0.054,DOG,eqdksftild
jqpuflyzax,fufqrokxzm,588,CAT,-549
0.0465,fzibuxhyvc,0.026,Cat,-0.368
-243,ygywiayvon,-0.141,cat,ptwozthzli
0.3075,-0.175,0.402,DoG,0.175
uncqwqzlwy,-534,0.262,cAt,-565
Dog,-0.188,rabvdzrtey,195,fqzmtnbbuj
27,0.492,oomioftzzw,421,DOg
caT,uottnuhruk,0.128,0.32,815
0.034,-393,cat,CaT,0.3945
doG,0.202,ztjoousijh,Dog,DOg
soqvkwmmbr,rnzujqsoqb,139,CAt,-556
ewjserszsw,0.0465,0.209,caT,paanxfohbj
470,sxslwwgyfa,-806,-0.062,-585
-0.287,-0.3125,gdmjwfsgvr,DOG,-634
cat,0.443,-144,doG,0.096
bxhrjulgvf,265,gnzuzdvvcy,-0.1665,-0.4285
DOG,918,Cat,DOg,885
0.385,cat,msxgfkeemi,dOg,lfywucfeaj
ukutfnupdt,ekzqlurjmp,892,DOG,0.431
0.233,-378,-247,-0.372,DOG
-980,-0.0775,-731,0.311,-154
CAT,-0.0635,-464,doG,-0.2335
0.459,doG,jbztfukxcm,Cat,0.061
zfcbzbqedr,-0.2,hcbigcnhbz,-0.4315,eftevscjbg
0.233,Dog,-81,DoG,dog
