cyqykwzvxr,qhfqmtfvbd,otjtvkcitd
-0.026,vruyjxzbxk,doG
-0.4915,65,0.3485
-571,DOG,qcvplnpsyo
-95,0.161,-0.469
rbjtocgssv,-0.021,ljfuynuwzl
cat,0.199,-342
0.241,-0.2505,Dog
caT,Cat,0.0255
0.443,-527,83
0.2205,247,-0.278
qduafuuwrj,vwdrpmshjs,ptrzbhxjyw
szplfalpji,-696,-697
vtzpwmljbc,-0.3745,652
ffozjtiutq,cAt,-463
-479,51,awhavgeege
zstcdpmgml,wdphojnizq,-448
woasjsxtdw,cat,108
fwtumfyrrx,0.1565,tfnxqvxfwc
-0.146,0.357,132
-0.326,-0.2805,752
tpsmxtpzwn,16,dog
-942,wxcivrsfmn,wojugvpfxu
-574,0.4305,0.2325
uqbnqutvhq,-0.473,dOG
-407,bpfuxhyoib,hsikvptjnz
uusubhizzu,qnmtjpodhc,0.1165
264,958,dOg
-0.0105,vgnpacafoo,479
-0.116,316,0.3315
-0.3535,Dog,0.256
DOG,sllhkersjd,eflkwjcjmr
cnecuaexwm,gmskdktait,jjvzbhklno
DoG,ecuuthayhw,503
jtspxyrvrx,-67,0.1165
0.1455,846,0.433
-98,471,dzmprvwrnb
