swmbdeogjj,oeftlrdjry,huafnxitqo,fngfpxasrn
-247,112,0.013,-0.4995
459,vobqcghdaa,-0.491,0.42
-0.452,0.0085,CaT,cat
-923,-0.37,0.1445,excmktqdtb
DOg,xocvssblfi,cAT,cAT
-804,oboxbetkpl,0.2875,-688
rawgzomqbn,DoG,-0.232,cptuldmauq
qazavahtww,ecbbqrjoxl,0.312,0.232
ovwtwdiwpu,-96,dOG,18
-0.2305,-676,0.4195,-175
wjrmhxjldi,-350,Cat,xqozfbyerp
mvuygfsabd,aqvbwshnds,zynclabyot,eesczfyzun
ljtdwttxgb,-589,yxxzqprhbs,209
dog,cat,dOG,vzcuobydun
cAT,-786,Dog,-764
Cat,151,442,dOG
-579,0.3245,dOg,-0.293
-842,dwgvxarbvo,doG,-0.082
-836,-375,-0.3605,356
fcyqxmaikz,vqgxdpfaql,cAt,890
885,-0.4625,xxbfsefred,DOg
-412,cat,vxogfxewxo,cbhpvxsyxe
-886,0.399,0.362,-150
CAt,812,-0.0345,DoG
xayihsuqzf,qmgmkuilpm,corwrllfrs,tluttrvsew
-0.488,-0.172,dOG,doG
848,CaT,0.1615,-0.3565
0.208,0.0535,-0.355,0.228
DOG,614,-0.3135,Cat
-0.151,bodgfvgwab,0.2525,342
yxphfliflf,CAt,-438,-359
-507,-513,0.051,0.1465
-587,659,0.203,-0.108
-265,-0.1315,235,0.4435
0.193,0.3015,846,0.2175
638,771,0.189,0.388
caT,mafbdohxnh,wgsemqjhag,ramlsdvkal
famlcybssz,Cat,0.059,508
300,-615,rbscyffsip,97
iervljuxlr,172,509,Cat
-684,rhmuesstsx,980,0.144
0.1025,nuaomjzqwr,CAt,-886
159,CAT,-411,-0.476
igpwsfjoqx,-377,peikevzmby,drtusfmjat
822,0.206,nammdhmxcl,-684
Dog,-0.1085,bnvpilzpxu,nfmpzkzywi
342,-249,gtwwoutagy,ufgzcwunoh
