fgbjdrfgbz,dkydrragkx,pEt,atzansbrad
-0.0095,yupqtenlys,cAT,ppdebyakac
-172,ruwamdzvbf,caT,-104
231,CAT,cat,baoelxnols
-0.061,-570,cAt,dxabdyapol
CaT,-727,nfrwjmxaeb,caT
995,-814,cat,bwtekaozjg
azquvrmolp,kzegaigmyg,134,0.4655
-0.0875,cjkiibusfw,cAt,-145
CAt,-0.4375,CaT,605
593,fbcilmsrtp,dog,-0.4575
144,0.189,doG,-717
lfrminvdxh,-0.4235,Cat,-51
-698,-219,nxsmcwfpnl,jrutqtbafu
-680,484,Dog,0.3665
8,CaT,doG,vcmanljino
-0.4015,hhkrouldpb,DoG,0.2145
958,-0.2615,cAt,DoG
513,cirficdwgv,cat,-845
-795,tetlfubixl,dOg,caT
CAT,pzasvqsyuy,-482,0.1525
zpdgfecbui,twmdmidogh,-0.3615,vdkvoctcmh
-51,-874,0.1495,tctdgsgtez
doG,dOG,cat,629
jfzghrnbzh,336,CAt,-539
Dog,-471,CAT,bvqxglxmwl
51,745,dOG,0.157
0.099,-529,cat,790
-0.261,DOg,CAt,Cat
0.467,DOg,CAT,-19
755,0.1015,yipexpgish,300
-19,362,caT,-487
uadpyeoohp,918,Cat,sqixzfzupi
usqswcydql,363,-373,xgskmxprgd
0.053,0.139,cAT,dOg
doG,Cat,35,-0.073
DoG,-575,CAt,344
hdithambha,cAT,CaT,DoG
CAT,-0.073,123,-0.477
CaT,-0.471,dOG,-0.159
-0.477,ugjqqdktzt,DOG,-157
dOg,-0.0785,cAt,wwgllnqbct
728,0.4625,Cat,-0.1805
cvxzdnyfak,pkwldsejde,cAt,-561
naxhoigsht,60,129,425
cat,doG,982,-627
