txxcqfeakd,jliqrdjqoo,knfwzmczsz,dtjjgxidst,PeT,akqyxmlsdt
411,zpmsoqhbnr,gowfjlwhqy,dvyombmdfo,caT,-703
145,290,dOG,nclxixyypz,dog,710
DOG,-14,dog,CaT,cat,cat
oqlltalzdj,924,-916,zdydjqptbr,dog,-991
0.482,0.264,cAt,-879,DoG,xgofphgqwe
omawculzlv,wjiqgrczkx,-938,-491,DOG,600
xcffojblqt,-0.042,0.098,-0.2205,caT,fmdpdkpesb
-0.201,-817,-0.048,485,CaT,scqzqiynrd
-339,caT,-0.3495,-904,pmzygqtvxu,0.3625
-0.1165,dOG,yzxdkhsksn,CaT,0.003,mmtexskpki
-0.177,botspfkmeh,-237,nebxnbarql,dog,380
dog,jpsqgqxzlm,0.3835,-576,snmeeunriv,-9
-79,-471,kkaakrezpq,-0.3805,Cat,-452
-507,-0.0555,523,-0.083,951,986
-214,gpviiukbzc,pnsldwyhkc,-0.0885,avjxqgbvys,838
dotsynavqf,DOg,-0.288,0.237,dog,uvmzcgyzeu
319,-0.3055,-617,tirhvtubza,doG,292
633,-0.1505,-122,-174,0.16,cAt
0.26,-977,axtmumehua,-0.142,DOG,0.4965
geahvyspzx,-425,Dog,cAt,cat,459
-959,-0.2855,ofttxohsrp,dspwczmell,dOg,doG
ungaplgvyv,iozivuxvlz,991,-480,DoG,sxycalobzc
xaguppdegx,-474,665,388,DOg,tboyxgpqkr
fmsbvuydee,0.4015,-513,272,CaT,Dog
uliamcjjbm,-0.351,-0.456,Cat,caT,mzeufsuvjs
-136,flnsgcfsou,doG,1,cat,Dog
gaxmrsptsx,0.161,ssknpzesna,161,jnqgstctdy,-0.435
dog,168,lswjknjgvk,xvkjarefqm,-0.2205,Dog
-0.2565,-191,CAT,-711,cAt,0.0565
gjygpnxqpu,-0.243,CAt,-856,sbmghfjpxz,hmiquubils
0.45,Dog,CAT,xvzoconzdg,cat,gbgncrajgi
ctekomovru,dOG,-0.383,DOg,-951,rybwlsdvgm
-685,qqnqgcrsdw,Dog,682,Dog,-0.414
eyetgbefvy,cat,824,0.2705,dOg,maszwaidal
-371,-21,384,urexbvivns,dOg,0.2215
-0.4185,xchjdbbzhn,298,449,dOG,hmjweewlnq
-0.2065,730,-953,acmwmpgvbe,CAT,lxvloczuuf
-0.1325,557,0.079,0.415,DOG,xufgbjnmdc
dOg,0.2865,-0.3245,0.367,DoG,-953
oxgubghiwl,-497,DoG,CAt,cat,zohhaomvuc
143,ohnmowijkz,hcucfuncxm,dOG,Cat,kmniupnqmm
whcdzgapgo,vkqlzdiizo,-110,0.2995,815,Dog
hrrjvmkzbm,-380,essiciwljd,-0.041,DOG,0.1445
130,DOG,621,0.302,dog,119
vziwlwneok,-0.1765,cAt,hauzneeueu,374,Dog
cAT,582,787,dOg,DOg,454
-930,130,rnoawxokwv,yrwofsmdiw,CaT,-0.258
0.399,-295,vfqarbpzzk,bnappxmxtl,CAT,jakruypyot
eszdwvbbor,arwqgytiux,fwzdzfwhax,-83,zzhsynbfpa,36
dog,102,njxwpmnrth,dOg,caT,rippkqcnye
dOg,0.4465,gzbngcznsv,mmalwnbtvm,767,cat
txbsgtyubn,fixtexherq,atiotxwxpy,-642,CAT,dog
-101,800,okatyrhhnz,766,DOG,-613
dgvevbsdus,-551,fdexrighgp,zjlpxljlga,Cat,-132
cAt,0.186,40,31,DOg,-196
nlqrwooxyt,0.0135,-0.2665,-481,Dog,aenyegpsls
-124,ykmnmafbkq,dOG,-284,evhcjsvyfa,0.287
fqgxmbcgiw,-463,-0.3615,oqiwwugczo,cAt,-985
304,-423,-82,ppwgxwyxgz,0.485,0.1905
-0.322,0.4035,Dog,fwhywnfbmb,cAt,tubikjvzvh
0.371,-448,-157,412,CaT,-0.0225
ysofizqjzd,288,DoG,qzjlaqmuru,523,0.17
0.441,xiqxjqbeta,dOg,cAT,DOG,-32
-79,-0.349,cAT,caT,0.05,hgevmcpmik
-0.4925,dOG,-340,648,dog,0.3
372,0.246,0.3065,CAT,doG,lnygxnwjag
otlobqbesj,djhfcbchfk,kadtauncsb,dog,CaT,0.0015
-0.122,517,-191,CAT,CAT,avzdcphqks
391,0.187,16,-499,dOg,cat
0.333,0.327,-0.319,CAT,-749,joefnhfygf
-881,tjntrpuhig,0.1995,dog,CAt,-0.2385
neghthqdvg,Cat,dog,zvgiijodmu,0.022,148
754,254,snhqcztfdf,958,bzuwtgkxcj,0.197
-0.383,-708,oanxxqngri,jphvshpzhc,Cat,kxiivefbyj
eohugbozyp,-0.465,666,wcqrmfyyth,cAT,dOg
-847,-0.443,gryxkwwvtp,0.048,-316,coyptvqecf
DOG,352,Dog,0.051,DoG,-0.19
dOg,doG,lignjwiuhj,-700,CaT,rjmlkqroyv
Cat,984,-407,-0.427,Dog,0.041
DOg,CaT,144,okhtdbnjuk,dog,wibmzjbqys
kujpszfdrk,-0.0055,0.4465,-960,caT,ggsbntusdn
koxfstrvgs,-74,1,dOg,cAT,cAt
-0.4815,-0.0235,-649,-0.2275,dOg,-0.0125
CaT,Cat,177,dOg,doG,60
caT,cwubsdfdty,0.018,50,947,dOg
mewnfhpunq,ptrbfmffax,0.399,dog,-559,DoG
201,0.5,cAt,-0.243,Dog,bnmikpciqx
cnsmqiwhlc,0.002,-0.2975,Dog,doG,uchjxrhuxa
ilqjqmaoup,-973,-294,0.164,946,qfygmaoejm
