pbuknkqfzp,epivdecohx,aruouezmsg,cadlnotloh,zobooqgrkv,eduxqyddao,qkgqvliaqm
0.362,drsanojwpd,-474,uniksgotzq,twiesaluak,-0.387,0.4365
-252,0.117,cAT,ilzzascuos,-0.4465,234,550
rrnhqnhcvd,-0.423,-0.2295,-0.4905,-0.293,CaT,0.013
911,Dog,-0.1065,815,-577,161,cat
277,0.282,jsiiilatgp,-0.1375,-0.3045,0.459,gaipugzimb
286,ovunqsphlu,7,ywmffkaeie,izgeovzxcv,-858,shlkrluqun
-315,aahflvquwz,cat,0.03,ejxesuaiyv,0.2965,814
qzolwaojik,-718,xjfzayunut,658,-410,0.0885,jmgpxwecsl
-0.164,488,epjhxzppew,cAT,hajpbwkbmm,DOg,-440
170,-451,0.2675,0.4575,-223,dOG,0.035
-0.0585,cat,-674,xjqzffcmwu,556,cAt,xlacmccdvj
-769,cAt,rpficnqjln,xsdsxshwyp,459,etymgtjyif,akxpkbkotg
21,-0.486,-577,0.423,0.1825,rnkfoissnr,0.029
Cat,-0.315,506,0.486,0.295,860,zcinhqnltu
0.2565,dsewyfvykn,zzlnfylepg,jiczymsxse,-199,489,0.1735
627,-89,-78,cAT,-4,-110,wibpzrcgaf
ibkvnuvwsx,caT,DoG,779,-0.0675,0.29,-682
0.0295,884,-50,0.3925,cahlvenscn,-317,-0.1985
874,dOG,489,lfhwuougss,254,0.2685,mpresmhvbf
-0.35,0.169,dOg,681,-21,cwqzabxjnp,ndkhxmibhk
-118,0.28,caT,CaT,yxfmdsulxf,doG,-567
-0.4305,cnmnbwbqfc,-0.4635,ptpempespm,-0.304,-369,0.203
-0.287,360,dkwgzrkeak,pcabzhnplt,304,0.4295,0.301
Cat,912,-35,doG,fpwxjplqhs,-893,zkfqhlalvb
lnvuckaadi,-0.031,DOg,-0.1005,584,udwaqsdxga,0.151
oqowxxstzj,147,DOG,ofysjvmupa,46,393,713
yuzmzvwlor,338,0.2795,azroyvumiw,-0.1205,xmcqfguemt,0.4035
vzjxejydop,0.248,CAT,-0.4875,426,0.149,-375
0.301,105,-0.217,-0.485,wbfmieaplb,843,839
-0.0875,znblieuync,0.3815,-0.311,Dog,0.1925,akpariyclr
kysakvwvwa,-0.22,cAT,0.3395,-0.0255,fpiwwovjpl,Cat
433,wwoxzvwkoe,-986,nicpbrtpgv,dOg,-0.205,jxtqaajbwl
376,jcwurcjpcg,0.2055,71,664,867,ucbsirqhxr
0.084,yetfqyitgy,730,-0.2895,byxnayshgp,-464,-403
DOG,elqmdbsjhn,-646,406,-243,CaT,-0.326
221,cAt,-117,mhazaeskcj,hovhfbwhfr,cat,dgsiiupbgd
584,956,856,lpmxlzsodo,doG,-195,DoG
iafofdywcb,-0.488,DOg,861,-0.492,fkybsvivxm,cqzutvaqxj
axsxywbajj,777,dOg,271,ofpxdujzuy,-843,rrnqcwqxoy
dog,vvbhhmwnap,904,0.334,tjhnnbofig,0.35,uetxkbpoza
ibmxquaftr,ygvplmfzak,-0.1275,-113,0.0845,srquupdbmc,-0.076
0.0365,gtruoevoyg,Cat,CaT,-0.3615,-225,-0.1945
hctxvoebkg,rbyxlcznde,0.301,-955,794,dOG,173
-560,Dog,doG,CAT,-31,DoG,shdwqndwcg
0.3615,-909,0.2625,dOG,0.476,219,wnrmolrmwu
741,CAT,caT,agxvidyfbe,snpviimmmi,cat,0.1465
caT,kvrxwnazrz,gzivbaafhc,Dog,pgzfpouhoa,-0.4805,-0.386
724,0.2465,caT,hkxmvgsoih,0.2165,dexweetqbt,ttzrpvkxoo
gcpqqmxhdy,714,uzpwvdfoan,-0.125,lotabmteos,809,0.3185
qkogtuwuum,-962,908,0.46,0.4095,irkclxekst,gelwabrmwk
-0.142,0.2655,-387,976,0.46,ibdtadloqa,hfefjlleqr
656,-962,-568,980,ruegrnjypp,746,rqulwawoob
dOg,DoG,Cat,-0.0115,993,bevdvgyicm,CAT
cAT,caT,0.3535,0.419,DoG,Cat,zvzgomoszg
kswzotvcez,-555,nasmcgaabp,-494,-644,xdwdkmdtdd,-0.1735
0.389,-993,-297,dOG,-0.0395,stlrvvewrw,-630
0.3885,cat,-488,395,-0.4075,cgefwzomis,968
-0.1075,wsyiyxfeof,hbqclrkjdv,zrugwvzzax,905,-0.1165,ztdnrrutls
-405,DoG,CAT,bgqtcehpku,-997,0.151,xrigpdckyj
-0.3245,-0.1165,269,0.4595,-0.418,0.0235,cAt
146,ypvteqdjgj,doG,CaT,utxkeemvmy,0.0395,fcxnnljmpl
-0.1955,361,466,dOG,cncilxopkx,448,gatcwtpxpt
dhndywlshm,0.4625,nfhcqlidng,-661,568,esktinqskf,ljlmnwfhqd
0.192,emlxkplrst,imqdmqnhbu,vukguwaiqg,0.058,-513,0.082
