uhcmmechaq,nvdxqgziwq,taasnjrtdm,pET,imftxqqvnn,pymemwewmc,eylfjeowan
shfcytubay,-0.203,dog,caT,-603,0.4565,-38
990,-619,-0.197,cAt,250,-0.145,207
0.1735,CAT,-0.4,dog,dxbylzqquf,vsormtmgtl,0.014
-677,0.1285,dcicedqcvf,dOg,0.406,-0.162,0.143
DoG,Dog,Cat,0.29,0.2385,-0.4535,-0.0635
klelztahug,CAt,0.3725,CAt,caT,155,-45
doG,-0.113,-0.4755,doG,pxrcnrvusg,yekluqypiu,costiwexxc
-0.2255,Dog,0.332,doG,-114,820,933
0.0695,CAT,njyedhvlvy,dOG,868,cAt,hgfouomkff
-278,286,mitgdydjit,DoG,-0.4385,-0.4075,itslgctxzd
-0.0985,830,CaT,doG,rwzbxnbjur,-0.3955,0.361
589,-0.385,-582,Cat,CAT,kmqbmdwqnm,CaT
doG,470,CAT,DoG,-0.46,ckttgbnfvd,Cat
0.4515,wovimwgmrn,-0.473,CAT,chquuqjors,CaT,0.159
fnhesnhqdu,DoG,-46,608,upysfzikxo,-211,hngzuxqjsd
-0.1965,913,spykrcktdl,cat,doG,-201,Cat
-684,DoG,keaqaklhnx,Dog,fpctxrqibe,Cat,dog
772,DOG,-0.164,cAT,-0.349,-0.4545,zwknaoqqmg
-0.3955,0.1365,dudobfzqfn,dog,0.499,-0.4805,hdijzvlmin
sguichzgfq,cat,Cat,DOG,363,DoG,-629
0.1305,884,DoG,-0.206,-999,0.0245,DOg
194,bjawafktlh,0.1395,120,DOG,mztbhfdvah,-127
-0.2175,bnesnapfur,-0.2465,caT,0.105,-0.2715,cAt
0.4355,-877,0.443,doG,cAt,0.264,703
-0.3865,0.115,700,doG,-0.0145,492,yotsgntjsl
cat,cat,-0.398,CAT,DOg,594,777
