srvzojklza,datycqcchg,yximegkvvj
0.3695,-414,xmsktnjafy
-857,cAT,dog
633,Cat,cAt
449,grhkewipuj,gckimgxxlf
-465,mokzefmvqe,Dog
-906,-953,-516
dOG,0.0645,0.1125
0.2325,smmglogyzo,CaT
0.455,uosvluobcf,CAT
-1,-955,btzhcnopmi
yqvnccmfbm,-0.413,-0.418
biqbzunnqa,wudvemynpi,-0.205
CAt,dOG,lhmjykvcvf
eczqnfnmne,0.337,136
-0.454,814,-0.1235
404,0.211,dOg
-775,-5,-96
Cat,-425,420
doG,-785,gejquyvbjn
DOg,371,wnenttznon
-0.246,-0.011,330
cAt,xqkzzajlcv,0.4815
mucoxsqxms,-0.2195,-386
doG,ntybccknhp,nuhoechcjf
0.459,0.377,DOG
-0.2875,DOg,-0.2615
0.015,fdrpwrrlyg,-0.0645
dOg,865,cAt
-974,-620,0.2155
-0.015,0.142,17
0.034,651,doG
DOg,-349,935
cat,-0.2905,-0.0045
pjrhyecqzc,0.293,-0.051
Cat,-472,jtjbeyjnfy
491,0.291,-0.219
179,cAt,-0.0715
1,rtqrhtxxjy,-0.3565
-0.1915,uwyrdcywlv,Dog
-0.167,lrgibumacp,kqidixfwxj
lbbexagisq,-0.031,0.278
-893,0.207,CaT
