jjwzzykjue,vlkqlmcwvv,zsxbjaqwks,nebinzvqks,pjqpwjncjq,knuquwbxdd
dshurzamaw,jdszbfbntj,0.2475,-0.048,-868,yrdaajutxy
-0.084,725,-266,922,595,-0.285
ramidlbcpm,jjqmzfsnas,-350,DoG,-836,-0.16
jdevbdpuzn,tkegbtwyhq,0.3125,DOG,-315,308
-187,-0.356,alcwkvuyap,751,DOg,0.2675
-0.054,ozvraebvju,gldkylmaaa,204,-0.1405,0.1405
cAt,512,doG,CaT,DOG,CAT
271,7,-0.0955,doG,CaT,-836
CAt,wvmayranzx,0.458,-405,0.286,fokjzmqyct
0.316,DOG,-0.0245,707,DoG,-24
-817,DOg,tcqdvukojd,-590,dOG,-0.4095
-657,-0.475,cat,0.3295,-884,596
CAT,0.005,-898,187,kmwcrsmiks,0.08
799,dOg,716,589,cAT,808
-644,892,pbngnjdkgy,loaaxvtinf,dOG,0.3185
472,-624,DOg,DoG,nvtpifuxls,Dog
zhcdfwpmge,Dog,-629,CAT,490,159
561,0.2265,enimirekad,cAT,333,fmmbrwyusb
-0.462,0.105,izscsgzsaz,0.121,285,553
970,cAt,wpatxdjtnx,226,0.2285,0.41
jyrdwkugqt,xxkcukuwzs,0.059,0.1355,-646,Cat
lrxaeeyjgp,109,0.098,191,0.2985,-322
DoG,iokubbxvom,-674,0.0535,0.08,DOg
baorxnoeqj,dOg,-748,tlupmnxfoi,Dog,77
-0.1605,-0.214,cnmouxsmbw,-179,CAt,pcyjyjapzw
ursitutzyw,zxjeaufwrp,opfkowxund,327,0.4585,cAT
-132,-0.1785,dxqfltydex,imrxkamnsf,-692,tcbeovetuf
-420,zwmuhlemyv,-0.2325,plouvyuitp,-0.01,289
cat,0.3795,238,270,vnmejpwwrb,51
wtqbpseynw,0.2675,ydisliizar,-0.1555,-667,doG
cfmkmoxppa,-644,innsljhrkv,CAt,lzfonsejbs,DoG
0.0605,cAT,nrrpdxhsgx,-646,851,-888
292,qaxcrydcyc,-172,657,992,zrnjpzjxpt
doG,-106,wkzauutkrr,jshnvqozys,xprfylvttl,-0.3515
550,CAT,694,pryzysgomf,Dog,cat
-97,grizlloucw,doG,-535,546,DOg
pglpsgdbcr,cAT,-45,-0.1845,dOg,cyowpdaxet
llhmrvidbm,114,cfbyojmqze,fdgsarwifc,-465,icfcmvpamm
656,0.4195,CaT,CAt,0.0225,375
-194,-803,jvriqtwwcc,dOg,fvmvcqahqf,qswbtpognt
-779,yjqrwlfvdm,-978,-0.062,ynoicqpvsq,-0.318
-209,311,dog,987,-0.344,0.3845
CaT,kqfyxktvem,bsoavzjmxd,-0.2865,-251,ogswpjzhnq
cat,fwvbbmlajf,928,Dog,-0.118,-0.1875
230,dog,dog,0.0685,awqxdjlcgf,myttrtqqmp
szoehvriwo,DoG,cAT,0.098,586,bypqykstyv
-851,Cat,-0.2495,DOG,dOG,24
113,-0.3595,gbpogxwaov,0.0365,-624,594
fcmtpeoasx,64,dxjoffblcm,-0.327,0.3955,ugmtlitxey
213,ageshobrdj,hibchdghtn,zjvhdhmpar,dOG,zmchehofbj
-45,cAt,-0.4945,-974,dOG,clfpqzsdzt
-0.161,oegusddvch,0.048,977,ekvzirrqtd,qdzrchsogs
0.2155,dOG,765,-0.4255,-0.494,qwnflcnutg
-642,791,0.1365,0.488,DOg,hoibtzowxr
368,fydhehvyrh,745,-0.2055,0.218,rgowdtycou
283,-147,0.467,hrsmopvxqk,CaT,871
DOg,-0.4765,-0.4625,caT,-0.186,0.2115
tttjslvcru,-300,-542,994,-367,688
-0.3465,doG,momwznzfxc,wuvsjzzpfw,-131,0.414
0.256,zxczsozbxh,795,cvcegpxuwp,467,-0.105
-0.186,-554,933,-446,umrhazphti,doG
-0.292,fboiaujzjg,0.272,kagfycivme,CaT,dpftxckaex
cxfrzfccoj,-833,422,400,-505,ykofaidakv
fnejbaoiuw,-0.29,dog,yzenzpehfr,cAt,59
36,htxstzaumo,-763,ipjirzgvtq,xyqxgscjvh,fztxsjieiz
-0.405,gsmwqkwrhv,-0.1445,850,dsgjxjcgwz,-0.222
927,CaT,bvtsedawfx,xanhfenpje,773,0.1925
0.2475,-0.4695,0.454,-0.1395,0.023,bznewoouju
-0.038,davnggehal,wlqxuognga,0.2145,306,caT
98,859,vhqmxgrurr,sepvizulvl,jzelqkugge,0.4675
-0.2395,hxucxnkckb,bdtxdoksww,-0.2805,hzgsvlriqm,caT
knanfeptzp,mywsylxpyg,DOg,0.487,-0.338,crepdzrabq
255,0.4375,0.156,0.428,0.433,-191
-596,wnzqauljbz,Dog,0.3105,0.4485,770
0.405,-878,hrtkzikggd,869,-806,437
doG,224,pldedgwnfz,-0.461,Dog,-0.225
cAT,vkxhzztceu,80,-0.244,cAt,-0.1195
977,442,CAT,0.224,dOg,czcrjlgjyv
0.1735,DoG,uflzkktzki,zhusdmgdwx,-386,-126
-0.0825,Cat,caT,0.4965,Cat,-859
ekxhrmdwxo,cibzsaffje,-561,0.472,-371,Cat
cat,-0.265,vnpxybrktv,0.464,208,-0.317
