nwljcriumx,PET,jkurwqzmbq
910,13,-0.3085
DOG,hgmlpesteu,naukwcmjal
omoreatamg,cAT,CAT
CaT,cat,kqwnizuijm
349,dog,-0.447
0.434,0.275,ljxanyddov
-0.4505,CAt,tnqayiziuu
-663,0.415,dOG
-860,dog,-0.264
pfrvlobyrx,doG,-0.0565
0.065,cAT,32
12,doG,inmjxhaufy
895,CAT,949
-901,yuogmmxnfp,-0.158
cAt,Cat,0.1055
kkkwxagiue,0.134,-0.479
290,dOg,dog
caT,Cat,DoG
747,dog,CAt
-0.355,DOg,caT
doG,Cat,825
0.446,DOG,wbfuqxvzxj
cAt,-519,DoG
-0.171,cAT,640
-0.3985,cAt,598
625,cAT,0.4205
-873,0.096,242
0.1565,doG,626
tcwpapqdkp,dOg,-238
