fhzmusbgus,oacskadfjx,yxuryhavgg,gcvipcewsz
-857,dOG,0.442,-0.219
cAt,335,0.235,caT
cAT,elunlwlwmb,-0.0715,583
0.4795,901,-3,0.2715
776,fhfznbtler,-84,256
0.3265,cAt,-0.0555,-630
yqrondkpfn,cAT,wihuspxxco,aemfwgnjse
uayvyinnjg,paaizjkmbc,0.4335,-481
Dog,cgetgchxmr,0.4685,-987
-0.295,-0.1175,-0.1785,0.3575
-31,kwaethhlyy,xvybvqizdd,emybnnipoe
nfzbpxjjlp,upcnmakcxm,-0.349,-417
qdjhbniynm,0.277,DOG,420
711,581,0.091,lkodwdvasf
dOg,10,DoG,jxnzwcinsv
-0.0775,zqzlyciixj,DOg,-406
cat,-0.056,-672,369
dog,DOG,CAt,-0.2875
-0.098,-0.275,0.003,kujwvrkwws
0.177,464,-552,160
hqtcvqfyia,-514,0.4365,yjxrusclwm
doG,dhtwzslbmn,-395,Dog
dog,-325,568,0.3195
cAt,drpehvztnc,bzczkcrofo,gdmsygjgkz
0.4755,joujiewhlj,-761,wohvmeykmd
-0.355,724,sjdbzimirg,0.17
