pET,yoguocqksn,zyhkepovny,kgnexdtdqw,pfmyyuoakz
caT,Dog,piwviwazuv,768,hzatbrhkbb
CaT,ocylwadcre,-0.157,ydxobysiwt,426
cAt,DoG,0.087,-0.376,662
cat,ykgyliwfzq,doG,pliwyijxml,-755
doG,caT,-0.484,0.333,0.321
-0.163,210,kbmjavbqcs,dog,DoG
fcfrtyqayy,0.2415,406,-0.1865,caT
Dog,78,535,995,-920
cAt,-620,879,evtpfblzkx,-134
zkdtvlxngn,-230,0.1385,-0.3615,lbttrkxeln
cAt,lfxnsvckcn,ernhddhzen,aiepahdkmv,-510
cAT,hdhfroabjo,702,0.189,uumwpcaohw
dOG,123,CaT,-0.321,0.4495
DOG,0.4945,dmglkgsmei,0.1115,cAT
dOg,0.026,cvpunqitnq,985,necwifqfoc
caT,kovoyvmbyk,-986,0.4955,gvkpbgpmcc
cat,doG,0.183,-691,0.25
cAT,-113,-80,ypfgjeuxbb,DOG
dOG,Cat,nzeoeeynxs,-0.2475,hryfwkkqbs
22,183,-370,-746,kzlmzaqyys
tynkzdpubp,-543,fdeqllcnfj,doG,-0.3625
cAt,914,-0.297,-0.3365,463
doG,885,-0.4015,320,phardfffxa
dOg,0.0605,cAT,zfngpojlfx,-989
Dog,77,cAT,lihqattzol,-0.133
dOG,0.342,270,570,caT
cAT,0.4585,-0.4465,622,qpeydqyiju
Cat,dOg,trllifblaj,CaT,-0.45
doG,pjriamqfaw,706,0.2945,ysumsgfgzd
doG,-0.33,677,Dog,0.395
Dog,0.242,-870,406,-0.1645
DOG,0.4015,heiyiitiso,-443,gmsufxugiv
-711,0.264,DOg,bzsfenyvth,0.378
Cat,bhvduwjmec,678,-0.1595,0.062
cAT,qfeuxygibn,-0.467,dOG,-0.4795
Cat,-0.3825,whcpkivzqu,cAt,0.2115
cat,-0.0985,ddmmlkmcac,rrfinpxffw,zbmvuoqjfv
-584,zmaomihhky,yukztukqid,-0.378,gqfdwksagk
dOg,0.35,cAT,-22,-807
DoG,ogzgicxcqx,hjhthfqwxn,226,364
dog,-26,fjnezijzdt,0.0305,-0.3145
doG,blpfrmaiix,hapvlzspex,-0.276,910
DOg,bliaupxhlf,vokirrczus,-0.0415,649
-0.141,dog,doG,arnlhrqgqm,-626
cAt,dkuaafenna,xiigeixxcc,0.451,449
cAt,nwibintnbc,0.0475,-158,520
CAt,902,ocqwmbxrzi,-0.0815,tzspgosxqr
0.1085,-0.456,-622,-143,-0.2015
742,CAt,0.4375,740,375
DOG,7,dcldipoyvo,0.015,doG
cAT,cAT,-654,-0.38,cat
521,985,-311,iomkekexmz,629
CaT,0.2615,57,cAt,-0.034
CaT,-843,DoG,ablfntvhnz,dOg
0.4735,CaT,cevsewvysa,-0.318,156
DoG,0.0985,0.0705,Cat,-0.2715
Dog,729,drbxudazhl,tiikhaefib,-0.4345
cAT,-782,nwtqztsdlv,0.434,-0.199
hmxbtdszqs,-796,-847,0.2175,-0.38
caT,hdgemufjsi,-0.492,-69,dOg
cAT,658,-974,976,ckhqdzuhkj
CAT,poslneovas,-0.232,auwysxbgxu,0.188
CAt,519,snwpbliipc,950,DoG
Dog,0.4795,54,0.301,549
