mvodlbcrub,yrgzmrphxj,fyjwhgwsyx,eigvqitfyq,latddmcvir,blanxibisg
-0.312,CaT,gazshemwcf,539,0.113,CAt
245,-901,-0.035,pvwygmextc,xpfsvrsuzi,0.202
xccprxkveb,0.1015,DoG,-0.243,yhsnaaqygp,caT
DoG,-446,748,-0.1335,mftziqfsim,cat
dOG,-0.224,0.025,-537,714,816
hgzsyyhdyz,uciblgoivb,0.359,-511,dOG,-150
0.0195,djzgbuexpg,ajgsqfvgch,zxfemuftby,0.4545,0.404
580,Dog,69,axyjzjjkxm,phsyvjtesa,dOg
0.0955,DoG,CAT,-351,docvhkifgm,CAT
rizbudzcwt,0.1985,0.012,78,0.4655,dog
svhdccrqbg,-0.1415,bqgwqcistn,cgcocwuddh,-622,368
-900,288,kzzbkofcxj,708,-0.451,-0.491
czocwxtyni,873,tgitoicspm,dOg,0.435,pqtvkcjnim
605,caT,bcmcdetxoj,dOg,rjseeooqxa,CAT
dog,CAT,-0.4465,-0.142,0.034,163
0.453,mrabtaonpa,-767,-245,CAT,426
893,dcuyxdcofd,-747,0.133,dOg,628
jysumdjjva,eixjmprtjt,eetwjtvlba,pnbbupmjmu,fxhxsrckfp,706
-529,261,CaT,DoG,0.1435,-0.347
cAt,735,fwbseryjdk,708,-762,-803
255,nbcynaffat,rhyvskdzzg,-382,-130,-0.0695
rfxrebxphb,dOG,dOg,dog,-922,CaT
425,szgqfeihnk,910,yfqmpclnaf,607,-589
-0.107,jxssetxobn,jvgnqacful,357,-0.151,-994
-75,927,-0.4275,0.115,vgxcqxjbgb,-0.4535
303,dog,0.329,235,-0.147,91
-0.276,atbujzcoxk,0.421,490,gajfjeywwb,mugfbwabuv
-0.3555,sswkvzqrra,0.141,Cat,0.413,mirnopiivu
