ojwptojzkh,pmferhbqeu,ylgzzhpcht
0.418,loumlkdxki,0.082
0.356,DOG,DoG
-0.2755,dOg,iywgsjqdlw
cAT,376,0.1895
703,uzjxjcnrjw,34
sdxesttynr,191,-859
CaT,jlnmviijfv,0.097
124,-817,CaT
uyvecqxtmq,-174,-0.4425
DOG,-0.3145,npaynbozpg
shczoaxtcc,154,-720
azfcidwslx,cAT,-0.3325
-17,250,xpmvwwplvs
aronuunqqw,rdbywyyqla,-909
939,avoyqcrkvy,818
-799,xnwphrtatk,-67
poezaskiai,CAT,lsgbqozasw
-0.071,erkptpdkgt,Dog
bdpbiiltuv,829,540
CAt,-0.1685,scdekvnbom
-698,209,kwkssqfghs
-624,-865,0.0805
-781,mvtnltytza,151
wwylchakfc,530,drgnxeejwa
-0.4555,ehxyretgov,imkanomwgm
-0.398,uakyqeetjm,jlrqawmpzn
0.4695,sezrgelxmz,280
Dog,zwjnwgqfzy,CAt
wsflfwcqzi,psjuvfjlmk,0.203
259,Cat,cAT
806,slirixlxhq,8
-302,pjbvhpexdf,zpkrmzjgwd
DOG,Cat,-968
562,ndomfcuqrr,hryjlcfmix
dOG,bonjyelfha,tecaafupam
0.4925,dOG,DOg
-203,Dog,cAt
DoG,rtilwgylbr,-171
DoG,hutyfcrsxu,707
gphzjfehgv,886,-0.0365
-855,0.47,dqskvlulqo
-985,cfcvovvdhv,dyunawxpuo
718,163,-288
0.126,zelgpbqrzu,-0.4885
0.1185,-482,802
-0.1035,-0.2315,0.1775
gbmdoovkhc,-0.0445,qiqxndsxpi
497,0.4485,561
cbcvgcoxdc,eaanzwaljw,862
798,-0.232,zkkuxbsdsw
0.0915,-0.283,0.135
gqjtcfhtjz,565,0.2985
382,957,-0.2765
-922,0.1555,-0.381
-848,rxhyoclawm,-0.0965
Cat,-894,943
ejeqihyktr,-80,DOg
cAt,Dog,-138
-0.401,914,-454
911,fjpfzobbfc,869
