nndkodaacm,pet,vzpdayilbb,gaxpqbnuey,nmiqyduhsx,gisuzeforl,jdvdloovkh
hjhlqohheq,DOG,0.2305,vebhbaqvnq,uvwurvjpck,ktgymcuqsb,qpqgifgdfy
yviwlfqdbb,dog,-0.347,pvbbvrwspu,dog,ahxonthcpt,-758
uscqwpuzej,Cat,umxfjeoajn,DoG,-591,phayupbqzg,-464
fbzfztdoea,Dog,CAt,hmqmtzvgrw,0.47,-0.396,-0.49
-598,xwwcjrdrox,612,0.071,265,DOG,DOG
DoG,jtikkhbqmh,0.262,-304,breiykmiel,-43,0.393
dydenodypn,DOg,-222,-384,myupkytsfo,606,czpviuhcxq
0.006,Dog,dog,0.205,0.0925,-0.109,-0.0825
jhnlfmoygd,CAt,-0.3475,-879,0.495,-0.4915,viubpmwmge
sbsqizssfg,qmxpbuzdoq,-993,-0.4735,386,282,343
DOG,dOg,cAt,16,-0.0905,-291,0.0575
-0.107,prylpfxiev,copszdooay,-184,-341,rtvkioecnq,CAt
wvkjezrrkc,cxpztgwrzj,bjvnvglozw,uiubzxrqyb,DOg,0.4205,DoG
jrusccnosm,Dog,-0.479,0.3695,666,784,cAt
-175,-189,-0.302,tbetdxbrmo,0.3205,Dog,-0.4065
-357,cat,-0.3045,Dog,DOG,dOg,caT
-341,caT,-697,ytobvrnsyc,277,cAT,0.326
955,bcnktsteel,-387,-0.2565,CaT,999,cAT
7,DoG,azzcdoahih,392,Dog,0.309,-0.4755
543,dog,mjouuehsco,0.4515,-544,kiedrzafnb,-0.1935
-0.2775,cat,0.0225,-0.212,-813,-668,noofoidfto
-0.4655,caT,-845,cAt,-594,juagpkiluh,cAt
-135,cAT,-0.3225,hqghoemieg,-820,0.059,cAT
ujwmxzybic,CAT,150,-0.01,233,cAt,rzydyvszgb
doG,DOg,-0.3065,540,ctakbwbrgj,-727,-0.4695
1,qdhoumciqk,frfkzaqpvk,cnxregezjt,-0.3375,993,-0.157
-377,dOg,xsewflvsgy,-0.1995,415,340,844
ivrhsqesyz,494,0.344,DOG,-0.1595,DOG,kfpzrdvluk
-0.197,CAt,-0.0195,0.239,378,18,-0.249
70,dOg,-0.163,-459,0.086,771,-471
Dog,bumwbgsgzl,eoitvrgooc,0.348,0.477,-473,-720
bqefhjnziy,DOg,-424,0.0805,0.4515,-0.216,dvgpavegie
cat,dOg,CaT,woeyywccdl,-0.0215,191,DoG
-872,cAT,431,dOG,0.4375,-0.191,pnduzhdyhj
0.072,CaT,boyeupbfrs,0.166,djtninthaz,ogcztpbgvt,0.4055
-0.351,CAt,-0.444,322,-219,-0.3685,-0.2895
0.247,CAt,wltrluxqsv,leswxoznhp,-0.1345,633,-487
0.222,DOg,0.481,-12,omffxqtkwv,373,gnrdwwzkpi
DOG,CaT,ssblxbgirj,acdlwbbmwz,0.4035,0.4065,warnfchpde
epyzjpzqvi,dog,360,jkzlnyxgzh,-382,-986,0.356
960,162,dOg,cat,-0.105,afoopmklbr,lmbtzzvvmx
-418,Dog,-0.2715,gupuqgurgo,caT,yxmuqzxkmd,illiwgchxy
-199,cAT,nvuaotxdqa,790,vknwwynhcd,654,nvzziovprh
caT,dOg,DoG,0.2105,0.143,-0.4085,unnvyfjrsq
