luvivvofoe,cmrgbcaixj,rajagcnfbv,nyxnrxevzg
DOG,utjwjgkhod,gulwaujpls,954
ifiyuuhncr,qohvfksdvd,-0.1875,300
0.4185,-680,-623,-0.0275
Cat,nridxnsmkk,166,-644
91,-0.206,pxtqvjeyhd,-124
msbfxnhgza,-956,nmgesbmlre,azjgtuthtq
0.1025,doG,-0.235,-535
DOg,odapypgqfr,Cat,dog
CaT,0.467,DoG,541
DOg,DOg,-623,-710
CaT,441,CAT,-0.0625
-0.0595,352,lfuizxtoof,-0.182
193,-0.4775,0.458,-585
866,cAT,-486,vftsegunfk
dijzfgxtfy,gchjsuzvcb,-646,0.3265
tqemdetfkk,277,475,olysmsbikm
Dog,Cat,0.464,njzjrwevhq
btsbycbuto,ayrkndahev,-96,-0.492
0.4475,cat,0.115,cAT
nubfpmyxnu,872,ynzbzxqxqo,npjjaddhtz
Dog,0.2125,0.3835,-0.459
896,rpmppscbhc,0.2425,-995
cAT,-399,77,0.0095
655,-0.259,0.101,atctrldevf
syhktrcnuf,porabwnvhd,0.1105,-516
-0.0515,890,-358,0.468
-791,DoG,0.332,cat
caT,-0.2765,0.069,DOg
-355,vbfzrqhbfx,0.2255,-0.2195
-0.0905,ugoanyzyxy,862,-869
-0.232,0.0905,ufnhzenqpf,300
0.293,-0.0175,woiphkyxwk,qnpgwjbzcm
doG,dOG,-307,dog
0.202,0.015,137,-0.2465
632,-89,279,ubxpfsiptm
xxppzxiulp,0.2145,-0.1525,-812
ztreahkivj,plvcvyflmh,cat,117
0.2285,0.0175,-796,0.143
-0.303,CAt,0.3165,doG
-0.2415,-35,-0.2745,686
klcahgtapb,CAt,CAT,DOg
dog,cAT,caT,-160
lydfcbwodn,mbcbjiveca,-0.4675,caT
ccqffhvtic,afsoqlbqwc,0.4715,-0.199
cocovvezhg,117,oamlrcfcgk,cAT
-0.264,ogykdtdllr,rdwlzzhkvy,DOG
doG,dzyjbwhupr,mtoajenhqo,-895
768,0.0955,0.2995,948
Cat,443,-807,-478
-249,0.112,-0.181,-685
ufdnpqphgf,mwbbqfxhuj,-0.3375,541
