aenjbtmhww,fzorseayru,otkiyxlffk,uaqmbirsdg,birfdpbman,lduxmekqey
Cat,725,-132,-334,-0.3155,0.4105
0.3015,-0.1435,0.095,-0.2965,515,370
cAT,213,-766,stywzexxmi,tibpbgstiy,dOg
155,-0.2175,0.0965,0.4495,754,0.225
cAt,41,433,0.3145,-0.259,103
lzcycycftz,lzlgtozjhd,-0.2195,-0.258,ecvbaljgfx,985
Dog,0.305,987,DOg,251,932
DoG,jnqltzmino,-0.049,ijxsqvoguf,lkmehlcpyr,-0.4235
CAt,-0.2485,0.3555,-0.442,CAt,1
qpcxymnmia,-0.343,642,opvxofepei,udtifgsasl,0.2515
-0.371,-0.1785,DOG,naifkmqusq,frqhlfnxns,CAT
819,0.076,-0.4305,0.385,0.402,641
0.3355,-0.2045,666,CAt,-0.416,-0.0435
447,cAt,322,0.4535,-0.0555,0.3825
bcrahpkian,985,-0.21,cAT,bvtnqttlfn,yxjbcrjfoz
amlyiunczf,xywrhlirix,-0.467,DOg,idhzmybyml,-161
Cat,-673,0.0915,Cat,yckccmvdcn,555
CAt,0.2215,abbgcxzprt,fqyrtuxcjg,ybanfygqqi,DoG
cAT,DOg,sfygqnrnml,0.4355,xubwrlmehf,890
CaT,174,xblxosanym,caT,oonzzavdrq,siwzdwdsmn
0.2465,eyqyltlhdx,883,-0.2995,yqvhplummm,-0.189
-0.201,29,-0.1725,Dog,-0.3195,cAT
625,94,0.3845,dOg,-816,ivfqmkicml
-0.384,-977,DOG,-0.0465,xhrxlzxpve,883
658,CAt,-0.117,zugqqrkgup,0.334,0.345
cAt,0.147,hldykvxooo,0.1035,-180,-780
xgfymdebns,qzicnzfmdu,dpjjznrazx,lwshnkpnfb,108,cat
0.112,-797,-0.177,-103,452,-317
-0.2855,yaqqgsnxil,-0.3595,iqxxzietox,-0.4285,-0.279
CaT,-0.1285,-851,-585,899,-0.1875
spaxvhzgwx,-0.266,0.264,DOg,caT,aeflyjshen
966,dOg,0.421,CaT,0.4075,-0.3715
fikdeetcfe,-0.4415,doG,-157,194,0.1175
0.1135,0.281,dOG,32,0.4515,-0.391
-378,-0.4085,ovzzmxepeu,0.2315,cAT,0.1985
caT,337,ujatgfthxj,anjdredkrr,0.155,uapkvrmxyq
