zzjieqrfjf,uwcmahaebg,zsxzaonowo,wnpyipzmzv,ghkyfldhzl,eozzxwtasq
wfdjymhuwb,968,gkijrkkglu,-0.306,dOG,-0.232
liqkjzhtjl,0.149,cAT,0.349,-786,-576
385,caT,-813,cftylathvp,ilgvarwhfx,426
DOG,0.339,aoqarknmwu,-0.345,-0.484,hdcqlihpml
612,DOG,0.2675,ignklltvkq,doG,fggsneakit
mbjlzudnvt,-461,-978,Cat,432,0.0585
-739,-0.493,0.217,udingkxjjq,46,dthzyfrviw
-0.0995,gkttpgnkop,0.2065,gdqkexicvk,hjtyvvbdhy,0.0905
201,0.1895,cAT,izjsxmowbw,863,0.084
lqynllmknl,-966,0.2115,0.2135,cAT,0.003
720,71,-0.1235,ecevejrhur,-866,doG
652,saymdfmlas,-0.35,-933,429,qiispnimcu
4,-0.4525,15,-994,-0.334,cat
dOG,-0.334,ofervhhbsr,-587,Cat,0.3955
CAT,egwmqcdnih,rayqepvtaa,lncbsoxhxx,0.3375,-977
pkhwghvpby,zrjedcysoo,0.005,-0.3555,0.2175,higjbdusky
wxbgbtyexw,xfahtejgeq,-996,cAT,cAT,Cat
-173,992,CAt,586,dOG,lnehdidxvj
444,tbxwdwtbik,449,qmutatfdye,-687,867
-0.3085,dbruljwzkd,nojroamxdw,-0.1865,-382,dOg
0.068,-72,0.1815,cbziadiood,cAt,cAT
cyjoqtottz,-34,zxcbjanklx,amgjegpvig,0.068,722
CAt,678,qrfuczphcz,weytmfmyrh,hqrrrajrtw,-0.1275
0.492,Dog,0.451,nfubwcbbnl,873,-520
znjxdimqhb,cat,-859,CaT,uawceabfml,0.2865
737,460,875,0.0445,217,0.2665
0.033,CAt,hnuxeeudax,cat,fsqjatrecl,-765
-0.2135,dOg,rdlbazctdv,459,-0.112,129
lvmzxpndxl,eioqdyxyrt,-241,-0.4775,dog,fsjwxxrkul
-483,580,cradmmeazn,dog,CAt,-0.279
niiomcploe,-222,-0.1585,ellouihwmp,uboixocdhs,-0.0785
0.465,466,cAt,-0.3385,DoG,jvcthvieai
-0.4,-0.117,-471,-962,-991,DOG
-0.0015,dOg,-0.183,DOG,xrpmjhyapf,0.4845
CAT,0.3765,vwhdozedss,-0.2215,-0.463,nfbnhshwgk
0.468,CaT,395,35,-361,0.115
cat,oiotegfglk,102,846,0.16,0.1795
438,988,0.092,kmsdshdbtw,-0.1215,nrxwkepkgn
0.2825,0.4705,aoquzglpfp,dOG,DoG,-0.1375
aycgtiydcg,-0.101,-0.1885,yatqyposcu,-0.172,Cat
241,-10,745,icwjvgyssj,-0.013,rqagiktpuy
dOG,cAt,CaT,572,ipcmrcwcmr,dog
0.289,-175,Dog,0.1065,cAt,pnurqzurou
mznydhhudr,-0.0265,Dog,fkendjhnee,sbozsuiayv,cfmlfetsqp
fgipzybywt,0.452,dOg,108,udlwsgfjgt,frczwdsvxz
27,0.0835,-0.4205,buwwbogaix,-448,-188
cclzxgrnoq,-0.003,ddrlommmes,0.3715,iydrpageba,piizxmobzu
0.4675,-0.256,0.235,CaT,DoG,-78
vhovqnhsrh,0.3,-0.24,DOG,841,dOG
gicwbkkmdw,0.177,-543,cAt,0.4615,991
-0.2145,-0.142,-719,wyxhdsrapn,ivdiurwtct,-0.464
-912,CAt,fhepsellfw,0.4305,DOg,caT
-0.1975,226,-0.3665,cupjmsswbk,dOg,330
0.2645,-0.282,-430,765,dOg,kbjmnjkvhl
-727,-648,-0.376,-0.006,qchgojwctv,0.487
CAT,88,qpabvnxtrs,adueqstuky,memieexkjs,-378
cAt,gljhtdmiqf,chaljgfgmi,msaaoaonxi,dog,qakitxgysk
Cat,biqxkudgzn,0.0275,gxyerztslq,Cat,435
mrzvnsigko,-40,zvoxnakhfz,946,CaT,Cat
caT,jhypbbnuqn,caT,0.3545,bkjjtixobc,609
-706,caglidsgbv,CAt,yqakaadzsm,0.302,-118
ncfwtwrlbc,-0.4115,511,532,992,pswajnwiwz
-874,Cat,cAT,137,-32,29
orkzdfbkis,856,bvozgtcjsy,177,tnxmyxpisg,-949
-0.2035,Dog,555,wrzwdjomfg,htozhchwsa,0.062
-679,plufvudxaf,bfaskfqozh,0.063,0.3475,-104
0.006,59,DoG,dOG,adervhgmfp,dbxqlcjzxe
tgxtgpxkob,-0.4925,CaT,ryuenifmaj,cat,exbyrnyffl
-0.3455,-903,CAT,513,-0.247,ahxslqhkja
