tfnccszoqg,weoyeweiqm,PET,xtgygdtmhp,ndjsvyudat,pvrcvgfcok,ejhnbrwfeq
-0.032,-980,cat,-0.4055,uzpnkucnkc,130,cqqolsvgjw
rlhqtarvyk,-0.4,cAT,gaecjjkcce,-199,ivxfiwyuqq,iqnbfgfmow
0.099,zwawusgzgn,xnkhyruzxl,-0.1815,xokuqqkkdr,dOg,-0.0545
wctcyyxrch,0.014,CAt,qohapwwyuu,-785,-926,528
0.168,0.39,DOG,-91,0.171,209,nlgvctrxbm
-0.233,ifsqrzzoku,-0.422,cAT,277,cat,0.166
0.193,yfkfsfwahn,Dog,-384,-0.392,0.029,-286
-421,0.026,DoG,0.2235,caT,dog,-0.34
0.4795,0.0745,cat,602,dog,427,451
-0.0405,61,DOg,416,-710,Dog,955
0.3895,175,cAT,463,ptcxudpzfr,-144,CAt
-0.1495,-417,Dog,-0.076,-0.149,dOG,dwwecyrjun
DOg,akwvwkvbuq,doG,-638,jxahrnburp,szcelhgqhf,663
aulyswecfk,84,doG,uvznhoxtpj,akcaagqynl,CAT,mcnpmclgow
DOg,-346,cAt,456,uearwjfxvr,-0.042,931
-869,0.208,dog,bhrlxiuyok,-0.226,439,-410
913,olszvnnvgh,-408,DOG,cvmomdxizh,-0.2575,-0.3175
-0.489,595,doG,cat,-0.4945,ldcskorqoj,-0.44
wxwbocchju,qkastmrlan,dog,0.152,931,-744,ovkxizigyj
-0.2625,0.415,DOg,cycewcomen,psgcjuglby,0.3095,absbpugxga
619,-967,caT,0.0585,bjiahfjdqc,749,-704
710,0.3245,77,-0.134,800,-224,0.4275
CAt,557,cAt,-0.028,homdttoxxu,268,-0.116
doG,-0.4185,dOG,doG,uuyfzucobr,gngwnfafky,CAT
hcgphzrzox,zjqbonsvjn,cat,0.1135,dlprhxiuhp,rsrwgzppdj,-0.43
842,Dog,cAt,cAt,dOg,CAt,rpypmcdzce
0.443,589,dOG,dOG,doG,lxabccgcve,alkvbfhyba
zqginqxtfp,-0.464,Cat,686,tqyvqkmurc,dunylvuemr,-0.326
-0.1545,-0.4955,CAT,-0.2285,CAt,-0.0265,602
-0.4565,zchijivtti,caT,-498,wcpknahhkg,88,-0.285
167,-0.0225,CAt,-0.3975,ckdzycjrkc,-0.15,zuavtshnjg
-791,-953,cAT,25,-0.1425,-0.0925,784
415,-926,-0.3675,gzbdkcwpdl,dOg,uzvfrdecom,faptqmcggo
63,863,dog,429,dsujswhckj,daiyxvqnhf,dxgtnmlwgc
fkujghxszh,-0.403,582,-0.4025,lnpripgvaa,pugdpxskfo,0.405
-48,0.185,dOG,-104,-0.1865,-0.3475,-0.176
ivskxapivl,0.312,CaT,qjqcvovlan,0.212,cAt,hqdupuqopx
55,CAt,CAT,-0.027,-689,0.303,-735
-0.4505,khaaqnutcw,Cat,okavqaeidq,wqtqfntwvg,xiguqbmbag,505
jrvqegcmda,fohtcyxoif,CAt,815,-455,-0.0745,-0.2445
gkxnmknhqx,0.138,Dog,0.159,zpaglgwiuj,0.4275,cAt
dOG,cezaybaead,cat,0.4745,192,391,0.017
Dog,doG,Dog,-524,kcurfmgwtk,exwvmfenfg,0.1945
pkpjyfcwds,wciqzrmusp,cAT,jmvipzydaa,610,185,68
sqnjcoyuhe,-376,DOg,qqunujsgsd,-0.1985,uldzjgdbjo,tzyqwuonmq
0.2535,0.3955,cAt,-774,wetnhgbvde,CAT,258
-393,622,DOg,dkpbnexozm,-261,0.241,959
-0.464,icdxsvadcy,CAt,dOg,doG,-906,kqclnwqhkm
dOG,nbdvqbounl,CAT,841,dmjvamxztn,anxfjcqeko,806
-0.447,wfycdeznmh,DOg,195,-382,vgdejnovue,0.0355
-303,DoG,CAt,0.0225,CAT,-886,Dog
qvrodxkvah,0.329,774,atldponyuu,-117,0.248,0.204
-455,ljslneihxi,Dog,29,-0.128,0.247,vylkpsdhek
dog,943,dog,0.3865,eljgxeqmwb,-846,0.0615
0.189,-60,-542,kbqmybgnih,316,wwnrlhxoie,80
srpdkadyce,CAT,0.0645,qrsxvbisub,xllcxfidht,przyjqkuux,916
