uossaxllvz,gyzcwxbrtg,bfhqdsurmd,lyacibaavy,apltcmhdvw,vvywotyyoh,mqyeuvjimv
caT,783,-0.1845,-0.0775,0.0135,41,-0.44
767,282,cat,-0.297,-0.005,483,lmvwafpilp
obadgxfvbh,601,0.3255,-0.039,-878,924,yemuxojuqa
cAT,tidgkjhnsa,435,huncrjsqxy,-899,Cat,pwvsdjztpi
334,146,hjucrcrdkn,250,693,DOG,-0.3265
-101,CaT,fjfvufbhlp,0.473,dOG,ndruehmfio,gyqhonjsgj
wwkbwgxyrg,-0.0825,-0.3625,-25,wdpikhalcz,CAT,-551
oodiywqzry,-10,Cat,cat,0.1805,jyqvoqrrdr,55
epshjjfdnk,jzzxymbczs,dog,778,DoG,-0.375,ocqxsqqsta
-0.4705,dkgrqefruo,Cat,CaT,ptxhktqhdx,864,0.2875
lodilmnwae,caxrdjvqar,-0.474,-0.4415,-0.4815,946,0.451
doG,chisntcgha,-0.071,-228,-79,0.1855,ikrbmoyqgr
0.0355,DOG,0.195,-0.3065,-0.2505,-0.286,436
