qhcyrizxso,jhadpjlecq,peT
617,0.112,doG
hpwtwgsrdv,fivtwvxzve,vydftcfxkw
bsmsgojtir,463,-0.119
296,956,cat
ynqzwwatxf,0.316,vlipejntkm
-236,-624,dOG
712,gjkdppnqhf,dog
vnsbzkkknn,-930,Dog
809,-989,caT
0.3385,DoG,Dog
61,tedrhijsnq,cAT
bmngdiqrbk,-0.097,-0.444
0.1665,DoG,-496
215,0.4,DOg
-526,-0.251,Cat
yxvpluwmzi,ysjbjgvstq,-0.105
caT,-615,cAT
0.2245,0.072,cat
CAT,-0.494,Dog
680,-790,Dog
cAt,-860,CAT
697,dzhvulphac,Dog
blgayvkmvk,-0.281,-516
-0.2355,CAt,Cat
kdxwozkgaf,446,283
-0.4335,-683,-535
218,Dog,Dog
vnkllnkwwf,655,dog
dOg,809,CAt
-0.443,-738,-0.4325
-0.2345,cAT,cAt
-0.2265,560,dog
0.4475,821,cAT
931,djaplvejpq,caT
-0.2045,-352,pnspelaxfq
jwszuqdokh,613,Dog
dOg,0.131,dOG
zwjdohfppa,odqjhkzuxz,0.4665
fmxsqdnhdo,-0.0815,dOg
0.049,caT,DOG
-0.3195,0.496,bbnpdbzeaa
-0.2835,-0.0395,DOg
hpuygxxvkm,-190,cAt
0.3215,szyqmcmpux,590
Cat,699,Dog
238,DOG,Cat
-0.352,-0.0295,CaT
