okiyudpaii,PeT,rbvufvtbbb,hrafqnmziu,ifoxakxurl,tiqenzbxbq,aicfiwjove
podkofffjv,udtuclwfjc,dOg,506,bqdobywyav,-57,-0.2395
CAT,CAT,416,-119,qtwbvyglxx,-0.272,msljgupyrq
539,doG,0.3325,0.2045,0.0205,193,0.3665
DOG,CAT,DOG,22,-0.1885,0.005,CAt
-769,CaT,CAT,-0.041,fkhzjvetkn,jpnehlihtv,ikpczghjev
emtdnztjvn,cAt,-0.297,0.4615,xwgaorocoq,-211,980
cleuhybftc,dOG,0.1625,DOG,xrwositwzj,cAt,15
dczaibqbkn,cAT,mjeosjfdfg,665,0.45,250,fnoovktdwv
255,CAT,DOG,lyfmfdcyav,udidgqogqj,-0.22,0.192
iotmohbqwa,0.07,-0.2975,CAt,-567,dOG,caT
444,dog,CAt,-0.4595,fxxkrpaucl,913,61
-0.445,doG,rqysalzqzd,642,0.2175,0.279,-521
dcnhdtiuks,cat,nfnsymyoqz,ecmoixcykf,-0.3225,-0.387,-70
CAt,CAt,-777,631,phfwvwbxsv,527,dOG
asgnicgpts,0.294,dOG,zaemzpnkqx,654,0.1,-0.4865
-875,caT,153,qwuwwctggx,-0.318,-0.2,-0.4505
-0.408,CAT,cat,jregsgdqfn,-866,zpbjcvhnop,zgfxejwvnw
Cat,igwnygezie,-0.1045,-0.054,ikfcrxcmmv,0.026,0.179
-0.008,pdkzttiinw,0.217,-0.207,0.268,0.4405,0.0955
-589,0.047,-966,dOG,DOg,sryjauuarn,ikcmhaqlxu
cat,dOG,vqfmnuhfkc,aqbydyzald,csscvuxeis,0.0275,-0.03
CaT,-997,uffcswxqby,swonkfxeus,jrcacdwjwj,0.263,DoG
dOG,cat,808,dog,cAT,-0.2615,0.1825
DOG,vihrxpzltt,iwdbrzgmdq,-0.47,-155,-0.181,0.2485
doG,-0.294,bfejamqlqv,-0.3335,580,-554,-752
0.213,dog,-0.2785,DOg,618,cpoieilahh,0.1065
-0.2045,cAt,0.147,393,ntvsmzdqna,dzsiecqzpe,suhauyqzig
CaT,782,0.1005,DoG,-0.499,0.3095,doG
CAt,Cat,674,724,DOG,495,kqebdcqqmx
-0.4515,DOG,-103,0.102,133,khqixbvsrs,0.418
mpiwrlfbsw,0.1815,CAt,pblxkxrgkh,-0.2625,-0.2645,-0.311
bijxspxfqq,mdgoomjmnh,497,Dog,0.0845,izdlnhgdir,-0.4875
727,-703,709,-0.3025,-733,-911,0.183
0.309,doG,dOg,ahfxbjwywr,13,869,617
maeytdluif,CAT,216,-0.0185,0.284,11,Dog
33,DoG,-0.448,-655,DOg,cAT,243
kaamufpeqs,Cat,-0.206,0.095,291,-0.4305,619
0.1925,CaT,hambotzdpu,0.145,-0.0655,DOG,0.364
0.3605,28,rdfjgkrmoo,cAT,0.1925,-0.0495,-236
qgonvhlczt,DOG,dog,310,0.4325,vranxnizuy,fmruxvrgsb
CaT,dOg,bsikxomelv,-215,849,-0.189,njnlphlurw
wablufzoiq,wzarvdpqcj,dog,-0.015,-0.4035,222,dog
0.0145,cAT,-0.425,ixtvibmxig,rthtjqzodv,49,Dog
ojjuefgbiz,eezonjtdij,dog,-972,-63,sofxghiafp,ehqzrpzuyp
bykvwxpqcs,caT,737,-102,dog,DOG,ehfqaidlgy
-0.414,CAt,ptggnicnxw,qegsjhnabt,0.297,0.307,zozwfbbvjd
-68,DOG,-0.136,-633,dog,43,-0.3865
Cat,doG,0.206,0.322,msrxnniixs,CAt,wbcgwshexg
-0.312,59,0.1955,cAt,0.093,-0.2205,Cat
nixbwzivkq,cAt,lytmehiisk,-464,crldowwtum,DOg,wqqriumegz
qytsrggecq,CAT,cAT,vyufbjpdih,zrhddoemib,wivwzopoon,-589
0.4005,cAT,nmlzxoyluf,dOG,-0.419,-0.341,dog
-0.1265,DOg,ditgqmckkx,-0.125,0.194,-732,qxooqmtovq
-0.3405,doG,cat,189,-0.2,0.4125,-857
600,861,0.0135,-0.475,-0.21,zhqtxwbikk,-805
vfikbamzec,dog,-0.1025,-0.314,-0.174,dsvoilcsrr,dOg
sqpvjrsece,CAT,-0.45,omrdzhinfi,jzcfknxlwh,dog,0.3975
0.309,Dog,-0.3325,-0.016,-284,cat,tpjevhrngr
DoG,844,-25,mkvaamxxxo,-229,-420,256
-0.3555,doG,cAt,ncrpudfwld,172,214,DOG
DOG,CaT,vowhclgdri,tfteslmysv,766,-399,-0.069
caT,DoG,-51,-0.347,DoG,102,cAt
hjbjtfblab,fjsktzyjln,ygylktzhyd,-0.0435,DOg,jzrrpollzf,tbixpycxxo
Dog,dOg,cat,866,-313,-984,-190
-851,Dog,cat,CAT,zoklugegvz,grdyztklwa,mcbfzvsfbz
caT,0.1895,chsxgufnvu,-0.1545,-0.4695,CAt,588
tnndlvdfvv,cat,847,-329,-0.3935,-0.362,0.3245
933,dog,-0.08,lxqptotwdd,igbwslkico,-0.499,0.1325
CAT,zxkwbjrciz,437,bdwxcljhdl,hyorpiurdc,-0.3345,elnrzktbgi
304,eiqmnijbyl,cAT,ltwioxfyqw,omavmemagv,0.336,-956
-0.232,CAT,0.0725,498,0.47,-0.179,iumfquafij
bwzpfkmblc,CAt,-802,0.444,-975,-981,cAt
-0.0945,DOg,0.43,-597,DoG,352,0.093
