sdfuwcgzap,PeT,xcyomdffmo,zrfeyzfdgo
lopcockkxz,doG,elqhnucqvb,vgirpzhibs
cAt,caT,xebnmmjaav,-0.0225
ljddgfkfri,dog,578,CAt
DOg,Dog,-918,doG
dsersebbmo,cAt,-0.0305,0.098
0.4735,dog,0.035,cat
0.145,doG,799,dog
okoiyocwuv,cAt,-0.041,137
qqqiwfqdns,CaT,0.222,322
494,DOg,lexmyuxjck,-864
106,caT,780,-0.16
-0.48,acljqxfufb,CAT,0.192
-153,DOG,-407,-133
0.2955,cat,0.4795,0.369
-462,dOg,cAT,kyqwfhgcfc
dog,DoG,DoG,0.4085
-0.338,CAt,qgfrwkmjdx,0.382
0.373,DOg,407,0.1085
-375,cAt,-195,vampivwnwg
jcozapckbl,quehqknwbk,CaT,lurraheqsf
cAt,-851,-211,-0.089
ytirudghib,doG,0.3325,0.417
doG,Dog,0.369,-0.111
-0.218,caT,xemiddtkhy,qplqjlwboo
lvnydxhxqr,cAT,-0.1535,-0.0465
0.3265,CAT,0.1515,-802
doG,doG,0.035,0.343
-398,dog,-133,0.139
0.304,Cat,cmtilmwfsj,505
nymbymltnd,dOg,783,0.4635
-878,DOG,dqiiyxojdz,cat
jjezxzjibq,-0.285,tjcmqkqetj,0.1615
cAT,rklorigqgg,0.2125,-0.437
ljeokroshm,doG,0.0365,324
kinlrfzgje,0.064,0.392,-590
0.428,dOg,-0.24,vdmkwpynpz
DoG,DOg,-0.1925,99
bftjwxwsdq,861,Cat,agemehhdyp
yyqrtwuzkp,DOG,DOg,0.498
DoG,DOG,-0.3205,653
cwugnmtapc,dOG,0.422,0.358
0.209,dOG,0.308,CaT
-0.029,cAt,600,0.176
DOG,0.119,lrrldgrwcw,-547
-869,0.02,rfujaexrsy,0.0155
wlvdppwnyl,CAt,0.423,227
0.326,cAT,542,avnpnfnmjz
dOg,cAt,374,-0.0625
dxxhqgaynf,CaT,-647,inrbxjmchy
-879,CaT,0.208,Dog
730,ijwoywmgbv,Dog,jzmytgdkqj
wmrigajyaw,DOg,0.435,-0.3975
uiojnwotsy,caT,llnuldetqm,CaT
bzjfegidjo,cat,0.375,cAT
DOg,DoG,cAt,-605
cat,cAT,CAT,hulupoyowm
-0.276,mcioudgkiv,dOG,864
633,CAT,knknbbofhu,dmtfpzpspi
0.303,Cat,-0.428,-224
-902,dOg,-378,-0.052
dzbpbpvekc,doG,218,497
161,CAt,lscaimevyl,cAt
ovnkbiwrak,DOg,-0.2935,tffdtikaas
-0.4945,DoG,yefhdotmgk,ptyhrseric
-833,CaT,0.3,CaT
-0.307,cAt,hhjorqwkyh,79
0.3925,0.237,739,-0.2295
0.232,dOG,-530,0.0675
0.0575,cat,DOG,-0.2865
-728,460,Dog,0
byrtaxsylr,cAt,-356,-75
idhhhwvkqc,DOG,Dog,cAT
vjiigujhij,DoG,-227,efyyfetwhz
0.0875,DOG,agqfnucjoa,0.229
235,CaT,DOg,-938
-479,DOg,DOg,CAt
dizpfezsxk,0.021,caT,eczurhluuq
-0.324,CAt,hljpriwzlb,hcytrtktna
0.406,Dog,kqyxsduanm,yqbiijcypb
-708,0.133,0.4295,DOG
jshjjxzsws,cAT,lsqqpaqkid,-0.2565
245,DOg,-841,0.385
-0.0895,dog,DOg,-0.1225
-0.006,DOg,mzhytlzjen,-67
-0.296,dog,jikycptygz,deoaijnvac
-227,Dog,dcrjphwhnq,-0.2805
-458,cat,ooxvaqujri,116
DoG,Cat,-891,krsaqcdvod
0.1695,DoG,-0.094,710
dOg,-144,407,342
-378,doG,0.395,0.491
CAt,898,-0.442,-311
-0.0265,CAT,dOg,-441
-0.406,CAt,-313,-0.083
ghgkazrsuf,dlxounzpnb,0.277,616
0.2815,doG,111,-624
-593,cAT,doG,544
dog,cat,wtssmymsym,-0.4935
-0.299,caT,700,-376
pmunxvdjsq,cat,-0.46,-0.168
