wurqqakrsj,jxknwclssi,aoukkcxzan
147,wrozlpidxz,euuftlfqyz
-0.459,-156,-228
-85,xpmrrrwcqh,-0.2655
wiunfspbct,nvetnechxf,467
0.176,-946,obgaojjpqu
-133,caT,rtcpqhqeko
xzwkxgsraz,-750,-0.2875
-0.4735,-547,zqfmxsysli
0.0665,DoG,DOg
-842,setamwrwtb,-692
okakisagty,dog,cAt
DoG,-527,DOg
dlzuqxlgnp,-742,xzjmdlyxnr
-132,-0.2505,dOg
hnknjydfpa,-863,237
nitkbbjsxz,nqdpgtykmr,0.157
dOG,DoG,cwkcvznobi
791,851,rasulbmtys
-0.089,cAT,mqqgoixpqc
doG,mbtcgnhlnb,0.4695
lrvnbmdnsg,-399,yhjudrcqff
iovegjbzsy,mqjrorwrbn,111
vmpahvkrgt,-916,ttkopfwvtu
dmomnhwrfp,firjaguvsb,uptotyxkfh
DOG,0.4645,nxrqhvapwi
CAT,-0.421,-428
-0.273,-0.3465,-715
CAT,twrmmhozlf,965
743,-0.088,dOg
625,-321,109
-0.3075,rqoxqsgqmw,-832
snxqfinxux,DOg,277
cAt,-0.2085,0.0155
zsonerxghx,-0.0735,0.399
0.447,720,639
bvbyjfszfu,dog,-369
413,Dog,wuglngsnxh
0.121,388,CAT
qxnqmgmyyt,DoG,edywwjkqvk
0.1185,-553,CAt
psxgohkbtr,0.4495,cAT
-0.146,CAT,-0.1265
0.2985,0.414,ykwmtkhvgo
Cat,-0.19,ecvwyuvcrq
dOg,65,898
kgklghrhwc,566,dgidvzmpub
caT,-0.07,-0.1535
524,awzinnibeu,doG
DOg,dOG,gjumvmdkgf
0.1715,-135,dog
qoznhzjaao,0.1875,157
-369,ynmmqrvswz,137
doG,dOG,0.293
-0.214,-860,-265
