xeyeoqnxaj,xskkjqswqd,rgeswurwlu,PeT
0.4365,xtigkpglea,CAt,mdvxcaiyol
gmvociephb,0.033,fujjabqtge,0.141
974,-407,-0.323,dOg
umogexymjq,-487,qivnipiuik,Dog
dOg,fhajmcfmsk,-879,cAT
0.0335,nkilcnznog,0.0845,dOg
nayitnfhbd,xbdeoicnon,iglksgsedk,cwwvaeirdt
125,wrxdvqfnrb,Cat,CaT
vvqyoljhxz,-0.477,dOG,CaT
-128,cAT,doomfpxrwv,yfphmkwbof
0.4155,-360,CaT,41
mwfocpnhzd,-0.113,-485,CaT
0.0355,qpbvxirlwj,-909,doG
-0.447,caT,0.0085,CaT
DOG,mpmlewcumt,oaxvrhrlzo,0.052
-0.193,-0.3555,ioddzbiyjd,DOg
-0.446,gfjzahhwng,ewxybgqkvp,hncohmauhe
0.358,fvgbbgwltm,DOg,Dog
-0.336,CaT,-0.4775,jozujmghen
-0.437,CAt,0.026,dog
-121,vihwcsqvul,pdalulhjvb,CAT
-0.07,wynemzirsd,CaT,cAt
yjzkhidfwz,-0.0825,0.1935,dOg
691,lebyooenlx,-885,dOG
0.2825,fayjtomebi,-0.145,DOg
CAt,cat,caubaeuelr,dog
DOg,-0.248,-386,Dog
xumcnfnnbr,ekcgtovuoy,-0.03,DOG
DOG,dOG,hcsoponzrm,dog
-0.2365,dog,0.248,doG
caT,cAt,tbhntfhzmm,DOG
0.2255,Dog,dog,CaT
syvmgwiaft,-852,Dog,cAt
CAt,47,0.1385,-0.1885
lnrsquscjl,-559,ymnrofyqee,caT
0.4775,0.4855,fkasugijmv,38
862,gjthhvxumt,0.135,doG
hyznmgmofe,yxkfkytymd,-156,DOg
tfxnhgvpec,-0.2125,-378,DOg
0.3185,863,venjcjyqnt,CaT
0.1975,-329,-0.2805,-380
xxcbkvhnhl,dOg,cat,doG
cAT,rvjelamjya,12,dOG
645,qxpcbfekti,CaT,cAT
0.2345,0.119,rrxyvvwbcz,caT
doG,-0.3645,0.034,dog
281,-635,0.311,hxjuttjnct
0.2355,aboidpnpxx,-0.3545,DOg
caT,kqdpgabmrm,dwbbjfpqfn,doG
DOG,-776,279,doG
-0.3875,-283,gcgcjvswfc,0.4165
488,-0.1645,0.3535,cat
aeadiuxagh,nkgehpubkb,0.2085,cAt
-161,ocrxwkeyhz,Dog,qfoehopvdf
hoidndojfo,doG,0.321,DOG
-0.4415,115,828,dog
168,icadtisiyg,irfdiivbgs,-0.2835
cAt,704,-0.1375,-0.3605
Cat,cxzlcjgstu,94,cAt
606,830,abftctxsdn,dOG
xqhimxujxk,dOg,154,dOg
dOG,0.457,cat,caT
cAt,caT,cat,btvutgvoxc
cAT,765,kkpdesscyv,DOg
wmmzbzggyk,0.455,pbshctcimy,cat
mbqebrohxt,-585,-316,caT
709,CAT,vyrjdbiirz,dog
jeemmncnom,-947,171,Cat
-471,-480,0.266,0.492
-601,jrzazygiju,-0.384,-0.4175
kqolpzspun,0.383,-0.0545,DoG
-776,okhlzqttky,-968,dOg
iniytcnbzh,jclnekqqpg,-0.4265,dog
CAt,yvdcztbphx,dcfyiaknsi,DOg
bfovuqavhi,-0.139,-537,0.375
676,-584,0.1885,DOG
739,CAT,-0.084,cAT
0.237,CAt,140,caT
xaqkrkplua,-0.209,dOG,Cat
-204,493,CAT,caT
DoG,eikflerzdq,0.1205,146
-0.3355,-167,mmkmnucpfj,CAt
541,-985,cdzhtqdpsa,DoG
pcowtuqygi,-0.419,vlqfgwjhhj,dOG
fovficwasb,bbilrkfrap,472,rwugiulwbh
thlygnqkpt,-0.384,926,DoG
0.1805,400,-744,175
-0.4305,0.492,-0.0575,DoG
