dslgesjkll,qovxsxtpdj,qtfipujssx,cmnmzmdsfd,blauqoplei,ryxhsewutw,uclmtzzckj
0.416,89,cat,989,pjkugwxwrk,-0.0595,CAT
0.1095,ggcrxdebox,slvebbmhrh,0.2925,mtxbxhhzeg,-618,-0.171
caT,-0.2295,755,drhpnmanpv,ijvqmkptcq,0.159,-0.126
-263,eruomcmrqr,jwjohmyyma,DOG,-0.19,rpmcjalieb,206
-864,dog,ghomnglpmu,dOg,0.4455,-0.143,-0.398
irkopdehqt,wtpzqikjba,tpojuuogoi,cAt,-894,dOg,Cat
-434,lfogzhxibu,Dog,0.3185,-0.231,CaT,0.408
-63,dOG,-0.2065,562,-0.0155,0.396,DOg
0.172,dOG,-0.292,tunnzmsuml,dOG,muczfiiqwb,-0.44
doG,0.126,694,-0.329,0.1235,rcjaimdjfo,0.213
DOg,-237,-0.026,0.3805,kharkpmovx,CAT,0.1205
cat,bsjdwfrusg,0.355,bpdlqlwhyu,qqybvkuaci,0.479,-806
tephslzmmf,-195,rvzspvdkxa,ahhxyyidks,vbzutumcqq,-0.288,-805
-0.1975,-0.0505,302,nxbzhvpixf,Cat,juejgvybrz,cwpzqnmurv
0.1955,nfyzelnpxp,0.4775,-0.4405,dOG,0.3685,-0.46
653,puwzorxjaw,0.3505,kllmxcjoya,-247,cat,945
0.3575,472,756,881,CaT,839,vdietfvjgd
cat,jovpvmxesj,628,239,956,cat,0.266
dog,dOg,-914,etvmqauvjg,wocnpllvdy,doG,smfywfbrfb
hjxglocwti,-0.244,0.023,sjgulxdpcw,-0.0005,eontlzumcn,-0.38
-511,0.391,suxxtzxssp,-0.3815,-0.089,-0.292,996
0.4145,-0.402,0.0805,-0.4115,tqjyfihazt,botdmsfels,merpcjbbvm
-227,cAT,uqmwiwbokp,-0.4125,DOg,-0.052,-0.107
zzmjdcdbjo,-0.2175,-0.4515,-0.4505,CAT,-0.38,-0.305
-0.429,-604,-0.4005,68,zmjzxoxstw,-0.002,-0.263
kqhmippzom,-531,0.4995,435,wugdyeylpz,DOG,-125
