ygwbeowjoq,ecfzoshqab,PET,emakitpeyt,iprvkpursw,lchuthotqy,jdhkfngtvf
0.1855,dmofmcmxwf,DOG,0.1035,-0.102,mgkvvqrddj,myjezvzuwk
0.3905,fpbmqczbdf,dOG,-97,-0.428,0.0965,604
-593,tfrmlsccmj,xtsrrelurz,-0.232,drvhjfnuhs,0.058,lmvlsjjjmq
0.172,henvkatewr,0.1895,0.173,CaT,484,doG
dOg,-0.223,DOg,mgjolhkgfa,Dog,kutzpupzpg,78
CAt,0.3135,dog,-752,yssgagbwar,-436,-0.3265
dog,0.443,dog,0.3845,431,-664,-0.4
dujjsjblyg,kehffbhjtn,uqwyywanxq,rubialzihx,qdtpyacxrv,0.43,DOG
ivnufftops,olisqeeiix,DoG,0.475,DoG,scdvzyuszz,-910
DOg,DoG,caT,rqlugxkqut,171,-0.343,0.105
129,414,wccfvcmsym,-0.041,opnwakcrcp,0.0005,cAt
dog,caT,Cat,cat,-0.195,-491,sxeatdkpcc
-203,mztmduvbaz,CaT,83,0.372,xunggmyfpj,94
-0.155,ckmwkhpfde,rqaodcxogy,zrsybuddlp,cgbgfjectq,tesfnawjof,989
876,bmknitozwk,bfommrjlpu,-0.4765,0.2825,dog,hkfuolznpw
641,-443,0.2745,doG,dnxlqshgha,tdavwywcbx,Dog
-0.227,-0.0115,DoG,CaT,CAt,-21,0.1735
ueejyxvaes,caT,CAT,bsdwapkkgw,0.0925,dOg,tinwonpkte
-715,-0.398,CAt,-560,iptzxzvzck,91,-266
-0.33,0.4105,CAT,0.308,CaT,kuspghpaxt,-757
szddloeiql,-502,Dog,400,Cat,gbtfasksbd,Dog
0.182,nyyqwophec,CaT,67,cAt,Dog,-0.292
nneblolxki,CAt,Cat,DOg,ftflrietbh,-834,qxjxlgkghc
Cat,ytwyibupuc,Dog,cat,0.1645,twylhspowq,eyjoxqamld
492,CAT,caT,cat,991,caT,201
CaT,rdkgaksgox,-0.1895,-0.4305,jlpkfukgko,0.4465,ncmwpbfwbm
-583,sbxkvxecnh,CaT,ozozwpumhg,0.439,caT,0.043
-223,-770,-750,ilghvbabtl,DOg,-0.1915,-0.481
904,ozbmqxdewd,DOG,welzozuvag,edgjucwzwi,nurtvricin,nyihxifsxo
bddetktugx,-554,CAT,wlsiazfgcz,-33,855,-701
-0.153,164,cat,-0.221,Dog,dog,-0.453
ytsbfelmmc,exvybrgqya,dOG,388,mjzgsroztf,-0.333,-0.4425
cat,-338,CaT,lcmupocnhs,0.234,-486,ltygphofyn
-0.285,jninplezpv,-59,cAT,wsdvrmuqvr,0.276,-0.007
0.125,-0.3975,arvkbcbyvb,DOg,CaT,DoG,0.435
