whhvgvdyga,tfgaintamz,tdjymynhii,snfmngptxq,dpymgsyjpj,fjxcyxpuzc
nzdtjteyhv,CaT,-0.089,dOG,vclheehhpc,cvqulsdxcz
CAT,355,DOG,elztdeiqdu,623,dOg
906,-0.048,dOg,-99,-994,-873
cat,-0.215,5,-0.1765,230,0.425
-642,ppoeepgklh,-0.314,dOG,0.208,afmynxrtem
yvbvtnzeii,CAT,azznnpirrp,-0.4245,-502,rghftwteed
-0.1185,xrlaxfzhwr,-0.4225,DOg,-0.115,132
ymfhxwlxvt,-827,nsuvdxvnlg,-0.2585,619,qnofjahzkb
783,514,DOG,zjrwcxiorh,320,-0.1995
63,umiubyuxby,tafncvyxjk,cat,0.315,wrtochrgyk
-0.4325,zrtrpwocdp,-417,-140,Cat,qwcdgdevzn
zhhxjpjpfd,0.4365,wikuaaulry,-0.312,CaT,-0.264
cat,rfjajmdcep,-0.122,-0.442,cbetbtpigk,bunbvogryq
0.4245,-607,-225,0.1605,-0.157,Cat
zrvfrwzhad,rdkvyinlvr,84,0.033,0.4965,qoyrrpibdr
svueroyfor,-147,kapooyegmv,-867,mlwagjjfxn,-684
wcudgcagpk,442,195,dqohxccbun,-0.1995,-13
0.157,vkyaozhshg,-760,rbppghmwob,cat,-180
CAt,rjwlkfnuov,-294,-650,kqpkffcdar,0.014
vdddrffzaa,-0.216,0.0775,jsmllmmlvt,doG,-241
xrxdfxoduj,byaduzwvna,-0.035,CaT,-0.3325,DOg
-0.4575,319,bojpvmasra,dalacwkdib,-0.1965,0.409
0.195,CAT,djxjrorivy,0.112,405,-393
ztnqrxwznw,yhjgcgubec,DoG,0.3635,unuxfurbuo,-55
zgknahxvno,CAT,-781,-945,wwdhsiduad,-0.2945
0.456,-0.2495,-450,ochocfalng,-317,anguvjheoy
175,DOG,hjdnuwbhfu,12,dOG,xputrgewpi
-0.494,fuwolvmzdz,-841,305,nihftpbcoe,-401
ehetpplstx,-571,0.4815,-291,doG,0.164
tapsdqgmkg,vwrgnysmtf,cuzgltgkst,-0.37,-559,ueljxzpffn
mwlprufkhn,Dog,DOG,0.2795,906,CaT
0.022,484,ceehfmwgse,-0.251,cyyyxazcsn,-0.1205
-568,-198,hyqyqntlrx,0.0295,-0.2715,DOg
vmobvrlyth,-510,523,435,0.427,rimuqtnihi
-693,-232,-0.4525,-0.3855,xryxrcfzdu,Cat
953,0.1655,-929,gmxwilixff,cat,CaT
0.3615,0.0805,xxakzlrnkv,nmjtnaivlr,epvefmmaht,-373
hsjbihqehj,0.171,996,mkcfswyzel,dqlhpbkscy,DoG
-426,ylwsnjoeyy,agnchodqsq,424,dOG,wjooafvbcg
-0.2545,ndzglnzssl,-0.4245,-0.17,-724,doG
axuxvicfpi,CAt,0.027,-13,755,-824
grulydjwbr,ivmkmtfekt,bkswcucdvl,247,-0.1395,vdwgmmxsmt
0.469,dog,-448,-390,-0.269,zgulcfosjg
