jnrgfiasrq,brcmjrhfts,hxqbvliyxa,hknifochen
-0.2825,uwbpswqdtl,uhofjymqhr,laabyowadb
483,0.2195,-685,ovpepzdnbb
502,wcuumtyvax,CAT,CAT
iaogqkngwe,btnsvgltnv,-0.4315,Cat
beiktoryea,kyyfeztgmq,0.193,0.272
0.4465,wvzxsqrbya,Cat,0.3625
izpltiqqef,477,0.4565,cat
jntddrykmk,325,0.0225,lxkunycfqm
grfdacgirw,Cat,bhaexsdtgs,-477
qqhlcsltqe,69,369,DOg
695,fzltfokyhw,878,-0.389
-0.3395,122,-0.3945,-985
nmvcqogmca,rwznbiktgf,0.1525,175
-0.402,mnsfjixmzi,DOg,140
izmixyavfn,goxxqgxbmt,dog,0.2715
doG,-679,-474,goquujekmu
805,mxoqhqhfvv,vbcrvvagkp,0.0495
-0.365,0.2465,qiuivujdys,zwkcujeavr
153,CaT,pnmxkudwpc,DOG
qarrxoswcm,-0.11,fjeeidikjs,Cat
708,dog,pikkojgtvk,deygxmkcjl
lrwmsdercy,CAT,-741,hjdhorpwtm
yutdklltfq,0.0155,-0.392,ccmytojyyh
0.0255,0.3775,szwrjfnrom,wwsmnqpgxs
qwxqnxowqo,-724,845,-270
-583,ivmskgqdyt,Dog,-0.294
-44,vsiqkhwjex,-0.2095,fgsejuvivw
covpdxorlw,omyuzjhpsx,-547,wsifdlfrfj
-0.4325,uoiuihswmi,-0.3495,-0.3435
DOg,-932,0.1305,qedyxrurqy
kibtlpxgcm,CAt,jzuwnucwmr,xrdbdtncgu
229,wpqfetxjna,-0.337,-1
-0.4055,0.393,gxgsmgpbhy,-0.2905
wiusdjopnt,CAT,519,qfyazpbmpz
0.165,-0.4925,0.4435,733
CAT,0.134,uuhumycdvl,0.247
jrphcfrugx,DoG,idwyjryshs,-0.2235
dtuwjytilm,-0.0595,lwfmlfoczd,0.471
dog,-913,caT,yhinszrwaa
-0.449,-923,-208,cat
-0.492,0.403,393,0.245
-466,cat,159,-0.2905
-882,DoG,0.2015,ceigvnetcn
-488,-0.2495,651,iygvtfxovw
-0.3425,575,470,310
-0.194,dflciiorfe,-503,0.4825
-0.426,62,DOg,-996
0.375,kkhwhjawjv,0.427,289
doG,0.3575,dOG,muhlsrxlql
CAT,-0.071,almyzzgzjn,77
-423,caT,cAt,0.3215
dOG,cdgzelxovg,-0.168,0.2035
0.375,-68,-282,-0.227
ebbhzhppag,-243,mxnlbgpvrj,muxpsnsddx
tqgmuzmnfb,DOg,799,bxqhgunzkh
-0.176,82,-357,0.043
402,aoqsmtpkcq,-56,434
sjzkhouddu,-0.302,0.497,0.283
648,tjiuywjqvo,0.3045,-693
enraztpqng,dOG,-272,-0.1485
-627,mgouotsbfo,-167,cAT
wtnogmwghb,459,-0.1235,866
vqtfckrwtn,-0.4375,tfjfyvdrfn,0.393
caT,0.181,220,nxuheiigeo
DOG,0.373,dOG,xsjsxjpxrq
ydfvmqcujk,-133,0.4145,mrhghlbmxw
ftpctjtbqg,732,0.3865,577
ozarroccvr,-0.301,-0.465,xvskefpqkn
rjiryszgwt,735,bwjlgqptdb,dog
amcqywnbss,klpaxnbdxg,-0.027,zkqjmhrynx
ctkhtrekwb,Dog,0.3835,zvepxuwfwv
yzaepvdfad,-0.0355,201,Cat
tgnbwxqxgp,-146,803,289
0.2175,zzhnkfkmmd,-46,-0.1465
doG,0.2325,0.0855,sangvjxioi
jsgbffksde,dOg,doG,oxndunrutg
bjmmzablxo,-0.107,-199,0.3395
DOG,CAT,32,893
874,kkhibjvnge,Cat,227
-0.086,0.334,mlksabqpdm,-766
zwiebmuuix,dxafcavnfq,unewhsaczf,gehhzlpqva
DOg,171,DOG,ncdyeiryvq
0.309,-0.1535,bzhnxiemdc,-0.3065
0.481,cAT,-364,40
