bvoujqkrby,wypvlflrpa,knpixjxfya,duobfegwnc,ahathxhjwp
-0.372,DOg,CAT,0.1775,-83
-0.3155,cat,ptmfmhprcz,plqchxvqwx,676
-0.3075,dlpykynkdy,dOg,cat,387
vpsbdaxllt,0.2795,rqtglbbdow,-319,-613
CAT,-0.3215,mdfsrozsgr,pxtlytueug,-330
kwzebjxsjq,CAT,zrmpgzndbx,0.1475,mnrtroqose
-808,441,0.1325,CAt,-348
nawgavgbwo,0.24,tkpiesutvs,0.0375,0.4775
-75,ajmzhscvkn,247,-460,xnbkcltygx
lqisyktgzv,-0.3135,DoG,CaT,jefwscshgf
980,oyuandscql,-532,cxdaibpfbt,-688
-0.02,-394,790,jcfwppswev,-0.1765
cAT,138,-709,kanghmauac,-570
99,0.181,-448,CAt,vlggpjnxps
120,khvhusweny,0.2815,ggsvxdtqne,-438
snfftivjxn,oogqborkqb,nsrrwubtwg,dog,0.297
-919,kxbsgrfwkv,0.4815,-0.2835,0.3685
0.0295,-94,0.453,jupahrqozl,Cat
kkorgtdzwj,dmdilljiyi,tevfacrezq,906,DOG
-0.089,qpgrdnidke,aypznmyjaf,-0.377,dqforjreik
-995,CaT,-0.33,cdptzzxyji,690
-0.455,-0.247,226,cat,190
0.0605,aebxawdbiv,doG,dhrbjgiwxu,0.188
rxioktfvyb,pfudlojjzv,-466,-0.415,cat
-58,duhdyvrrzn,-0.245,DOg,853
