heikxglelz,ucesyjttzv,lmtwklcqej,kmrnibxqpu,hlkmdskkez,PET,qtrebjpwle
alkhvhatnj,648,-893,-833,695,DOG,0.0995
885,-774,0.471,0.163,61,-0.0675,caT
dog,cAT,0.2835,-0.4015,-639,Cat,0.471
-857,Cat,0.2285,-0.0415,cAT,-465,-0.015
CaT,392,-0.447,-722,690,DoG,-0.4575
548,xpbgoqsgfv,206,ubmxiuwxji,-264,rdxjrbweze,-0.12
-259,yzosmmhgni,xqtffkpsqn,0.308,vfvclswubs,cat,417
685,-449,uljqgqtlgt,-0.1915,830,Cat,nxvoypzzdk
-322,DOg,-0.401,cibhwkufkv,tfyonggoiw,dog,-457
256,-0.1015,0.165,-0.281,doG,cat,0.219
johcntuzyz,dOG,-398,196,-0.4635,DoG,781
xxghpagubl,apjeghnbpr,956,eindfcdrfg,kbqvozaeap,cAt,0.0975
613,-532,doG,-0.4845,-758,444,-0.2735
caT,raiufvluqh,60,-61,0.0485,dOG,0.408
-0.16,-0.1435,0.0495,tkfbxitwpv,-0.299,CAT,844
-0.386,0.0955,doG,-317,fugbuafciw,DoG,ntgkulftck
-0.35,-0.447,bwpkocheqo,-795,jtbpxhyamu,cat,360
-412,cxrqdkllvv,DoG,0.4925,cat,cat,0.4385
yggdicrnhw,cAt,xnbepfrjfl,cat,266,0.0195,dOG
-70,-0.2735,nnzdbpvhqt,CAt,0.5,dog,431
DOg,cAT,0.2915,199,Dog,DOG,-0.4635
DOG,gbhsxaxund,CaT,-350,-496,dog,zvaxydaqkt
Dog,-201,dog,67,cAt,pyutjsjlgd,-0.4135
-0.407,ncnnisvdho,961,Dog,0.1645,862,vbcavouadm
0.494,DOg,0.2735,ainzkyiodt,kojvaycngt,CAT,DoG
qxxlzolfpg,Dog,0.3865,0.3305,onsgytqxbe,-0.45,-0.079
Cat,-0.183,-884,-0.3435,912,doG,-240
vjpfqebixh,wzixgqxsog,-945,jqorsncljy,0.0615,doG,-426
-151,-0.433,413,dog,412,dOG,857
-0.481,-700,-0.024,-0.2495,-23,-0.3245,dog
-260,0.416,wxdwajqqaq,103,cpalcluvxv,doG,-0.3515
doG,CaT,768,0.0045,-0.027,CAT,0.3085
qfvhbpoumo,-336,bzbdsjgzgi,-0.391,345,CAt,36
dog,cAt,-258,-554,dOg,CaT,fnofrszizg
nwlkmmrpkd,0.0115,dOg,Cat,hlvnxgxplb,dog,llegslpqjt
-94,0.153,227,-0.2735,urswfcgvzy,doG,-682
oyijlirkuz,ajuzybznjw,0.006,klwargygdh,119,DOg,952
371,DoG,topzfludqv,cAt,egjxouaggc,DoG,-322
-0.4885,DOG,-242,0.3895,auvvunkfhn,nzfbxxbonl,-282
-0.2275,ljjecloljg,238,rfgvpvxyhr,dOg,CaT,-631
mzqulbmlla,cAt,-721,lydirnltqp,-424,CAt,-87
