fbctiembny,qblefgtalg,hsvabsgnlk
mjitprvajh,871,egxpptqvcw
0.1385,dxuegtgxan,Dog
pwvxfmgfnz,CAT,wyvwidapbw
-0.4915,219,tmmfeahgpn
-0.3875,horssphiox,-492
dog,-0.386,0.015
-611,-28,DOg
bgfpqwzwkp,0.3485,DoG
rbspnxyblq,0.0115,673
-0.2315,-0.3895,-0.0525
chvgirbklw,-720,-963
-213,caT,288
-995,-0.001,wraedesnne
307,dOG,997
326,DoG,anqdbsfmdw
-978,-150,218
-910,504,doG
415,Cat,-998
apdyylegma,0.4875,0.4745
934,DoG,0.363
Cat,155,fsxnpixroe
CaT,DOg,0.042
gbpoaeptad,-0.31,dog
0.4735,158,133
-938,0.316,-830
rirdlkojdr,874,755
0.1295,-0.4125,zpuedpjvrk
dhtmopxezr,337,ytdvsdtuwh
0.148,dOG,pytlrhagjd
912,sbyhslegqd,-0.001
-0.253,635,oqalkiqymx
-335,213,dog
0.1675,0.079,igulldgyqe
-328,-702,isbgkhcwri
-534,971,0.0105
293,-0.211,DoG
