szygmhmjmx,dvxuqvddrq,mdtstjgohe,tevwdffdeb,pEt,ffrwrkvriy,adcgvelhhk
-0.2935,eqtewgctor,0.0735,-402,CaT,-361,-0.429
-0.273,-626,0.2035,980,bvhrskshyt,-0.4995,982
665,880,0.3595,CAT,caT,-262,uodtqugjla
-0.3395,0.183,qfjuyzvegr,qujgtykkqq,CAT,-312,970
-751,dog,-0.195,0.4555,cAt,vfjqtsibmk,0.306
-0.4825,0.3035,ebuhxsfvze,-111,dOG,-0.485,-0.4265
765,ngjvhecxbk,256,bkoilduaff,Dog,-0.076,326
-0.014,cAt,gafxbpgoux,0.224,DOg,-110,484
-0.1015,-0.089,-0.019,-0.1545,cAT,-257,-0.3375
53,953,649,DOg,cAt,-446,-0.2345
iftdakrkij,-0.226,-220,-0.101,vvowaisqlt,-130,dog
-0.469,150,0.4085,-0.0935,0.3945,287,329
caT,-0.171,kutujkurnq,-0.0955,caT,cscpcziaov,-0.4825
94,0.3095,nbpxnodbhj,0.057,cAT,-0.3695,oihkqlqofg
-0.0435,virrxnjxdq,nlieckopxd,-0.424,dog,tbldcoxfzm,wuvtasguse
ubhkybzxba,dog,-664,-225,cAt,ibcfuubikv,-0.0475
Dog,nplzdtmdeq,413,dbrisrctxu,DOg,749,-402
bqyqfvbtbv,cqyoftsvod,-0.136,djvlrlaxei,Dog,jzmyesiqxf,0.4495
0.3615,-915,oownofhdrd,cat,dOG,0.1795,-689
DOG,-707,0.328,drkgytvdie,dOg,pycmpgavql,-0.2445
swqnequcxl,0.286,-0.37,pwvhxydocz,DoG,695,jvuieerehs
hjmqkbdkvm,571,-0.008,0.248,dOG,abboytakqu,gibpcsditz
67,jkervfebre,0.1135,36,caT,DOg,-0.0385
0.118,caT,dOG,hfkhyvispd,dOG,-451,-636
qgbhbnwxrh,493,966,-0.368,cAt,uwlhbovdbf,tsvhquqoqu
-0.4435,zfpqmuxnyj,npkpxzcqcd,CaT,DOG,dog,tbcdjerztr
-979,dOg,-0.2175,0.2125,CAT,CAt,eaosgsxtvv
336,CaT,-0.2445,pdjxmyecbg,mhkzysuqca,-0.4685,-0.3595
599,bfybooqvmd,DoG,srbihsmwpt,cAt,-0.404,0.1445
176,555,DOG,-0.313,-0.4035,cyyvxczsze,-166
Cat,0.396,290,0.474,dog,-124,doG
nkamxrtfig,0.2385,-157,-0.3205,cAt,-15,130
0.319,965,0.0615,zszqstgabu,-0.3205,DOG,zcnuqdzzxs
bcfywnofxr,mpeeawhnri,lomedcjpqo,olqxdqxkos,566,doG,caT
nilixnlkzr,774,360,fpmwnppopu,DOg,-0.3205,81
gydijwbxzi,CAT,hszujpswpl,anowwvxyhh,DOg,427,zjuzfbtrfv
0.3845,-263,-325,DOG,CAT,-0.1115,-83
0.066,121,-27,-0.2265,cAt,kfczzmtock,dog
373,-77,lymysegefz,DOG,cat,htvjejhldj,dOG
