pET,zdixjhtlbw,lkxhjozzqq,bgbnnmdion,knntmbwymq,ogmvotlbsx
0.3775,-0.089,DoG,-449,mdzjwmfafg,DOg
CAt,Cat,-0.4955,huegjjusxw,-0.306,0.139
CAT,caT,doG,-782,cAT,-0.15
dOg,eklfbguyeg,zcwbxjyzeh,0.0895,rkhmkpaola,-97
-962,zdexunzwtm,lfxudccqlu,ugzqdjrepy,-0.176,0.304
-997,lmkyymxkmn,vmgipzgvac,bdjtkuudel,gwxwmsgyyn,0.0185
CAt,hsdqmflftp,838,475,ekucefostd,-639
DOG,632,0.4935,-72,-0.352,0.211
0.4965,895,-0.3635,-386,0.235,DoG
CAT,-417,-998,-0.3995,jfynctpuyw,0.168
Dog,Dog,-303,dog,rmbqbuujgg,162
ajilpaibox,cAt,0.254,wfmkxyptzf,0.023,-908
cat,CaT,-885,cAT,-0.2395,CAt
DoG,czueufbufy,0.211,0.0615,doG,0.185
-0.3445,CaT,-0.3655,0.0295,-0.411,-0.124
dOg,Cat,Dog,dbqpfqfmmi,-864,48
0.469,-514,mmdlelnrjb,fmqlaipshm,-0.485,-0.1055
Cat,cat,CaT,cAt,0.4635,557
bevnulflva,zynkpwqxjy,0.168,zoplrhsnap,-905,msseycpkyr
0.2845,-639,caT,243,nqosqjrqvk,pvtajsyktq
doG,DOG,-893,0.444,ukiqfhuhdo,mjxmzzbigf
dog,lsndpwfrtz,CAt,twnvdmkpzi,-0.143,-0.4725
Cat,-0.1685,gfcfbubllu,278,CAT,cAt
CAT,0.474,0.191,0.1435,-0.004,xnmqdnaklk
DOG,144,nwdnsgpwzo,revrhvprok,dxxbjobnpp,-445
cAT,hemgubnnzf,0.3945,544,930,-0.449
-0.3045,0.045,600,-0.483,-354,krlnbndrus
0.438,DOG,cat,doG,-265,-0.299
vrwnefktej,193,cAt,0.4545,CAt,firndmpcwo
DOg,-638,iduuyjroql,DOG,CAt,gtkeelstdr
cAt,Cat,cat,783,zbzuxctepe,lbrbjtogop
-0.2885,-0.269,-0.266,radfruzpld,-70,lpmifvkbdt
doG,777,229,jofasowcfb,DoG,dgujkyvloq
dOg,881,xlszjplalr,eehveyhrzz,CAT,DoG
CaT,DOg,ovvibeoqda,Cat,dog,979
CAt,-0.3595,iyhmfsuhwy,-65,CaT,vidondgzxn
Cat,-0.245,0.0195,-0.3635,lmkzrydgjx,Cat
dog,muiuwqehoa,-248,-0.4595,0.457,202
dOg,230,0.1235,-445,635,cAT
-722,0.2835,0.2325,-0.424,54,0.2535
-718,-907,wzmiqvnwty,onryjyhuap,0.427,-118
0.313,rndvusrunw,DOg,yhmacecnou,0.076,-0.0925
doG,0.269,-0.3765,miksjxqzws,-0.355,-0.407
0.3705,555,0.042,idltzmmryu,cat,0.3755
CaT,CaT,kcltrajbus,ustxstctkh,150,355
dOg,cAt,262,Dog,-230,mirxucjijx
Cat,-448,srjsfdhixe,-0.405,0.407,iimhehqzzf
ungprizvhj,dOG,633,397,Cat,0.426
cat,Cat,phdvxqencj,vmjtykgvrw,isjjkecsdy,fledcxtsqm
CAT,-0.36,0.205,jhweolipir,hjeinzytbd,CAT
dog,cAT,etubcmjbwz,-42,DOG,zdubhdmjoh
0.21,0.465,hcjniwukmn,0.4315,412,cAT
DOG,-0.4815,-0.019,239,cAT,-558
CAt,Dog,eloptxivgj,355,-0.179,kegjkscmuk
CAT,buhakymyuq,914,0.3675,-0.047,-0.424
dOg,-0.412,437,-384,0.188,-443
