vgdvbfsqru,kzopxshqoe,PET,fcfikvyptl
-0.2745,-482,cAT,tqeviwnzaa
0.154,-32,caT,CAt
caT,517,caT,-295
mwefopmalf,pkwtgmwgtl,0.08,-0.2875
-445,0.2195,97,-418
nnakouekxq,CaT,cAT,pzrwufmijq
600,0.481,602,-0.213
sbnezfafls,gqbexfihrr,dog,-0.365
CAT,CAT,dOg,-967
-302,dmfpcalayq,dog,0.4275
rpvudkjavc,vbfamznatl,Cat,686
qohegioewa,dweerdactt,cat,-123
tlxjvssstc,ihnqvknkxu,doG,rtlnxnpifz
doG,-473,CAT,60
0.4665,ojzcwxcyyy,CAt,0.3605
DOG,-0.388,dog,rodamjcvhe
-0.2215,caT,521,caT
-0.0695,-97,-457,-0.306
973,cusddemnou,DOg,-413
yduemhcspx,idsypwcbef,cAt,0.4765
CAT,dOG,dog,-0.0305
0.207,-993,dog,0.2325
786,aqlcsjrrur,wvmamfqkkg,665
0.4075,-0.076,0.39,dog
0.049,777,0.3225,txflfuxmcz
cat,0.2465,CAt,-0.262
pztiybuewc,-0.1465,jpvecdogeh,0.125
klxeazyiji,gffpgezruw,cAT,dog
hotbckoaph,CaT,caT,-348
0.1525,153,0.4145,crxftkggzj
mxzbmluffc,507,doG,omvqwqlvbi
29,0.114,Cat,roqgtdsuda
0.095,-924,doG,cAT
caT,0.1945,cAt,971
284,lelfaeqbab,-0.006,tuqnbsgxpx
-0.1535,0.103,doG,-0.303
Cat,848,lznijkndwk,-281
0.43,DOg,-0.3765,mqtbzxsfyf
0.0085,-226,dOg,xkaiskdkrj
xybdskmyme,366,cat,dOG
tjjnlpdspe,557,DoG,0.202
csyjkebwfn,vonwvzvgyz,0.401,Dog
cat,mowujqzzxn,-688,ojujcpjetx
uxbboyonep,0.134,dog,mrismyfvgn
DOg,-0.261,cat,cAt
qeioesvrkc,gcfwwlnite,cAt,0.4905
qvkbbiseqx,-0.3965,cAt,unfouampwp
DoG,-0.403,dOg,-956
-13,dOg,riimaarhhk,508
0.1185,-596,jhpgzjcuev,eyjzkbxcnm
nadxwbqcjo,Cat,CaT,CAt
-0.1525,-670,dog,Dog
-0.259,-0.0395,CAt,-222
677,-0.0935,DOg,0.3095
