uzyqnehlvc,mbbiutuyab,uvpmldjiwp,ggwiykgrbf,famudwrqgp,apdhyugzyc,ivfhacpqrn
0.2335,CAT,875,pemhvqrllc,0.259,0.0815,jwpymfudop
qgtkugaokj,dOg,DOg,642,-771,598,swssawrnwq
cAT,jmmyohfxyl,wfupdeudav,CAt,stjewdjgwh,hcejwyrswx,arfuolyhrh
566,dnekcqsoec,CaT,-147,-0.0705,738,xnnbpypbsl
-0.2605,-538,-0.3695,-681,-274,-757,0.013
kgmlqxnsdf,0.2555,954,doG,-259,-0.3485,0.2635
0.3405,doG,esvvzzmopc,xirgmcnfao,doG,746,lpgvcoslvo
0.1815,-0.4445,Cat,-0.1625,ukmlqtwdkw,-0.481,281
-51,0.0145,adwerhzatl,752,-504,gxhfpcgmjl,0.1335
0.246,-0.222,-663,dOg,doG,0.2825,0.0855
0.4635,-661,214,Dog,jtxgrmlbyc,Dog,DOg
374,-0.3875,0.074,854,0.0225,-835,-50
dpwfejyxti,-0.145,-0.043,181,cAT,mosykyhsdo,0.043
0.0435,cAt,0.2205,DOg,0.187,DOg,0.4635
DOG,DOg,srqlqduarp,0.3005,cAt,0.2745,0.0235
-497,0.281,doG,-251,-0.1125,-713,35
-589,-463,0.29,doG,kiqkdtpeyp,-0.2,0.021
gakfbmmzii,CaT,-0.1055,-0.1845,vdbdymvxak,-305,-797
760,0.151,DOg,DOG,wklcywkeqv,-823,0.231
0.462,0.464,ommxpyaswi,-425,tldifpikfg,CAt,DOG
dfqrkjtoqa,0.2215,-622,0.479,bkxcmclifg,-0.438,caT
caT,0.399,0.1475,-959,caT,Cat,919
712,-0.108,0.315,DOG,-750,316,-630
snixyfnfte,-205,cAt,tihzekcnpv,ztequmiqer,-0.2335,-931
vmknodlvar,-420,0.26,-0.2325,990,-0.137,-542
jfxubofcyp,cAt,caT,-733,CAt,-0.4775,-540
-0.2985,-0.0685,592,769,180,jhohdbwxfr,dOg
140,pekdgnsjer,oubdmzgsoh,gpernhnrnr,cAt,cAT,860
0.321,0.044,uokimymazb,zgovgodwrk,hfxigppztu,cAT,-212
0.27,-888,-0.0305,-0.281,0.2645,-713,ewyhofpwhi
-0.4905,-642,-999,Dog,222,-0.337,orlpnnjnlq
Cat,bpmqnbfpqb,394,0.184,752,doG,DOg
-240,311,DoG,698,nnchiamruf,caT,0.113
0.202,arzkvydjgv,130,0.146,444,0.4145,rfopjnvvmf
0.2755,965,qremksjati,-555,rapihacztr,0.3975,-49
-0.0565,0.4895,-169,DoG,-156,972,115
-522,hvtkmzzota,0.3365,fiqhsrqjib,dog,0.3515,nktdxthuik
0.286,DOG,Dog,qnnzilerjr,qrbedxipbz,428,753
496,-0.417,Cat,440,cat,0.206,-0.242
486,39,75,-0.3015,dOg,0.291,871
-0.183,pgcnbyrzzd,-40,-0.4595,0.235,-0.025,wqsptdbhjg
tyabocbhgq,CaT,Cat,nyajutsqfq,Dog,onlwtbsdjf,-0.0065
