quflsfsohe,mscrqyhnoi,tbshyhauvi,uuejezlyvy,jxncclyogc,rtnzrvzipm
-0.1975,-928,0.2445,-0.2805,xqtulcakew,CAT
cat,0.1195,-0.2585,-978,sesjhbtvvx,-848
908,DoG,ciiiymyzja,415,-0.098,DOG
-301,-0.3545,ihtsssurwx,-0.097,-473,loouygfdph
-0.017,odwwovbcgz,0.454,cAT,wrqstkqdlo,389
-871,692,fvsjuecaoy,-6,123,escxwyrtlo
CAT,-292,Dog,caT,edjphjmcld,cAT
-0.124,133,cat,-364,DoG,-0.438
-0.295,0.099,dOG,-968,-441,0.123
-1000,cAT,bumogerrdm,0.4,0.472,-100
-181,-0.4425,cat,hmsmvaxfxr,pvtifctmxr,0.064
pujcgznjgl,prxcgipvxe,-0.33,apnujcwxak,-0.385,-0.2455
-781,-67,-932,Dog,-0.4555,-0.0435
0.4705,nrqjuwhjlz,-0.027,DoG,216,-0.286
-567,-0.348,-0.2245,-0.0855,-0.303,-325
ggoseqzrtn,-0.425,-977,wtlxfhhomy,oswectvaef,-0.0785
803,pohiabiuiz,-0.147,jwoauenano,-0.0445,0.135
ukqtdhhbqi,cAT,riaskierrb,0.218,0.3045,0.1565
-0.3085,yhdlqejxbt,-22,zmwmzunwcn,ucvlvgrrpj,nfbbsamghl
0.0325,0.2285,239,zevoeyurpw,cAt,421
819,862,vpgyuplqif,DoG,0.083,798
900,172,-413,-523,0.029,CAT
0.2035,-0.343,-292,jugmbppamm,qcmqiabovq,adxacpgrdy
0.0505,-833,qatnuickuq,-0.0675,bnxmzyshli,cAt
eprrftzmlw,-296,whbhvrwvvh,molkpkhutv,rvgqdzsvoo,fpsfpunwyl
ogczpwnvwi,-668,-0.417,-212,omlgbfmank,-0.4455
0.115,-158,DOG,DOG,lvygciuluu,667
uldbncokdu,0.427,jepatkogyh,-0.146,-1000,0.211
hzvzhfzwjm,kugxilmpxl,0.1745,-628,-0.3465,dog
zphyfvbrzj,vlkxpjtrli,qwqzhypaqy,0.0935,0.2115,358
0.44,mrtxpmydrc,0.156,xdulmgpvhw,-0.293,-17
tcnkaabwaa,-782,334,-0.312,qesktjdntd,984
-0.113,236,0.1575,-645,mihpjeiebp,-479
-0.4735,-0.365,0.328,ggfktexjlr,549,dOG
eyonkksfrq,-0.2765,-0.4625,Dog,-0.1725,tkcpiowwbn
iynjqumzqt,555,doG,iwrxgqhncv,-424,ijvgdbuvnn
ndnluilcdu,-0.251,-942,-365,-0.347,-0.455
caT,-180,0.294,-476,-868,sxupkgrwoq
wzbzafzfcm,0.2365,744,fdnzernyrg,-0.218,-0.146
0.007,549,kmuqclwqdh,-88,915,365
osdeyuglwn,372,-0.4965,927,ptltfdcfuh,0.4985
nvdragrkxm,dOg,-891,-0.014,sedftplbtf,-352
-0.229,hmssnfsgwu,220,-885,hlljcsqskv,etmrnwxxmi
cAt,-879,swgszfsrhc,473,644,-0.472
