pfqekhmzjq,kilmifisvy,kyggvtvzmw
0.378,-0.033,dOg
cncexhorpi,882,0.4465
876,ehvqvgqbzk,0.0515
491,0.176,105
lktdkyicpd,dOg,dcfudmlcbp
-0.105,-0.0705,fdovimrfhg
0.3975,-0.035,CAt
zvftfcuajt,-0.434,CaT
-723,DoG,0.016
rhfyevmlhh,-230,-669
-0.127,893,uyzdqviavg
-936,-424,-381
0.1535,CAt,jgnqtubels
cAT,DOG,-311
-0.3045,-0.092,853
sffxtqmtsc,doG,gtcwlvnlbr
umuytxxngh,0.3975,435
-1000,78,dOG
-0.0365,-0.3015,ybojvmugxf
DOG,0.037,0.4615
-531,yvtlrzgwpz,0.391
-628,dog,tzjiyapuho
0.024,-0.4825,861
-0.363,cat,0.055
DoG,193,scucjzkppe
awwqmeyoat,tczudijukn,842
dOG,-0.37,-836
mnapltcrtp,affwwbufyu,0.3225
0.036,bjlajtyqcb,-0.3335
dOg,0.0715,-0.466
0.0255,-0.375,-174
-537,akxqbqisoj,oposhhyjoy
105,dOg,-506
dog,uqkwtjeulg,0.262
-59,226,0.423
-508,dog,-404
gyxcyctmyw,0.066,nakmymxddu
-0.3125,cAt,kdimlhzgaf
