bsmvcyociy,kmklcnjdhf,PET,xesvhinhii,esyqcdimgq,vpxsvqghld,tyqhxrjydq
CaT,0.3535,mfprzfahaw,cAT,CaT,0.331,CAt
cAT,DOg,CAt,-0.082,zewftwwwjb,tzjeqmazrg,dyilaxwkjg
-92,-0.4895,cAt,jdhxokcjzv,-0.471,kbtbvxxqts,CAt
0.094,DoG,CAT,jhsinzodoy,-0.0255,srmvecvlxv,185
ahgbakdglw,48,caT,851,0.366,-0.4815,nlbodcaajn
239,-654,dog,cAT,eanhmqzwlw,CAT,0.485
431,-0.4645,cat,doG,0.0875,agwoxjykgo,DOG
dOG,697,dOG,32,kdeldgfhio,629,cat
irwtgljjwk,-236,DOg,-461,caT,-389,edniwffjbh
dog,eqdxkuzcrz,fhckjunzxc,-601,-337,-0.4835,vwivufbcdh
119,qwnzhrjbui,DOg,-0.2085,gpdfxftfjo,axtwiinmzc,-469
0.054,249,caT,rbszbtwflp,cAT,cAt,-0.1735
DOG,uoxpwqtedp,Dog,-695,tjjanhgutm,0.2775,0.324
-0.117,jedqzzvati,-116,jcprgreamk,547,DOG,-0.3505
-0.1405,0.281,caT,0.0395,bhdfuqutqi,zclslrfvoi,DOG
422,458,0.13,-0.3555,497,caT,lsbrtfuohu
zcdeppkizv,-0.413,cAT,0.451,duklvxjlbs,-0.4625,-902
0.0495,914,sairvarxil,ssxkojpjdg,-685,-0.038,bdnotkroqy
xtrdtsdcvz,-0.33,CAT,849,-86,miprekawuc,-0.225
0.129,0.384,CAt,0.0535,mrtkmnnwxu,944,-740
-772,jgiajpxzeh,caT,185,-507,gxamjehpgl,cirwgsaopc
Dog,-0.041,caT,89,-0.397,-999,-0.455
-0.354,348,dOG,dog,-0.431,CAt,bwyuuedinr
ivskiphnfl,-0.173,-39,0.2245,-254,ynpdqvckbx,ywaqcheppg
0.155,-0.488,DoG,-353,-712,Dog,cat
cmazabebal,-0.2795,doG,snccxhhetm,caT,vpchprissn,pxkwgztlkv
-750,klqqaiaxqx,CaT,vjuhrdnukr,360,CaT,DoG
icxomtkycs,-0.2525,rlqvpwoetw,-0.195,pstmpnvzrb,-0.295,mpgyixvyji
CAt,CAt,Cat,sqfvfvnuzz,-514,puqarbkziu,-139
703,-0.0645,-0.3165,-0.291,149,-719,xziaxvkutc
756,-0.264,CaT,xrzemmfjlj,-0.405,jvbqjgcpjv,48
-612,biolkbeniz,0.0535,haegqfhupw,nslzbatrpz,461,-405
-0.114,-0.075,cAT,-496,888,dawwpuyvae,0.129
-0.326,dretjrwfzo,cat,CaT,dOg,-293,iszgasyugt
174,-168,CAt,-0.3535,ysovasnorb,0.402,505
-566,CaT,Cat,CAT,oygcftwluf,-0.2095,caT
doG,kbawgbyfmr,DOG,darrnjcqjg,lqrczbalpy,0.4115,avigxltgbk
982,dcmnzixywl,-0.447,cat,0.2595,hbzoyptfnt,0.217
0.4855,0.425,CAT,-733,zqxctswnau,-0.492,0.274
-359,caT,0.1035,uzsefdxphw,79,-0.1125,-0.098
