peT,ojbfilokpt,foownthkrc,hdhiysfbcj
CAT,375,CAt,0.2765
0.1435,0.4985,xufkyuknxe,qvgukhiavp
cat,180,cAt,-891
DOg,xfcsaidnvo,169,0.369
cat,0.3785,abfxcdyqji,-0.278
dog,xfwpcwpbtq,-0.4595,0.302
Cat,-102,hapeawewga,vvrznijnwa
CaT,ljuccnezui,990,ljgbylxvga
dOg,ytrdycbuzu,DOg,CAT
zeoatrluaw,hmmadvmtaa,jxewbnwfek,derwlizmwx
-966,caT,qyadopccza,leraobvylc
-0.191,0.461,0.457,0.2535
caT,-0.354,inupknkjds,Dog
Cat,cat,irbamgusnd,yienhhkmsy
0.292,240,DOg,blakgeqsoq
-0.345,-805,rmxhnwpytv,-0.147
Dog,0.386,0.03,DOg
caT,0.4305,dog,-0.2745
dog,mwzkqclzyl,-0.391,doG
Cat,ckjemcfnkn,ebiorcxvzf,egpivvdpyq
Cat,doG,pgforumsun,0.3125
DOG,0.453,-257,-309
DoG,0.4975,-0.1075,DOg
Dog,-992,ukedgpjtnu,DoG
cAt,uftrhmbigh,caT,apdqhwqevq
dOG,xbjyndjeop,cat,-0.416
spjmvjubxi,0.0065,0.049,817
CAT,wxubaajipf,198,ebwhkedqvi
-0.2785,bcnoktjzss,709,561
cAT,cat,zlsxljfzqj,Cat
DoG,doG,99,-712
cat,387,-384,brwyjtmxsz
dOG,-0.42,DOg,441
CaT,134,0.1475,-0.3705
DOg,-0.1915,0.0,-854
113,-0.0865,-317,-672
