bvsvozdogx,ieqdymbxyt,ybhcqbtzek,cjxivmeult,rxagsiocel,awsshykbdv,nonttxsxbb
442,qmpnkuifwn,DoG,ecbdzgdjuq,fojyerdymr,-506,-0.155
725,460,sdahukayhv,mwrbnolxmb,-48,cAt,0.1415
0.086,-605,-264,377,-0.2905,Dog,cAt
oixojfnfrj,huqmrndkqq,jazzpjwirn,0.1165,dOG,doG,731
0.102,0.115,-0.1365,478,CAt,852,-0.373
-0.3035,0.074,pubegkfsup,Dog,dOG,zffworiaau,-2
-739,uoxlsqrwup,-553,dOG,ruwgqrszhs,-0.31,exunxbusxg
ndlrmmkrjp,-124,CAT,dog,0.1155,0.49,cAt
-0.321,ebgfxviceq,-0.395,cAt,231,iaohubzqzo,njuglwhgfg
-76,910,-882,-0.4125,cAt,mcbpxtrdnw,CAT
zrakxcltwb,0.0645,-0.3625,0.4315,zocvsiprgo,615,aoarpoqixo
-203,159,-0.093,394,-889,doG,dOG
0.283,-808,0.27,489,522,0.3045,pniajtjbhe
cAT,129,0.3425,Dog,xhscbskbeg,vqnxmqrrik,0.2325
akztbaippr,13,-0.2465,0.0815,0.409,CAT,385
720,xsemkgcdjl,787,-0.098,-0.3545,mptotmnptx,fxofrmfvqc
dog,csciucghbi,towqyegewi,-0.1185,cAt,-0.364,-237
-0.374,yoxavykndl,-0.361,fgwivxwwch,-0.4215,rvxfievjut,303
0.4295,nfnevljhdt,dOG,zvsvkuxioe,0.0345,tljwzqdrwn,253
-0.1915,rujdeuzlxj,572,-0.1325,cat,cAT,xflqiacptf
uudlslkapq,nyljoaaany,-0.4665,118,634,cAT,CaT
-0.11,-770,0.101,0.4655,CAt,9,-0.3245
oeemwfizqr,0.0475,-381,-0.403,0.421,ixjfobnhfj,-0.0385
-818,-598,0.0785,-549,-0.24,vyemetqtdt,dOg
juuhidzkxy,lmntnetgoc,-497,430,lrchhwgjvi,DOg,xvlbhokkfz
ezytzlbwug,0.2645,cAt,0.047,zytbwvlxgi,-0.3215,-0.448
iycpmsywhr,-0.4015,716,-208,-0.069,wsykwsxfoo,-0.3005
0.1205,163,dOg,-0.4285,kcesrepflx,718,DOg
-0.134,CAT,newcqkaoqb,-0.008,-0.497,ppvdcfhqkf,0.1845
-831,0.1425,-167,0.252,295,-182,359
uxncnaljph,ufelvwnoue,-0.1555,ijykavtooc,dOG,-0.0565,0.356
-0.2095,-0.3185,0.228,463,wtqesdkjjn,-818,0.012
qpygwalbnn,0.3585,358,0.1275,keugcofimu,0.071,-0.413
136,cAT,9,263,vvgfptxnvd,-0.4885,-329
DOG,xbgydcxsgz,iugjgbkxdi,0.3025,pgjxwnlyev,DoG,isxapxwmrh
