ypuiyojlsr,qaxshtrtnp,wuoronerwo,PET,hggbrnqgcw,ddvormhbyh,zojgmoceeh
0.369,stnolwnswr,wrerinyaco,-217,-346,110,rabznptghd
faxytdacfm,-0.2915,nhtdumzcat,cijdsjjoxg,cat,-921,-0.442
986,0.1555,doG,dOG,apbuhmkryu,0.408,0.3345
-967,cAT,651,caT,-0.4505,39,gpregnnlaj
0.4715,dog,tlpwoldrio,DoG,dog,-0.221,0.114
ywjdddxnsq,yahmncwerk,-545,dOG,mzbrolgtad,-396,-0.3965
jzfuznxsfg,cAT,jsyvhmndbs,doG,-379,fpcuvmjysd,-67
-519,-0.0945,0.238,ipgrgtkjzp,690,CAT,-0.466
gvjxifvdet,-608,966,-0.196,610,lhrjvxyiel,987
-348,avznbakqlq,404,0.0035,CaT,aopjbazryw,recurbznbf
174,-7,rhzghdepgr,CAT,rjzejyodkb,0.232,zrvkpqfmnh
DoG,0.0135,0.3635,-0.2725,nzkwdhbkeu,-0.485,0.069
-437,kymqzuhaqc,fyoerzqxub,vkwfydbpoc,0.328,DoG,mpcmdmllwd
mfvempxvzn,knazlqhovg,plapbyqdqc,cat,DOg,-366,-0.056
CAT,dOG,atirwmeikn,-0.0825,-624,zvveyafvsa,-372
-0.1935,oqsodswfrl,ghekmabeqp,doG,flygmlfosa,dog,doG
-0.389,965,vrburgvnxr,dOG,336,-0.4645,cat
jarwuxdwsg,vdmzecnfbq,0.2815,DOG,drhwtodccq,0.0865,-594
-0.4975,-0.196,dirderyyca,doG,0.488,598,hxuzthifzh
-0.2255,solaoibxhl,CaT,CAt,njiovbmtjq,-0.439,ijzqqhokuy
974,vtbxtgvzoh,doG,dOG,-0.381,xlmspamaxx,tbsffffagw
egdabqrzlp,yzqrhcxubh,tbszwmluyy,-240,CaT,jtmaybfurv,dOG
