nmtdcldzjq,tzafuyrmty,xhmqqcmlpb,pEt,uchownaqir,imuvmbvrki
ihhbybtkym,nlkgbatpat,pqhvvlnujb,caT,saryjlqpme,-300
-407,0.0235,clhvvfjkap,DOg,wpcfzhvbhr,-609
-675,388,-0.0115,DOg,-0.0205,-511
tmyomsimuq,-0.471,pwuegctoew,cAt,-0.1965,0.1205
dxxqdluuhl,0.1295,cAt,458,vdiznbrpol,hrowrnrhvi
emneqsvqiq,gvkqccwwsw,dOG,Dog,vdmalabjio,-0.4415
0.005,DOg,jxscaguwqh,CAT,-616,885
508,ohclcdrbmn,cAT,caT,hnmqmcburw,-0.0485
vqjwdgrjky,-349,0.085,Cat,-522,dOG
0.281,-0.252,-957,cAt,CaT,-0.173
CAt,cAT,949,909,dOG,408
-0.1935,cjirrhhyjy,CAt,Dog,xrgubwtzme,-0.0365
DOG,doG,491,314,0.129,pzawmmdelb
prrvcepsky,-411,-165,dOg,ccksmhcecg,0.0
-988,jwgalqwbzx,-0.459,0.109,378,caT
0.1075,358,-747,385,lhlgwwnyft,-821
-688,-0.4745,-372,caT,-702,0.2225
-0.3345,zmuqmejfcp,0.1015,DoG,968,CaT
caT,yfugxqvwlu,-0.4375,dOg,DOG,364
dOG,rzdhdlfmwk,Cat,cAt,qxrbuhjjrl,-0.271
48,CAt,-369,CaT,pukbjcscxa,591
qwrwqhrfjb,atijgxxcjs,-0.203,caT,447,qfnskpmmjz
0.2255,oxrhudulpz,0.47,-0.053,0.191,jtfrkmbkap
-0.078,336,nxyhnuscja,doG,vpeexbheri,doG
eytuepqlcu,-0.047,iovpportwj,dOG,bymbzqxbpz,Cat
0.294,980,lamindigxi,lojaddeniq,kmyeilqgjq,obzwhwgmsn
370,dOG,629,Cat,obbiapfluw,dog
512,-0.0025,-679,doG,0.2175,zdnwbkhhav
-0.0455,axlwivjguk,471,cAt,-604,uovuttfhvz
evlxojindi,284,nqlrxffcox,dog,0.115,0.422
-443,dmnaepertm,crgibnendb,cAt,-0.0615,-393
0.0655,ogyyxzwefo,hxpvgbkkef,caT,-23,151
dxtvdcntgi,Cat,ylaeeirvzl,DoG,-728,0.1025
-0.4655,CAt,207,cat,0.395,0.308
-855,dutpjygivc,DoG,CaT,mnlavldbhr,-0.1
0.0,-260,-0.221,cAt,djlpdzkhfz,zwharlskzi
908,-0.287,dOG,dOG,ekwcsorzgn,-872
vfuvvulyrz,-642,DOG,cAt,-332,-691
doG,0.1765,-0.4795,doG,yjtnfpanfm,fdzgjnbqgz
-35,caT,CAt,CaT,myjvnfdeci,968
-666,DoG,-0.493,caT,-0.1225,bromscyryu
oeezdsbopa,qqnvbaasgy,cAT,dOg,cAt,eaxicyxssl
jirjebrnxw,0.4495,0.0025,CAT,DOG,-618
242,0.34,0.2885,cat,lpcccaqlgs,0.4675
caT,dzwqkxyakm,81,cAt,-0.3625,0.1615
awwyzecywh,umqrxchwsc,bctaeajpla,DOg,hxhcisgsfc,844
coqkjjxwnj,-476,448,DoG,-0.0965,qanadfqulh
-137,CAt,qjvoaqjneh,dog,519,-0.489
0.463,-0.35,xsqafzrdgs,DOg,450,722
0.1035,CAT,0.166,hnspyrsqhb,DOg,-706
cat,0.265,425,bxtwzehbpv,rizarkhmav,497
