yuecrojuve,bbaemsotrl,npczqtgxut,wvnbwoeupq,bauucdcyjt
-0.364,-75,-0.433,dOg,155
0.2845,-374,wnkfvwsrta,CAt,cAt
doG,-0.2815,DOg,-24,cAt
-363,CaT,0.127,xqcloweznc,prxgdphmny
-0.262,sbbgberbjz,-686,CAT,-0.208
Dog,-780,-0.193,-0.162,beazekjrjm
0.1605,aqeqgpcknb,rnmjsonxtm,CAT,0.19
kxxezijqvf,DoG,0.2935,-494,883
0.1675,0.356,-968,whrfajtjir,-72
tzacztzkos,-0.4885,Dog,-0.3925,0.077
-335,-0.0615,kjpxggevfj,qvxsawxwpr,DOG
434,-447,DoG,0.419,550
67,cebobponcu,-734,rkjckghsux,sbnguhgpwx
efutstwrfu,0.4905,cAt,0.1545,527
iegrupufxm,0.2645,dOG,CAt,CAt
vkhewwnqdq,252,Cat,631,CaT
-0.429,172,doG,cat,0.339
zwtyumwlfb,dOg,0.013,-156,tuprbgnwtw
625,qskcwyrsjd,668,-331,-118
ngwfamrkrj,ubwgiegniz,dOG,-0.412,iidpiiqxtd
ofxbkklldl,foqdxybotm,-0.1,qrsmvsfahv,-0.2165
-323,DOG,onbmrjseqo,-0.055,-874
osqsdckolq,62,obifbfbojt,0.176,0.1355
0.1685,-366,-0.0915,-0.1755,-0.3505
-716,0.3325,olkwdgrhqy,cxxjxvysrg,wchgbgyqnp
zbxpsmglby,vlcfvtlvuq,-0.2,fiybhcvkvu,CAt
zlmhbuqvrk,0.3965,-482,0.0605,rhvwwkdlcq
-0.3895,-282,cvihtxanvs,-288,iyjjfgoeqo
871,-0.249,cAt,DOg,dog
doG,dzxtnxawlc,0.0445,ubggrftchd,cAt
pbyoyxfrfj,DOG,umysmaekla,519,712
ocmhbrqkvm,caT,-540,DOG,805
