bgdymyimhk,guawhfqqcr,imnibgkumd,hfmlbiwvdt,rzrxhagtno
yhdpmyxdlz,311,kxjbmzgbug,0.017,-13
28,-924,jhjtrhzavs,0.156,cat
0.335,-594,0.3495,-391,-0.242
-301,-0.2135,CaT,243,-0.006
0.1055,DOg,dog,dOG,0.2525
-284,ewhbeephme,eyuofacrlu,0.419,0.146
-463,cAt,doG,610,0.4175
-569,-862,-956,-235,Cat
-659,0.223,ynusjuydxy,pokphtphzp,-0.46
octwvcmnrs,iydhctnati,-0.467,-0.11,-273
sckmkxsbbz,evxyrbwvck,ynjnxlgjzk,0.426,-0.3885
iosbdohitp,klrquwelxs,voomfrkivp,oglwcpygwc,0.2265
-0.305,jeovurhmei,0.276,jheqbeyiuz,0.433
-75,760,296,-0.025,dOg
-339,768,vllelpdnei,-340,-966
-0.1085,lfardqalqy,-838,-0.382,kteenhjijl
-510,DOg,vvshlvrroe,pxbvlsfcse,dqmeogygac
-615,-742,gwigmiwbfi,gqyswgzxvb,-0.444
-471,-0.0065,0.4225,437,-674
-0.0505,0.0125,izkxtnncbd,-988,DOg
DoG,akmfhceslf,-341,0.258,-176
199,cfbxvaquud,caT,0.477,-0.4865
0.406,CaT,-508,-711,videjstxee
156,dog,CAt,0.0165,0.2665
lwryvgqizd,-959,cAT,wpxvljabli,CAt
DOG,-0.3905,kpsbtkhoge,0.2995,kmxhlmolta
kqlyzwrmjs,hvguctoqfd,kivnphnwsl,DOG,-0.152
0.2845,-232,cat,xtuczthjyk,gairjibtyt
-571,-0.082,iqcmgcxbaj,wyvgjmomzp,0.1275
443,-0.244,wpiitoesvu,0.21,tmoceghjxc
-0.239,103,-0.1455,uvzeszywmo,lqmrddhicy
-0.44,972,0.0265,-53,spaipqjtxz
caT,ihksrfpxge,-0.0315,DOG,enagtcmjtl
pdkuiuduct,tgmcnlxscn,nwhurhkqbo,gnzkzzrizz,Cat
outybhwzfm,-700,0.2665,cvkwilmagm,0.074
0.1015,dOG,-742,-0.4475,-0.3045
920,vwipzusbke,0.1575,-0.2385,-0.2635
Cat,Cat,CAt,-646,-874
dOg,162,bvqnwwnflv,caT,Dog
50,-0.4665,0.392,-54,197
cat,558,ophqqqnyax,wyjhqayang,0.372
-0.336,dog,0.1295,yjfymchfsi,161
wcshbjichi,CAT,-0.4,66,CAt
-0.301,-0.478,-0.1915,853,-530
vdfjpvpndm,0.0165,cAt,zgckhuwfsf,-0.293
caT,DOG,0.264,-101,dOG
0.0785,-484,doG,cAT,Dog
slnlocoguh,0.0005,zonqhgruim,-0.2505,0.488
-274,0.1475,xloatdujqv,490,DOg
176,0.1835,-0.1765,DOg,mlzyjvipdr
62,-71,omnvasgmkv,zafnsyhqjw,dog
cpucrhlgzf,kprairzwxj,0.2905,0.421,-258
-0.23,dog,999,-0.483,-0.355
vkjrraoyup,183,281,tebsrchege,rabfkxyryp
cAT,-116,jwqeldwkjx,stwsbtkude,nxnbmqgdri
CAT,-935,kvdtqtjuoc,-770,mozodypkll
697,-144,Cat,dOG,-830
0.204,qbjyerhyxr,26,-540,gwrxzqqgra
-0.0875,cAt,lkwhialzza,tgvbczcvvx,931
cAt,DOG,yiigdijopm,-0.4075,-0.0095
-775,936,-0.076,oxouhyrfmg,lwlncoinor
caT,qypxndhsts,-0.363,mqofjwwpoy,-389
639,0.344,jmmzhidesl,kbmeshfdfg,-0.477
-0.0085,lfravcruof,hkadeibixk,-0.4235,876
vvnszpoosm,pijfhyoits,Cat,rcezadxasg,-985
388,doG,288,0.4295,-0.4375
995,-0.1045,44,-0.165,-0.491
0.356,0.4345,dOG,802,-665
0.1775,40,poiujyehey,-185,xlneuxzlnh
jzdtnulxsc,hvmgqpqrvo,DOg,661,-0.2805
cat,CaT,rcpaazrfoa,wpdlbegoff,432
752,caT,-641,cat,hlcqgueoiq
xfcwsoctbq,63,853,0.4395,-0.089
-0.0045,82,cat,0.1185,679
-323,qthhiqtuel,DOG,utlsussfeh,824
0.4755,cat,0.456,cqhapqhuuf,-560
tvgsgfqbvn,-0.214,dOG,0.5,monfyrwrzr
pegttsivjo,qymlbvcref,519,419,-0.241
bdvxqmqkin,dOg,-264,-0.296,-869
-0.1225,-158,-906,0.3325,-129
epftypirzz,-504,-0.3735,14,-211
Dog,ymuijcwbgk,sliwnqsrlt,-615,0.1195
DOG,DoG,-0.185,pppcdzzqne,-0.2365
0.36,414,-0.044,-658,540
280,541,jcihcuoqqv,88,cAT
-355,qbhzhnymjh,fefapawizh,cAT,-88
-290,cAT,sxticlcgtv,0.3505,cat
fmhzuolfsq,Dog,976,436,cAT
caT,-0.1715,CaT,bbclspiofm,shwpwojpae
161,hengudxigw,0.136,pyphlibhow,-0.2225
dOg,991,-573,yukqtmpubp,-0.1435
hkrjsrvzbz,DOg,cymbvhzsku,xyvarpwosh,-436
-843,-930,jdofzqpyhc,-0.1195,CAT
zlctleyrjb,-0.0865,gkdjfoxmrp,0.478,0.444
doG,0.404,0.08,-0.0025,0.223
