uqtnsonbdz,hetqdsbkzc,lsoldrakfd,vijgosbfbx,PET
0.444,caT,-0.2295,448,CAT
-0.37,dOg,dog,vbgxcyobkw,basiafjkjk
niczqdczjw,DoG,-956,0.4985,cAt
894,-961,mrukawdknp,-0.1275,Cat
-300,0.2815,-988,929,dOg
cAT,cAT,dOG,514,doG
CaT,-434,0.388,149,CAt
532,eoxpyetwxl,caT,homjkcjbjt,cAt
0.0895,481,412,dog,cAt
ankxyglswj,-787,cat,kpdpictrbb,cAt
997,-0.465,-923,xuplixlpoj,DoG
rlwwdljwmk,qevlpqukcf,xlavduwpok,460,DOg
duenubqucr,zoogwprdzw,-0.1635,0.194,Dog
uirvniugkw,CAT,CAt,fkdjqaxfqo,DoG
0.1365,0.2625,61,gkvqobixhl,369
259,104,qpnzsanldb,hrzdmyjkjp,CAT
-0.0715,doG,rqxtfnayek,ggavhyxlbw,CAT
0.2875,cpxcybkheo,190,Dog,CAT
990,-0.4905,cAt,vbkzdfubtl,CAt
785,0.282,utwuqsmoln,-0.293,cAT
Cat,rqlypzljma,cAt,-0.357,DOg
0.292,egylnctwdn,538,-720,-367
Cat,iqwehlswof,CAT,czezmbjhvz,CaT
445,0.302,vhqnwiaefj,-245,DoG
39,mzsfmhpgye,-15,zscpdhvufc,cAT
