kudlqkutls,yojnofrtin,cmbkwsppwm,edfrgbgone,psueljdzuk,qmsnqwdtoz
ybmfxqahwp,-0.031,yibbgaucix,0.3715,-0.3965,0.285
607,-858,cat,429,0.416,-0.013
nqgsyztrxr,315,-728,lsppcumhsj,xgycenaeek,dog
cAT,423,0.331,-0.3,dog,-193
doG,919,srlovhpkpc,291,845,-0.092
-539,0.346,wqwppridon,spbqmpgzlq,hsdnzmvdim,-665
-346,825,eabcqodjgu,-930,-354,cAt
618,pzpwqmmoyb,-433,ijpwfagssh,0.194,-536
DOg,cAt,34,kldtbqsiau,DOG,638
khfwuvqiyd,-829,-0.4935,-473,caT,CAt
-0.347,382,883,0.4765,0.3355,Cat
747,-0.0195,-699,811,705,dOG
-166,wkvcwrxlhd,mlyndixiyi,egdssrvhyx,0.2475,-0.317
-0.28,-0.322,929,-214,xhnssqywvb,CAT
0.209,-492,cat,aknnxbnuhl,cat,0.222
mltlvmkxbv,-0.3515,-868,0.4195,760,cat
doG,-0.2685,CAT,-0.293,-8,-657
qeibpqqihw,dOg,dOG,-689,-0.256,CAt
sgfiujyowh,DoG,0.477,rcllkwemni,553,lwrmqcgfpw
uwmjsofjdu,doG,0.129,doG,atmqclxovj,mcygvkzlav
dOg,CaT,vgouxncpyk,-524,rozktlhipa,659
fkdzxmcrrg,ksrcpxhlmx,CAt,munwiarlna,655,-391
0.001,0.2695,zcbflsuwcx,qyodhwfrbj,gyyrvumvvc,-0.365
ivyjmqroiq,-0.351,tjjwvfiknz,0.2695,-0.48,611
-0.1025,bzruvbtgyz,wbhfsldkky,0.249,-0.3595,cpsxuvfrns
-0.178,0.019,ttbygrxvot,-414,pfznqgxwnp,qzsjykmarq
cAt,0.318,nceknxetdr,repwshpmat,dog,-0.4985
dog,0.024,dOg,DoG,-0.0795,-0.13
lcvzelhqme,367,fsswhdopxk,dwncwmpokh,408,382
bspaolyxfj,ramuyphmnm,Dog,ikwsqunlan,0.1845,-199
601,cAT,0.2775,-628,-927,-0.3725
0.2955,-891,yzkshxhfli,0.135,-0.1825,zslstctczw
mzltmvsirr,0.4085,-0.095,-0.17,caT,405
-0.0965,0.2935,0.453,cfpfenfruu,-0.445,icubhibcdo
edensreqhm,ozjqiifegj,cmvfbjpbno,709,ojeplnzoox,-974
-370,czzpniomge,557,-0.1705,rxvfjwkwwd,caT
yqunfaxqwz,pnclhfkybx,433,0.319,-607,-0.226
0.014,-0.4375,758,571,0.272,477
qhmmqbgdkt,-344,0.3725,qnzbbealli,pmeuokdosq,0.0375
dog,xhrstfpfph,793,115,DOg,nsxctbhpgr
509,bbjjbyeify,728,vhgzcikzqj,vepynnkoht,0.2465
720,tnzoujkxkg,0.129,-788,dog,0.402
Cat,DOg,rrngrfsrvn,-679,-864,doG
853,696,zbdinxcxox,-725,-581,zfxxenbbhc
fqfbjbxmlu,-0.427,0.25,51,391,0.241
yfkqrvscnl,krijzsbbjn,0.1815,cAT,-945,606
0.2665,-0.3755,356,283,0.2765,66
611,0.183,caT,epwhutspnz,591,0.171
187,282,cat,eywlcpgvar,iewesbuaue,Dog
-0.376,-30,dOG,pvaqnmprzz,skklqfyrdh,jmtcxkfpyb
cyhzorivwl,0.288,qnavvtdlmu,-289,469,-0.096
-705,-162,-388,0.387,-818,heuwzrkvuo
-807,etfqgdadby,946,hdjhfkytfv,814,0.107
481,Cat,-214,ceshachawz,7,jopxoaivqo
DOg,969,CaT,bytthkrbtt,-466,711
-0.338,Cat,0.1655,cAT,iqzkdxylhw,yjgzhgkxdg
tvehcrwquu,0.165,0.2225,813,rglzponuzp,dOG
556,rdrikpztod,-0.211,jiqaqodqoz,-873,klcfzelciy
-0.454,kqnxkqpfib,-30,-883,0.425,dOg
-0.414,-656,-739,473,0.2165,-798
-0.2965,dOG,-15,klwozmhxjg,0.4745,udeeybtcyr
0.4245,tcgwgpkzvl,-0.3945,0.0085,zuupkqmoqd,wmtvxehwar
-814,-231,-0.342,plrsiaxzld,-12,717
ejzwyiuwww,CAt,0.21,803,-0.3955,wtkovacdxt
doG,-0.269,341,mjpoyrtwkc,dcrkyehrcf,-0.153
0.291,0.0675,0.227,dOg,-0.386,CAT
-0.388,-0.3245,-0.34,jvmusimkqu,DoG,0.142
tffugdgcro,lppqcaqfem,idqpqkhpye,560,hawbvthjqp,hyodlworwg
vqmdjyrfmc,caT,0.191,msqmpfzezs,dog,-0.4645
519,cAt,558,qpvnrwmkuo,DOG,127
-377,440,658,pxndmrhfzy,639,dmaiywyeut
atztikfgvl,0.375,cAt,CAT,CAt,-880
wxbawttdkm,lqqsutiupi,647,0.299,oxdpxktrtm,-0.1775
386,471,695,eujwswbcgk,-79,-636
bxrnesbrwo,-0.3855,-334,-536,abppjfmxtz,605
xywmzwgqft,-364,DoG,112,0.2465,Dog
0.4135,-0.3125,sayjwjwxon,cAT,qodlshtdfv,sxtsjswppu
839,dlzskiuafd,-311,448,CAt,yctiulgizc
0.096,76,-0.3675,-0.459,0.238,dOg
0.3715,bslepalqdi,-504,-177,dOG,Dog
igvxowgzpd,206,-0.276,0.169,rigkdnrnpu,-0.339
CAT,-0.2215,-80,dog,knxtffihaw,0.305
-0.0515,-0.0335,ompeigovdd,-305,-0.244,0.159
307,-0.306,0.384,-0.054,-0.0915,-0.1955
307,0.164,jrqllprdhf,ekrdukogjq,709,lpnnbnrubn
0.0085,-0.098,ycawqwvicn,cAT,-0.354,-0.115
zwbihyunve,163,102,432,208,gwdvhehqys
241,dog,cAt,zeilfjrdgl,592,-0.004
yvtbptrcqo,DOg,638,0.2135,0.081,bmmmusriui
atkmenpjbg,0.1275,afryghuucn,0.385,tohzybnkzg,-725
968,557,711,DOg,296,CaT
