hwdnrmvevd,dexeuxgrmp,uwycicikra,pxetwbhedi,bzsioexodp,zfplhobzgw,reezkoktme
dOG,wvirdpadsu,zruivjjyko,0.365,gbbgrgxmmy,-367,0.331
-26,qzjomlfqzt,zqdscgmdlh,fhfjjvolpu,pajlnuqlwh,bcvnesxhdd,0.435
0.3315,cAt,xijhrxdciz,wzysdkswqv,153,fminvyykkr,-36
xtszobemrn,610,hgfihqzaht,hocxywsnrs,-0.179,-657,926
946,-942,-0.213,0.3265,gvwbtoahwn,-562,0.3135
0.3945,789,0.2875,0.106,-126,DOg,-0.406
0.29,-0.492,975,-443,-369,0.3085,DOg
0.1035,okixngkgia,-0.3775,711,jxurmojtsy,kmmzbyryab,DoG
doG,-0.456,0.389,CAT,ggewlxyict,0.074,0.181
vezquechsn,hgoklxqydm,qaixluuxka,-0.4705,0.0115,-526,sriwghstxu
cAt,-71,-876,cAT,0.324,yivwudpqhd,vyvzxsinbo
czbkutnhec,0.4995,-982,414,-444,hjqzscxoaf,0.2365
0.4155,vytmgiycyd,-0.2945,dvtrfggmyi,ibiujzwjsh,0.032,310
ajvtqviimc,443,-0.197,eelizcooyx,quzjlzfqld,-805,630
-0.2915,qqvtonifen,kzezqahgdf,DOg,CAt,-0.4625,-506
-297,CAt,uiitghdsxo,989,-780,-0.4805,Cat
dOg,-721,-0.064,0.4775,doG,166,Cat
mnmkvacpzy,-360,-0.1125,405,0.2575,cat,17
368,CAt,cbfgeorocv,cdajosfqeu,-427,-0.036,-759
-477,-792,jhfkflufwq,ksrebgscyq,uzaemyyzvb,-740,-62
fkjnkuocdi,dOg,-850,DOG,-112,jmigwlltzr,-284
fgaymwyxyx,xgkknczeta,408,dvhwjuqfrw,doG,-963,caT
DoG,DOg,ngpemogvwc,0.247,-82,-0.354,doG
-0.3765,-536,-856,uiqlxwgelp,dog,839,-124
dOG,DOg,pduzeuwrhw,wcfccnefmr,ehmzqilqvy,-0.0535,-910
vyjtasazsr,-0.0855,DoG,cAt,kjrotuyoxy,411,-878
ptqtsxfzvb,hvveprddbt,945,DoG,dOg,-125,-0.1095
-730,785,-0.23,CAt,gxmfdznqmu,CaT,-5
0.497,dOG,Dog,763,fzkrdkraoq,323,dog
cAT,mzkjmmmpdd,-0.299,-0.269,-933,Dog,gxtzmpouoe
dog,DoG,tjlmwtlaul,-725,-672,-0.3845,qkyihszvtq
kasdbplnxo,yhvymxzwwu,CaT,-509,64,yeknanqidx,0.407
phbspdzilo,0.4755,ffqsbitlkv,857,cat,puhuwfsjph,-781
dOg,hrmvhssjgq,icyahwcaco,dOG,CAt,caT,-617
407,-0.452,shmfczahsv,-861,DoG,-45,ycoveshqmn
thqwkqzxdn,osybjsyrkj,519,DOG,-0.026,-186,ctwkmkcjdo
305,-0.0065,Cat,-990,-892,xaxnkuwzpj,Cat
783,-19,130,cat,-187,upefeeizcr,0.041
gjzmyyjhqu,-917,-0.0335,-0.3075,0.2535,0.0325,0.2325
pgmzavfjxw,-0.454,-603,161,-281,DOG,jvyqeheetq
cAT,-875,grumhwybqc,0.027,589,0.1955,0.187
-0.4445,0.347,nujzuwpvya,0.2255,Dog,tsdmrkvfqk,228
-271,CAt,Cat,-119,-879,Dog,dOg
197,-0.419,dOg,zaaypdalyz,-898,iizozgwzyi,-277
